region,region_id,Live,Dead,CFR,period
Banadir,R1720053,130,4,3.1,Week 4
Bay,R1720055,392,11,10,Week 4
Middle Shabelle,R1720062,95,0,0,Week 4
Hiraan,R1720058,28,0,0,Week 4
Lower Shebelle,R1720060,125,0,0,Week 4
Lower Jubba,R1720059,0,0,0,Week 4
Bari,R1720054,31,0,0,Week 4
Mudug,R1720063,76,0,0,Week 4
Banadir,R1720053,109,3,2.8,Week 5
Bay,R1720055,460,3,4.8,Week 5
Middle Shabelle,R1720062,106,2,4.3,Week 5
Hiraan,R1720058,35,1,8.3,Week 5
Lower Shebelle,R1720060,99,1,4.8,Week 5
Lower Jubba,R1720059,33,0,0,Week 5
Bari,R1720054,28,0,0,Week 5
Mudug,R1720063,43,0,0,Week 5
Banadir,R1720053,109,0,0,Week 6
Bay,R1720055,423,4,9.9,Week 6
Middle Shabelle,R1720062,107,3,3.3,Week 6
Hiraan,R1720058,18,0,0,Week 6
Lower Shebelle,R1720060,74,1,20,Week 6
Lower Jubba,R1720059,72,1,1.4,Week 6
Bari,R1720054,31,0,0,Week 6
Mudug,R1720063,20,0,0,Week 6
Bakool,R1720052,212,36,17,Week 7
Banadir,R1720053,169,1,0.6,Week 7
Bari,R1720054,74,3,4.1,Week 7
Bay,R1720055,657,21,3.2,Week 7
Hiraan,R1720058,14,0,0,Week 7
Juba Hoose,R1720059,72,1,1.4,Week 7
Shabelle Hoose,R1720060,67,1,1.5,Week 7
Shabelle Dhexe,R1720062,83,0,0,Week 7
Mudug,R1720063,5,0,0,Week 7
Nugaal,R1720064,149,16,10.7,Week 7
Bakool,R1720052,167,18,10.8,Week 8
Banadir,R1720053,191,1,0.5,Week 8
Bari,R1720054,18,0,0,Week 8
Bay,R1720055,429,9,2.1,Week 8
Hiraan,R1720058,8,0,0,Week 8
Juba Hoose,R1720059,52,1,1.9,Week 8
Shabelle Hoose,R1720060,80,1,1.3,Week 8
Shabelle Dhexe,R1720062,76,0,0,Week 8
Mudug,R1720063,4,0,0,Week 8
Nugaal,R1720064,288,7,2.4,Week 8
Gedo,R1720057,39,1,2.6,Week 8
Bakool,R1720052,235,17,7.2,Week 9
Banadir,R1720053,198,5,2.5,Week 9
Bari,R1720054,19,1,5.3,Week 9
Bay,R1720055,694,14,2,Week 9
Gedo,R1720057,131,3,2.3,Week 9
Hiraan,R1720058,0,0,0,Week 9
Juba Hoose,R1720059,74,0,0,Week 9
Shabelle Hoose,R1720060,250,5,2,Week 9
Shabelle Dhexe,R1720062,68,2,2.9,Week 9
Mudug,R1720063,0,0,0,Week 9
