district_id,district,live,dead,cfr
R1720070,Afgooye,651,0,0
R1720072,Baardheere,1174,10,0.8
R1720074,Aliyow Munim,13092,182,1.4
R1720076,Balcad,451,2,0.4
R1720079,Belet Weyne,335,2,0.6
R1720083,Bossaso,631,5,0.8
R1720085,Bulo Burto,10,0,0
R1720087,Burtinle,895,6,0.7
R1720088,Buuhoodle,3723,69,1.8
R1720089,Buur Hakaba,908,24,2.6
R1720090,Balanbale,1752,11,0.6
R1720091,Cadaado,819,7,0.8
R1720095,Ceel Afweyn,1010,16,1.6
R1720096,Ceel Barde,377,8,2.1
R1720100,Dhuusamarreeb,1114,4,0.4
R1720101,Diinsoor,425,1,0.2
R1720102,Doolow,1427,0,0
R1720104,Eyl,74,0,0
R1720106,Galdogob,476,6,1.2
R1720107,Gaalkacyo,1495,10,0.7
R1720108,Burdhubo,1706,14,0.8
R1720109,Dangorayo,1441,24,1.6
R1720112,Iskushuban,1,0,0
R1720113,Jalalaqsi,21,1,4.5
R1720115,Jariiban,430,1,0.2
R1720117,Jowhar,1678,20,1.2
R1720118,Kismaayo,2681,15,0.6
R1720119,Kurtunwaarey,175,0,0
R1720120,Bo'ame,527,0,0
R1720123,Dhamasa,1400,29,2
R1720124,Hantiwadag,2095,31,1.5
R1720125,Banadir,6381,113,1.7
R1720127,Qandala,488,7,1.4
R1720129,Qardho,1062,5,0.5
R1720130,Madulow,924,13,1.4
R1720135,Taleex,653,7,1.1
R1720136,Tayeeglow,236,17,6.7
R1720137,Waajid,2309,113,4.7
R1720138,Beletamin ,1561,18,1.1
R1720141,Aboore,948,18,1.9
