district,district_id,live,dead,cfr
Afgooye,R1720070,426,0,0
Baardheere,R1720072,1043,10,1
Baidoa,R1720074,12678,186,5
Balcad,R1720076,451,2,0.4
Belet weyne,R1720079,286,2,0.7
Bossaso,R1720083,467,5,1.1
Bulo Burto,R1720085,10,0,0
Burtinle,R1720087,393,6,1.5
Buuhoodle,R1720088,2795,65,2.3
Buur Hakaba,R1720089,908,24,2.6
Cadaado,R1720091,569,7,1.2
Dhahar,R1720095,130,4,3.1
Ceel Barde,R1720096,144,4,2.8
Ceel Dheer,R1720098,20,0,0
Dhuusamarreeb,R1720100,301,1,0.3
Diinsoor,R1720101,425,1,0.2
Doolow,R1720102,417,0,0
Elwak,R1720103,954,7,0.7
Eyl,R1720104,74,0,0
Galdogob,R1720106,79,2,2.5
Gaalkacyo,R1720107,500,2,0.4
Garbahaarey,R1720108,1428,14,1.9
Garoowe,R1720109,967,24,2.5
Jalalaqsi,R1720113,21,1,4.8
Jariiban,R1720115,53,0,0
Jowhar,R1720117,1310,16,1.2
Kismaayo,R1720118,1246,11,0.9
Kurtunwaarey,R1720119,130,0,0
Luuq,R1720123,1537,28,1.8
Marka,R1720124,1690,27,1.6
Mogadishu,R1720125,3374,63,1.9
Qardho,R1720129,227,4,1.8
Qoryooley,R1720130,803,13,1.6
Tayeeglow,R1720136,188,17,9
Waajid,R1720137,2286,113,4.9
Wanla Weyn,R1720138,1214,16,1.3
xudur,R1720141,858,18,2.1
