region,region_id,Live,Dead,CFR,period
Banadir,R1720053,574,18,3.1,Week 4
Bari,R1720054,31,1,3.2,Week 4
Bay,R1720055,1443,23,1.6,Week 4
Hiraan,R1720058,220,2,0.9,Week 4
Juba Hoose,R1720059,0,0,0,Week 4
Mudug,R1720063,76,1,1.3,Week 4
Shabelle Dhexe,R1720062,317,3,0.9,Week 4
Shabelle Hoose,R1720060,452,1,0.2,Week 4
Banadir,R1720053,683,21,3.1,Week 5
Bari,R1720054,59,1,1.7,Week 5
Bay,R1720055,1903,26,1.4,Week 5
Hiraan,R1720058,255,3,1.2,Week 5
Juba Hoose,R1720059,33,0,0,Week 5
Mudug,R1720063,119,1,0.8,Week 5
Shabelle Dhexe,R1720062,423,5,1.2,Week 5
Shabelle Hoose,R1720060,551,2,0.4,Week 5
Banadir,R1720053,792,21,2.7,Week 6
Bari,R1720054,90,1,1.1,Week 6
Bay,R1720055,2326,30,1.3,Week 6
Hiraan,R1720058,273,3,1.1,Week 6
Juba Hoose,R1720059,105,1,1,Week 6
Mudug,R1720063,139,1,0.7,Week 6
Shabelle Dhexe,R1720062,530,8,1.5,Week 6
Shabelle Hoose,R1720060,625,3,0.5,Week 6
Bakool,R1720052,212,36,17,Week 7
Banadir,R1720053,961,22,2.3,Week 7
Bari,R1720054,164,4,2.4,Week 7
Bay,R1720055,2983,51,1.7,Week 7
Hiraan,R1720058,287,3,1,Week 7
Juba Hoose,R1720059,177,2,1.1,Week 7
Mudug,R1720063,144,1,0.7,Week 7
Nugaal,R1720064,149,16,10.7,Week 7
Shabelle Dhexe,R1720062,613,8,1.3,Week 7
Shabelle Hoose,R1720060,692,4,0.6,Week 7
Bakool,R1720052,379,54,14.2,Week 8
Banadir,R1720053,1152,23,2,Week 8
Bari,R1720054,182,4,2.2,Week 8
Bay,R1720055,3412,60,1.8,Week 8
Gedo,R1720057,39,1,2.6,Week 8
Hiraan,R1720058,295,3,1,Week 8
Juba Hoose,R1720059,229,3,1.3,Week 8
Mudug,R1720063,148,1,0.7,Week 8
Nugaal,R1720064,437,23,5.3,Week 8
Shabelle Dhexe,R1720062,689,8,1.2,Week 8
Shabelle Hoose,R1720060,772,5,0.6,Week 8
Bakool,R1720052,614,71,11.6,Week 9
Banadir,R1720053,1350,28,2.1,Week 9
Bari,R1720054,201,5,2.5,Week 9
Bay,R1720055,4106,74,1.8,Week 9
Gedo,R1720057,170,4,2.4,Week 9
Hiraan,R1720058,295,3,1,Week 9
Juba Hoose,R1720059,303,3,1,Week 9
