district,district_id,Type of intervention,target_per_HH,reached_per_HH,percent_target
Baydhaba,R1720074,CFW first contribution ,92,92,100
Baraawe,R1720078,CFW Second contributuion,282,43,15
Belet Weyne,R1720079,CFW first contribution ,104,104,100
Bulo Burto,R1720085,CFW first contribution ,104,104,100
Buur Hakaba,R1720089,CFW first contribution ,416,141,34
Cabudwaaq,R1720090,CFW second contribution,282,43,15
Cadale,R1720092,CFW Second contributuion,282,43,15
Ceel Barde,R1720096,CFW Second contributuion,366,55,15
Dhuusamarreeb,R1720100,CFW Second contributuion,282,43,15
Hobyo,R1720111,CFW Second contributuion,366,55,15
Jalalaqsi,R1720113,CFW first contribution ,104,104,100
Marka,R1720124,CFW Second contributuion,282,43,15
Tayeeglow,R1720136,CFW Second contributuion,366,65,18
Waajid,R1720137,CFW first contribution ,80,80,100
Wanla Weyn,R1720138,CFW Second contributuion,282,43,15
Xudur,R1720141,CFW first contribution ,80,80,100
