district,district_id,intervention,target_per_HH,reached_per_HH,percent_target
Baraawe,R1720078,CFW Second Contributuion,282,43,15
Buur Hakaba,R1720089,CFW Second Contributuion,324,49,15
Cabudwaaq,R1720090,CFW Second Contributuion,282,43,15
Cadale,R1720092,CFW Second Contributuion,282,43,15
Ceel Barde,R1720096,CFW Second Contributuion,366,55,15
Dhuusamarreeb,R1720100,CFW Second Contributuion,282,43,15
Hobyo,R1720111,CFW Second Contributuion,366,55,15
Marka,R1720124,CFW Second Contributuion,282,43,15
Tayeeglow,R1720136,CFW Second Contributuion,366,65,18
Wanla Weyn,R1720138,CFW Second Contributuion,282,43,15
