district,district_id,Type of intervention,target_per_HH,reached_per_HH,percent_target
Baydhaba,R1720074,UCT first contribution,278,186,67
Baraawe,R1720078,UCT second contribution,280,43,15
Belet Weyne,R1720079,UCT first contribution,309,206,67
Bulo Burto,R1720085,UCT first contribution,316,210,67
Buur Hakaba,R1720089,UCT first contribution,601,235,39
Cabudwaaq,R1720090,UCT second contribution,280,43,15
Cadale,R1720092,UCT second contribution,280,43,15
Ceel Barde,R1720096,UCT second contribution,364,55,15
Dhuusamarreeb,R1720100,UCT second contribution,280,43,15
Hobyo,R1720111,UCT second contribution,364,55,15
Jalalaqsi,R1720113,UCT first contribution,312,208,67
Marka,R1720124,UCT second contribution,280,43,15
Tayeeglow,R1720136,UCT second contribution,364,65,18
Waajid,R1720137,UCT first contribution,237,158,67
Wanla Weyn,R1720138,UCT second contribution,280,43,15
Xudur,R1720141,UCT first contribution,237,158,67
