district,district_id,intervention,target_per_HH,reached_per_HH,percent_target
Baraawe,R1720078,UCT Second Contribution,280,43,15
Buur Hakaba,R1720089,UCT Second Contribution,322,49,15
Cabudwaaq,R1720090,UCT Second Contribution,280,43,15
Cadale,R1720092,UCT Second Contribution,280,43,15
Ceel Barde,R1720096,UCT Second Contribution,364,55,15
Dhuusamarreeb,R1720100,UCT Second Contribution,280,43,15
Hobyo,R1720111,UCT Second Contribution,364,55,15
Marka,R1720124,UCT Second Contribution,280,43,15
Tayeeglow,R1720136,UCT Second Contribution,364,65,18
Wanla Weyn,R1720138,UCT Second Contribution,280,43,15
