Indicator,Region,RegionID,District,DistrictID,Date,Value,period
Flood and river levels,Gedo,R1720057,Baardheere,R1720072,10/1/2016,0,October 2016
Flood and river levels,Gedo,R1720057,Doolow,R1720102,10/1/2016,0,October 2016
Flood and river levels,Gedo,R1720057,Luuq,R1720123,10/1/2016,0,October 2016
Flood and river levels,Hiraan,R1720058,Belet Weyne,R1720079,10/1/2016,0,October 2016
Flood and river levels,Hiraan,R1720058,Bulo Burto,R1720085,10/1/2016,0,October 2016
Flood and river levels,Juba Dhexe,R1720061,Bu'aale,R1720084,10/1/2016,0,October 2016
Flood and river levels,Shabelle Dhexe,R1720062,Jowhar,R1720117,10/1/2016,0,October 2016
Flood and river levels,Gedo,R1720057,Baardheere,R1720072,11/1/2016,6.28,November 2016
Flood and river levels,Gedo,R1720057,Doolow,R1720102,11/1/2016,3.82,November 2016
Flood and river levels,Gedo,R1720057,Luuq,R1720123,11/1/2016,4.1,November 2016
Flood and river levels,Hiraan,R1720058,Belet Weyne,R1720079,11/1/2016,3.7,November 2016
Flood and river levels,Hiraan,R1720058,Bulo Burto,R1720085,11/1/2016,2.96,November 2016
Flood and river levels,Juba Dhexe,R1720061,Bu'aale,R1720084,11/1/2016,3.83,November 2016
Flood and river levels,Shabelle Dhexe,R1720062,Jowhar,R1720117,11/1/2016,4.15,November 2016
Flood and river levels,Gedo,R1720057,Baardheere,R1720072,12/1/2016,4.44,December 2016
Flood and river levels,Gedo,R1720057,Doolow,R1720102,12/1/2016,2.36,December 2016
Flood and river levels,Gedo,R1720057,Luuq,R1720123,12/1/2016,2.8,December 2016
Flood and river levels,Hiraan,R1720058,Belet Weyne,R1720079,12/1/2016,2.5,December 2016
Flood and river levels,Hiraan,R1720058,Bulo Burto,R1720085,12/1/2016,2.17,December 2016
Flood and river levels,Juba Dhexe,R1720061,Bu'aale,R1720084,12/1/2016,3,December 2016
Flood and river levels,Shabelle Dhexe,R1720062,Jowhar,R1720117,12/1/2016,1.7,December 2016
Flood and river levels,Gedo,R1720057,Baardheere,R1720072,1/1/2017,4.04,January 2017
Flood and river levels,Gedo,R1720057,Doolow,R1720102,1/1/2017,1.38,January 2017
Flood and river levels,Gedo,R1720057,Luuq,R1720123,1/1/2017,1.9,January 2017
Flood and river levels,Hiraan,R1720058,Belet Weyne,R1720079,1/1/2017,2.45,January 2017
Flood and river levels,Hiraan,R1720058,Bulo Burto,R1720085,1/1/2017,2.12,January 2017
Flood and river levels,Juba Dhexe,R1720061,Bu'aale,R1720084,1/1/2017,2.52,January 2017
Flood and river levels,Shabelle Dhexe,R1720062,Jowhar,R1720117,1/1/2017,1.4,January 2017
Flood and river levels,Gedo,R1720057,Baardheere,R1720072,2/1/2017,3.6,February 2017
Flood and river levels,Gedo,R1720057,Doolow,R1720102,2/1/2017,1,February 2017
Flood and river levels,Gedo,R1720057,Luuq,R1720123,2/1/2017,1.4,February 2017
Flood and river levels,Hiraan,R1720058,Belet Weyne,R1720079,2/1/2017,1.98,February 2017
Flood and river levels,Hiraan,R1720058,Bulo Burto,R1720085,2/1/2017,1.32,February 2017
Flood and river levels,Juba Dhexe,R1720061,Bu'aale,R1720084,2/1/2017,1.79,February 2017
Flood and river levels,Shabelle Dhexe,R1720062,Jowhar,R1720117,2/1/2017,0.5,February 2017
Flood and river levels,Gedo,R1720057,Baardheere,R1720072,3/1/2017,3.4,March 2017
Flood and river levels,Gedo,R1720057,Doolow,R1720102,3/1/2017,1,March 2017
Flood and river levels,Gedo,R1720057,Luuq,R1720123,3/1/2017,0.9,March 2017
Flood and river levels,Hiraan,R1720058,Belet Weyne,R1720079,3/1/2017,1.47,March 2017
Flood and river levels,Hiraan,R1720058,Bulo Burto,R1720085,3/1/2017,1.24,March 2017
Flood and river levels,Juba Dhexe,R1720061,Bu'aale,R1720084,3/1/2017,1.3,March 2017
Flood and river levels,Shabelle Dhexe,R1720062,Jowhar,R1720117,3/1/2017,1.2,March 2017
