period,District,site,site_id,partner,latitude,longitude,admissions_SAM,relapses_SAM,readmissions_SAM,upgrades_SAM,downgrades_SAM,defaulters_SAM,successful_SAM,tot_discharges_SAM,perc_recovered_SAM,perc_nonresponding_SAM,perc_defaulters_SAM,admissions_MAM,relapses_MAM,readmissions_MAM,defaulters_MAM,successful_MAM,tot_discharges_MAM,perc_recovered_MAM,perc_nonresponding_MAM,perc_defaulters_MAM,malaria,pneumonia,cholera,IYCF
May,AbdiAziz,Forlanini - Static Health Facility,SNS1,ACF,2.046349,45.360397,145,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0
May,Hudur,Hudur Town -  SC,SNS10,ACF,4.12459,43.88765,28,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0
May,Hudur,Mada warabe  - Mobile OTP Site ,SNS11,ACF,4.13295,43.92216,47,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,2,0
May,Hudur,Gubud Galole mobile  - Mobile OTP Site ,SNS12,ACF,4.13295,43.92216,27,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0
May,Hudur,Weerow Mobile Outreach - Mobile OTP Site ,SNS13,ACF,4.17074,43.83483,58,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0
May,Hudur,Qaydar Ade/Moragabey Mobile  - Mobile OTP Site ,SNS14,ACF,4.18976,43.64093,12,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
May,Hudur,Sheikh Aweys Fixed IDP  - Mobile OTP Site ,SNS15,ACF,4.18976,43.64093,32,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
May,Hudur,Aboore  - Mobile OTP Site ,SNS16,ACF,4.301239,43.909182,21,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
May,Hudur,Eedinow  - Mobile OTP Site ,SNS17,ACF,4.150735,43.770452,12,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
May,Eyl,Biyo Ade- - Mobile Outreach,SNS18,ACF,8.27098,49.82561,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
May,Eyl,Cambare- - Mobile Outreach,SNS19,ACF,8.08177,49.36186,27,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0
May,Afgoye,Lafoole - Static Health Facility/ clinics,SNS2,ACF,2.086555,45.201023,96,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,4,0
May,Eyl,"Gubato,  - Mobile Outreach",SNS20,ACF,7.617116,47.001314,29,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0
May,Eyl,"Weyla-laaq, - Mobile Outreach",SNS21,ACF,8.43695,49.42806,17,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
May,Eyl,Dhoobo-Cantuug - Mobile Outreach,SNS22,ACF,7.63222,49.28027,16,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
May,Hodan,Octobar - Static Health Facility,SNS3,ACF,2.032865,45.315392,282,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0
May,Kahda,Liqliqito  - Static Health Facility,SNS4,ACF,2.058589,45.264256,218,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0
May,Elbarde,Elbarde Town - Static Health Facility/ clinics,SNS5,ACF,4.82821,43.65993,60,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0
May,Elbarde,Ato - Mobile Clinics,SNS6,ACF,4.6205,43.35402,21,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0
May,Rabdure,Yeed  - Mobile Clinics,SNS7,ACF,4.82821,43.65993,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Elbarde,Liwareeg - Mobile Clinics,SNS8,ACF,4.46343,43.3652,23,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
May,Elbarde,Salkudhooble - Mobile Clinics,SNS9,ACF,4.90952,43.99175,12,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
May,Erigavo ,Madare - Mobile OTP/TSFP,SNS33,CARE,10.2722,47.3508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Ufeyn ,Tuulo Miro - Mobile OTP/TSFP,SNS34,CARE,10.6568,49.6343,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
May,Ufeyn ,Ufeyn MCH  - Mobile OTP/TSFP,SNS35,CARE,10.652623,49.756343,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
May,Ufeyn ,Bali doog - Mobile OTP/TSFP,SNS36,CARE,10.84771,49.4595,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
May,Ufeyn ,Jedaal  - Mobile OTP/TSFP,SNS37,CARE,10.209927,49.507984,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
May,Ufeyn ,Kob dhexaad  - Mobile OTP/TSFP,SNS38,CARE,10.656162,49.49925,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
May,Ufeyn ,Tasjiic - Mobile OTP/TSFP,SNS39,CARE,10.862348,49.457768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Ufeyn ,Geeso Qabad - Mobile OTP/TSFP,SNS40,CARE,10.924473,49.256889,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
May,Ufeyn ,Xabley - Mobile OTP/TSFP,SNS41,CARE,11.233128,48.97415,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
May,Qardho,Yaka - Mobile OTP/TSFP ,SNS42,CARE,9.220501,49.121127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Qardho,Shaxda - Mobile OTP/TSFP ,SNS43,CARE,9.175989,48.907055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Qardho,Habaalreer. - Mobile OTP/TSFP ,SNS44,CARE,9.830113,49.372339,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
May,Qardho,Shire - Mobile OTP/TSFP ,SNS45,CARE,9.088625,49.212996,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
May,Qardho,Farjeerin - Mobile OTP/TSFP ,SNS46,CARE,10.82726,49.53718,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
May,ceelbuh,Yube - Mobile OTP/TSFP,SNS47,CARE,10.745042,47.927658,2,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
May,Badhdan,Badhdan - Mobile OTP/TSFP,SNS48,CARE,10.63438,48.56123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Badhdan,Mindigale  - Mobile OTP/TSFP,SNS49,CARE,10.682018,48.672193,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
May,Badhdan,Rad - Mobile OTP/TSFP,SNS50,CARE,10.711838,48.562524,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
May,Badhdan,Hadaaftimo  - Mobile OTP/TSFP,SNS51,CARE,10.767246,48.107267,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
May,Badhdan,Cawsane - Mobile OTP/TSFP,SNS52,CARE,10.582949,48.80709,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
May,Badhdan,Jiicanyo - Mobile OTP/TSFP,SNS53,CARE,10.39898,48.38858,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
May,Erigavo ,Daysole  - Mobile OTP/TSFP,SNS539,CARE,10.3921,47.4839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Badhdan,Xarka dheere - Mobile OTP/TSFP,SNS54,CARE,10.4042,48.4648,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
May,Erigavo ,Dalsan  - Mobile OTP/TSFP,SNS540,CARE,10.1514,47.4252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Bossasso,Kalabayr  - Mobile TSFP,SNS541,CARE,10.829949,49.2538,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
May,Bossasso,Karim - Mobile TSFP,SNS542,CARE,10.982399,49.2186,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
May,Bossasso,Laag - Mobile TSFP,SNS543,CARE,11.038283,49.1881,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
