district_id,district,SAM,MAM,malaria,pneumonia,cholera,IYCF
R1720144,Cabdlcasiis,367,722,0,0,0,163
R1720070,Afgooye,1251,2179,69,234,15,878
R1720149,Hodan,766,1127,0,0,0,215
R1720125,Banadir,886,1187,5,23,0,987
R1720096,Ceel Barde,359,866,0,0,0,424
R1720131,Burdhuhunle,110,66,0,0,0,107
R1720141,Aboore,734,1418,8,157,7,1384
R1720104,Eyl,350,846,0,0,0,84
R1720079,Belet Weyne,3243,2484,125,120,0,2879
R1720107,Gaalkacyo,452,729,1,472,15,2182
R1720111,Hobyo,0,20,0,0,0,196
R1720154,Wadajir,767,885,2,12,41,1213
R1720099,Badhan,102,338,0,0,60,0
R1720112,Iskushuban,4,101,0,0,0,149
R1720083,Bossaso,181,300,0,0,0,809
R1720129,Qardho,11,105,0,0,0,79
R1720097,Ceel Buur,31,134,0,0,0,0
R1720121,Laasqoray,17,100,0,0,0,0
R1720135,Taleex,45,199,0,0,0,0
R1720140,Xudun,101,260,0,0,0,0
R1720120,Bo'ame,33,199,0,0,0,367
R1720118,Kismaayo,181,470,0,0,0,636
R1720075,Baki,48,222,0,0,0,657
R1720082,Borama,193,676,0,0,0,1118
R1720122,Lughaye,39,236,0,0,0,457
R1720142,Zeylac,58,173,0,0,0,266
R1720145,Daynile,3158,3728,1,51,54,2026
R1720146,Dharkenley,1226,2015,0,423,51,1376
R1720156,Xamar JaabJab,392,142,0,54,5,626
R1720157,Xamar Weyne,361,966,0,29,11,1529
R1720153,Waaberi,863,72,0,13,0,1505
R1720093,Caluula,259,333,0,0,0,1314
R1720127,Qandala,176,239,0,0,0,774
R1720074,Aliyow Munim,1165,1268,1,66,87,1902
R1720077,Bandarbeyla,247,374,0,0,0,1729
R1720071,Afmadow,71,46,0,0,0,284
R1720138,Beletamin ,243,304,0,0,0,353
R1720106,Galdogob,85,141,0,0,0,524
R1720115,Jariiban,144,349,0,0,0,1379
R1720105,Gebiley,138,400,0,0,0,1733
R1720081,Berbera,177,264,0,0,0,0
R1720134,Sheikh,12,135,0,0,0,0
R1720088,Buuhoodle,640,1061,0,24,68,529
R1720086,Burco,494,1415,0,0,500,0
R1720094,Caynabo,82,805,0,0,217,0
R1720126,Owdweyne,65,718,0,0,211,0
R1720110,Hargeysa,132,140,0,0,197,0
R1720095,Ceel Afweyn,31,194,0,0,16,0
R1720143,Boondheere,202,277,0,0,0,29
R1720100,Dhuusamarreeb,237,524,22,258,59,1430
R1720098,Ceel Dheer,395,936,31,577,80,3089
R1720090,Balanbale,817,1580,15,92,434,1278
R1720117,Jowhar,67,615,0,1,0,74
R1720080,Belet Hawo,232,40,0,0,0,0
R1720102,Doolow,189,495,0,0,0,0
R1720123,Dhamasa,316,105,0,0,0,0
