district,district_id,general_access,national_access
Adan Yabaal,R1720069,0,0
Afgooye,R1720070,0,16
Afmadow,R1720071,0,16
Baardheere,R1720072,0,16
Badhaadhe,R1720073,0,0
Baidoa,R1720074,16,36
Baki,R1720075,51,66
Balcad,R1720076,16,16
Bandar Beyla,R1720077,16,51
Baraawe,R1720078,0,16
Beled Weyne,R1720079,16,16
Bulo Xawo,R1720080,16,16
Berbera,R1720081,66,86
Borama,R1720082,66,86
Bosasso,R1720083,36,51
Buale,R1720084,0,0
Bulo Burte,R1720085,0,16
Burco,R1720086,66,66
Burtinle,R1720087,51,66
Buuhoodle,R1720088,16,51
Buur Hakaba,R1720089,0,0
Cabud Waaq,R1720090,16,36
Cadaado,R1720091,36,66
Cadale,R1720092,0,16
Caluula,R1720093,16,36
Caynabo,R1720094,66,86
Ceel Afwayn,R1720095,51,66
Ceel Barde,R1720096,16,36
Ceel Buur,R1720097,0,0
Guriceel,R1720098,36,36
Ceerigaabo,R1720099,66,66
Dhumasareb,R1720100,36,36
Diinsoor,R1720101,0,16
Doolow,R1720102,32,51
Ceel Waaq,R1720103,0,16
Eyl,R1720104,36,66
Gabiley,R1720105,66,86
Galdogob,R1720106,36,66
Galkacyo,R1720107,36,36
Garbahaarey,R1720108,0,16
Garowe,R1720109,66,86
Hargeisa,R1720110,86,86
Hobyo,R1720111,16,16
Iskushuban,R1720112,16,36
Jalalaqsi,R1720113,0,16
Jamaame,R1720114,0,0
Jaribaan,R1720115,16,51
Jilib,R1720116,0,0
Jowar,R1720117,16,16
Kismayo,R1720118,0,16
Kurtunwarey,R1720119,0,0
Laas Caanood,R1720120,51,66
Laas Qoray,R1720121,36,51
Lughaye,R1720122,51,66
Luuq,R1720123,16,16
Marka,R1720124,0,0
Mogadishu,R1720125,0,16
Oodweyne,R1720126,66,86
Qandala,R1720127,0,16
Qansax Dhere,R1720128,0,16
Qardho,R1720129,51,66
Qoryooley,R1720130,0,0
Rabdhuure,R1720131,0,0
Saakow,R1720132,0,0
Sablaale,R1720133,0,0
Sheekh,R1720134,66,86
Taleex,R1720135,51,66
Tayeeglow,R1720136,0,0
Waajid,R1720137,16,16
Wanla Weyn,R1720138,0,0
Xarar Dhere,R1720139,0,0
Xudun,R1720140,51,66
Xudur,R1720141,0,16
Zeylac,R1720142,51,66
