district,district_id,referrals,OTP_discharges,cured,died,defaulter,non_cured,transfers,total_discharges,perc_recovered,perc_dead,per_defaulted,non_recovered,perc_non_recovery
Baki,R1720075,3,0,50,0,0,0,0,50,100,0,0,3,6
Aliyow Munim,R1720074,0,0,129,0,0,47,0,176,73,0,0,47,27
Belet Weyne,R1720079,105,0,185,0,6,7,0,198,93,0,3,112,57
Belet Hawo,R1720080,61,0,44,0,0,0,0,44,100,0,0,61,139
Borama,R1720082,2,0,50,0,0,0,0,50,100,0,0,2,4
Buuhoodle,R1720088,127,0,50,1,16,0,0,67,75,1,24,127,190
Balanbale,R1720090,0,0,92,0,0,0,0,92,100,0,0,0,0
Cadaado,R1720091,0,0,162,0,0,0,0,162,100,0,0,0,0
Caynabo,R1720094,0,0,0,0,26,0,0,26,0,0,100,0,0
Ceel Afweyn,R1720095,40,0,0,0,0,0,0,0,0,0,0,40,0
Ceel Barde,R1720096,101,0,10,0,2,1,0,13,77,0,15,102,785
Badhan,R1720099,72,0,5,0,0,0,0,5,100,0,0,72,1440
Dhuusamarreeb,R1720100,0,0,376,0,0,0,0,376,100,0,0,0,0
Diinsoor,R1720101,0,0,182,0,31,0,0,213,85,0,15,0,0
Doolow,R1720102,0,0,88,0,0,0,0,88,100,0,0,0,0
Gaalkacyo,R1720107,0,0,163,0,0,0,0,163,100,0,0,0,0
Burdhubo,R1720108,0,0,216,0,2,9,0,227,95,0,1,9,4
Gebiley,R1720105,9,0,165,0,4,0,0,169,98,0,2,9,5
Hargeysa,R1720110,552,0,131,0,33,0,0,164,80,0,20,552,337
Hobyo,R1720111,0,0,134,0,0,2,0,136,99,0,0,2,1
Jowhar,R1720117,0,0,0,0,0,0,0,0,0,0,0,0,0
Bo'ame,R1720120,187,0,61,0,3,0,0,64,95,0,5,187,292
Lughaye,R1720122,4,0,168,0,0,0,0,168,100,0,0,4,2
Dhamasa,R1720123,0,0,43,0,0,0,0,43,100,0,0,0,0
Burdhuhunle,R1720131,18,0,0,0,0,0,0,0,0,0,0,18,0
Taleex,R1720135,0,0,0,0,0,0,0,0,0,0,0,0,0
Waajid,R1720137,0,0,46,0,0,0,0,46,100,0,0,0,0
Xarardheere,R1720139,0,0,444,0,38,53,0,535,83,0,7,53,10
Xudun,R1720140,0,0,0,0,0,0,0,0,0,0,0,0,0
Aboore,R1720141,69,0,134,0,0,3,0,137,98,0,0,72,53
Jariiban,R1720115,2,0,34,0,6,0,0,40,85,0,15,2,5
Galdogob,R1720106,0,0,0,0,0,0,0,0,0,0,0,0,0
Dangorayo,R1720109,0,0,371,14,0,3,0,388,96,4,0,3,1
Eyl,R1720104,0,0,497,3,0,0,0,500,99,1,0,0,0
Burtinle,R1720087,0,0,158,0,0,6,0,164,96,0,0,6,4
Karaan,R1720150,0,0,220,0,0,0,0,220,100,0,0,0,0
Balcad,R1720076,0,0,477,0,0,0,0,477,100,0,0,0,0
Afgooye,R1720070,0,0,754,0,0,0,0,754,100,0,0,0,0
Daynile,R1720145,1,0,266,0,5,0,0,271,98,0,2,1,0
Banadir,R1720125,0,0,0,0,0,0,0,0,0,0,0,0,0
Yaaqshiid,R1720158,1,0,34,0,0,0,0,34,100,0,0,1,3
Cabdlcasiis,R1720144,0,0,43,0,0,0,0,43,100,0,0,0,0
Shibis,R1720152,0,0,72,0,0,0,0,72,100,0,0,0,0
Boondheere,R1720143,0,0,55,0,0,0,0,55,100,0,0,0,0
Cadale,R1720092,0,0,171,0,0,0,0,171,100,0,0,0,0
Hawl Wadaag,R1720147,0,0,0,0,0,0,0,0,0,0,0,0,0
Hantiwadag,R1720124,0,0,217,0,0,0,0,217,100,0,0,0,0
Hodan,R1720149,0,0,45,0,2,9,0,56,80,0,4,9,16
Waaberi,R1720153,25,0,29,0,2,3,0,34,85,0,6,28,82
Shangaani,R1720151,13,0,17,0,1,3,0,21,81,0,5,16,76
Dharkenley,R1720146,13,0,47,0,0,8,0,55,85,0,0,21,38
Wadajir,R1720154,32,0,37,0,4,4,0,45,82,0,9,36,80
Wardhiigleey,R1720155,16,0,11,0,1,2,0,14,79,0,7,18,129
Xamar Weyne,R1720157,5,0,23,0,0,0,0,23,100,0,0,5,22
Heliwa,R1720148,12,0,80,0,3,0,0,83,96,0,4,12,14
Xamar JaabJab,R1720156,0,0,34,0,0,3,0,37,92,0,0,3,8
Baraawe,R1720078,7,0,0,0,0,0,0,0,0,0,0,7,0
Bandarbeyla,R1720077,0,0,19,0,0,0,0,19,100,0,0,0,0
Iskushuban,R1720112,0,0,160,0,0,0,0,160,100,0,0,0,0
Qardho,R1720129,0,0,148,0,0,0,0,148,100,0,0,0,0
Bossaso,R1720083,0,0,55,0,0,0,0,55,100,0,0,0,0
Qandala,R1720127,0,0,74,0,0,0,0,74,100,0,0,0,0
Caluula,R1720093,0,0,128,0,0,0,0,128,100,0,0,0,0
Kismaayo,R1720118,8,0,14,0,4,0,0,18,78,0,22,8,44
Afmadow,R1720071,0,0,15,0,0,3,0,18,83,0,0,3,17
