period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,perc_non_recovery
April,WVI,BeletXaawo,Alingo - TSFP,WFP10,3.95131,41.89715,TSFP_PLW,6,0,4,0,2,0,0,0,0,16,10,2,24,100,0,0
April,EPHCO,Rab Dhuure,yeed - District Capital,WFP10034,4.541978,43.022539,TSFP_PLW,4,0,7,0,0,0,0,0,0,21,11,0,32,0,0,0
April,Mercy USA,LaasCaanood,Yeyle - Settlement,WFP10036,8.698727,46.609919,TSFP_PLW,265,0,72,0,0,0,0,0,0,0,337,0,337,0,0,0
April,HADO,Caluula,Caluula - TSFP,WFP101,11.96039,50.75858,TSFP_PLW,9,0,0,0,43,0,0,0,0,300,9,43,266,100,0,0
April,SDRO,Gaalkacyo,Carfuuda  - TSFP,WFP103,6.62902,47.58737,TSFP_PLW,3,0,0,0,3,0,0,0,0,13,3,3,13,100,0,0
April,HADO,Bossaso,Carmo - TSFP,WFP104,10.5665,49.0609,TSFP_PLW,7,0,0,0,26,0,0,0,0,100,7,26,81,100,0,0
April,Mercy USA,Buuhoodle,Cegaag - MCHN,WFP106,8.62001,46.49813,TSFP_PLW,6,0,0,0,0,0,0,0,0,53,6,0,59,0,0,0
April,WVI,BeletXaawo,Ceeldheere - TSFP,WFP110,5.36098,46.19675,TSFP_PLW,18,0,4,0,4,0,0,0,0,13,22,4,31,100,0,0
April,SHARDO,Balcad/Warsheikh,BALAD  - Settlement,WFP1164,2.62667,45.504799,TSFP_PLW,99,0,0,0,30,0,0,0,0,396,99,30,465,100,0,0
April,HEAL ,CeelAfweyn,Celcade  - TSFP,WFP117,9.808085,46.603849,TSFP_PLW,126,0,0,0,0,0,0,0,0,0,126,0,126,0,0,0
April,Mercy USA,Hobyo,Bijjelo - TSFP,WFP119,5.78645,47.70297,TSFP_PLW,10,0,0,0,9,0,0,0,0,120,10,9,121,100,0,0
April,WVI,Hargeysa,Bali Abane - Settlement,WFP1197,9.29667,44.529999,TSFP_PLW,10,0,0,0,19,0,0,0,0,50,10,19,41,100,0,0
April,WVI,Burtinle,Ceelweyne - TSFP,WFP124,7.74121,48.62122,TSFP_PLW,15,0,0,0,11,0,0,0,0,50,15,11,54,100,0,0
April,SDRO,Gaalkacyo,Ceel aqwaan - TSFP,WFP126,6.691801,47.377357,TSFP_PLW,4,0,0,0,2,0,0,0,0,14,4,2,16,100,0,0
April,WVI,Hargeysa,Baligubadale - Settlement,WFP1261,9,44.00833,TSFP_PLW,31,0,0,0,20,0,0,0,0,57,31,20,68,100,0,0
April,SDO,Jariiban,CEELXAGAR - TSFP,WFP128,7.4174,49.27849,TSFP_PLW,12,0,0,0,12,0,0,0,0,93,12,12,93,100,0,0
April,WVI,Garowe,Cuun - TSFP,WFP133,8.81879,48.89346,TSFP_PLW,14,0,0,0,7,0,0,0,0,43,14,7,50,100,0,0
April,RAWA,Xarardheere,Dabagalo - TSFP,WFP134,4.9217,47.66523,TSFP_PLW,93,0,0,0,63,0,5,7,0,261,93,75,279,84,7,9
April,SWISSO-kalmo,Dhuusamarreeb,Dabarre - TSFP,WFP135,5.18907,45.91851,TSFP_PLW,18,0,0,0,7,0,0,0,0,62,18,7,73,100,0,0
April,MEDAIR,Afgooye,Dameraale HF - TSFP,WFP137,2.25019,45.131199,TSFP_PLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
April,NEW WAYS ,Baraawe,BARAWE  - District Capital,WFP1389,1.11477,44.03043,TSFP_PLW,176,0,7,0,0,0,0,0,0,0,183,0,183,0,0,0
April,WVI,Baydhaba/Bardaale,Darusalam - TSFP,WFP139,3.117954,43.662952,TSFP_PLW,8,0,0,0,10,0,0,5,0,41,8,15,34,67,0,33
April,Mercy USA,Cabudwaaq,Bangele - TSFP,WFP147,6.15527,46.43626,TSFP_PLW,13,0,0,0,16,0,0,0,0,127,13,16,124,100,0,0
April,Mercy USA,Buuhoodle,Dhalaamo Cune - TSFP,WFP151,8.375667,46.621676,TSFP_PLW,0,0,0,0,0,0,0,0,0,70,0,0,70,0,0,0
April,RAWA,Xarardheere,Dhalwo - TSFP,WFP152,4.5612,47.56813,TSFP_PLW,49,0,0,0,41,0,3,5,0,164,49,49,164,84,6,10
April,SCI,Borama,Boon - Settlement,WFP1535,10.18513,43.0841,TSFP_PLW,41,0,0,0,0,0,0,0,0,266,41,0,307,0,0,0
April,WVI,Eyl,Dhegenle - TSFP,WFP156,7.83003,49.51149,TSFP_PLW,23,0,0,0,20,0,0,0,0,120,23,20,123,100,0,0
April,Mercy USA,Buuhoodle,Dhilaalo - TSFP,WFP157,8.440799,46.464777,TSFP_PLW,3,0,0,0,0,0,0,0,0,64,3,0,67,0,0,0
