period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,perc_non_recovery
April,WVI,BeletXaawo,Alingo - TSFP,WFP10,3.95131,41.89715,TSFP_U5,27,2,3,0,11,0,0,1,4,23,32,16,39,69,0,0
April,EPHCO,Rab Dhuure,yeed - District Capital,WFP10034,4.541978,43.022539,TSFP_U5,33,0,5,0,0,0,0,0,0,423,38,0,461,0,0,0
April,Mercy USA,LaasCaanood,Yeyle - Settlement,WFP10036,8.698727,46.609919,TSFP_U5,66,0,265,0,0,0,193,0,0,199,331,193,337,0,100,0
April,HADO,Caluula,Caluula - TSFP,WFP101,11.96039,50.75858,TSFP_U5,33,0,0,0,60,0,0,0,0,525,33,60,498,100,0,0
April,SDRO,Gaalkacyo,Carfuuda  - TSFP,WFP103,6.62902,47.58737,TSFP_U5,6,0,0,0,5,0,0,0,0,42,6,5,43,100,0,0
April,HADO,Bossaso,Carmo - TSFP,WFP104,10.5665,49.0609,TSFP_U5,14,0,0,0,45,0,0,0,0,303,14,45,272,100,0,0
April,Mercy USA,Buuhoodle,Cegaag - MCHN,WFP106,8.62001,46.49813,TSFP_U5,8,0,0,0,0,0,0,0,0,39,8,0,47,0,0,0
April,WVI,BeletXaawo,Ceeldheere - TSFP,WFP110,5.36098,46.19675,TSFP_U5,9,2,3,0,17,0,0,1,4,60,14,22,52,77,0,0
April,SHARDO,Balcad/Warsheikh,BALAD  - Settlement,WFP1164,2.62667,45.504799,TSFP_U5,176,0,0,0,324,0,0,0,0,887,176,324,739,100,0,0
April,HEAL ,CeelAfweyn,Celcade  - TSFP,WFP117,9.808085,46.603849,TSFP_U5,48,0,0,0,0,0,0,0,0,78,48,0,126,0,0,0
April,Mercy USA,Hobyo,Bijjelo - TSFP,WFP119,5.78645,47.70297,TSFP_U5,29,0,0,0,24,0,0,0,0,224,29,24,229,100,0,0
April,WVI,Hargeysa,Bali Abane - Settlement,WFP1197,9.29667,44.529999,TSFP_U5,105,1,0,0,28,0,2,2,0,149,106,32,223,88,6,0
April,WVI,Burtinle,Ceelweyne - TSFP,WFP124,7.74121,48.62122,TSFP_U5,23,0,0,0,40,2,0,0,0,55,23,42,36,95,0,0
April,SDRO,Gaalkacyo,Ceel aqwaan - TSFP,WFP126,6.691801,47.377357,TSFP_U5,13,0,0,0,7,0,0,0,0,59,13,7,65,100,0,0
April,WVI,Hargeysa,Baligubadale - Settlement,WFP1261,9,44.00833,TSFP_U5,147,3,0,0,45,0,0,0,0,250,150,45,355,100,0,0
April,SDO,Jariiban,CEELXAGAR - TSFP,WFP128,7.4174,49.27849,TSFP_U5,38,0,0,0,0,0,0,0,0,125,38,0,163,0,0,0
April,WVI,Garowe,Cuun - TSFP,WFP133,8.81879,48.89346,TSFP_U5,22,0,0,0,7,0,0,0,0,20,22,7,35,100,0,0
