period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
February,WVI,Belet Xaawo,Alingo - TSFP,WFP10,3.95131,41.89715,TSFP_PLW,26,0,0,0,12,0,2,2,0,35,26,16,45,75,13
February,SRCS,Laas Caanood,Yagoori - Settlement,WFP10001,8.754485,46.962834,TSFP_PLW,80,0,19,0,26,0,2,0,0,24,99,28,95,93,7
February,Mercy USA,Laas Caanood,Yeyle - Settlement,WFP10036,8.698727,46.609919,TSFP_PLW,265,0,14,0,35,0,0,0,0,22,279,35,266,100,0
February,SDRO,Gaalkacyo,Carfuuda  - TSFP,WFP103,6.62902,47.58737,TSFP_PLW,11,0,1,0,5,0,1,0,0,70,12,6,76,83,17
February,HADO,Bossaso,Carmo - TSFP,WFP104,10.5665,49.0609,TSFP_PLW,22,0,2,0,8,0,2,0,0,40,24,10,54,80,20
February,SHARDO ,Balcad,BALAD - Settlement,WFP1164,2.62667,45.504799,TSFP_PLW,9,0,0,0,9,0,0,0,0,21,9,9,21,100,0
February,WVI,Burtinle,Ceelweyne - TSFP,WFP124,7.74121,48.62122,TSFP_PLW,7,0,1,0,3,0,1,0,0,16,8,4,20,75,25
February,WVI,Hargeisa,Bali Abane - Settlement,WFP1253,9.14731,43.85833,TSFP_PLW,11,0,0,0,0,0,0,0,0,25,11,0,36,0,0
February,SDRO,Gaalkacyo,Ceel aqwaan - TSFP,WFP126,6.691801,47.377357,TSFP_PLW,18,0,1,0,5,0,1,0,0,20,19,6,33,83,17
February,WARDI,Hamar Jajab,Baligubadale - Settlement,WFP1261,9,44.00833,TSFP_PLW,33,0,0,0,0,0,0,0,0,65,33,0,98,0,0
February,SDO,Jariiban,CEELXAGAR - TSFP,WFP128,7.4174,49.27849,TSFP_PLW,6,0,1,0,16,0,1,0,0,16,7,17,6,94,6
February,WVI,Garoowe,CUUN - TSFP,WFP133,8.81879,48.89346,TSFP_PLW,3,0,3,0,5,0,1,0,0,70,6,6,70,83,17
February,RAWA,Xarardheere,Dabagalo - TSFP,WFP134,4.9217,47.66523,TSFP_PLW,34,0,1,0,16,0,3,0,0,23,35,19,39,84,16
February,SWISSO-kalmo,Dhuusamarreeb,Dabarre - TSFP,WFP135,5.18907,45.91851,TSFP_PLW,34,0,2,0,20,0,4,0,0,30,36,24,42,83,17
February,Mercy USA,Hargeisa,Darasalam - TSFP,WFP139,3.117954,43.662952,TSFP_PLW,2,0,0,0,12,0,0,0,0,38,2,12,28,100,0
February,Mercy USA,Cabudwaaq,Bangele - TSFP,WFP147,6.15527,46.43626,TSFP_PLW,40,0,0,0,0,0,0,0,0,30,40,0,70,0,0
February,RAWA,Xarardheere,Dhalwo - TSFP,WFP152,4.5612,47.56813,TSFP_PLW,0,0,0,0,9,0,0,0,0,30,0,9,21,100,0
February,WVI,Eyl,Dhanaane - TSFP,WFP153,7.596085,49.747431,TSFP_PLW,0,0,0,0,11,0,0,0,0,37,0,11,26,100,0
February,WVI,Eyl,Dhigenle - TSFP,WFP156,7.83003,49.51149,TSFP_PLW,57,0,3,0,0,0,0,0,0,0,60,0,60,0,0
February,WVI,Baidoa,Awil barwaaqo - TSFP,WFP16,3.129843,43.647554,TSFP_PLW,64,0,0,0,10,0,2,0,0,14,64,12,66,83,17
February,HADO,Bandarbayla,Dhudhub - TSFP,WFP160,9.22973,49.91697,TSFP_PLW,142,0,6,0,0,0,0,0,0,0,148,0,148,0,0
February,DHO,Diinsoor,Bilile - Settlement,WFP1658,2.41605,42.90134,TSFP_PLW,18,0,0,0,0,0,0,0,0,27,18,0,45,0,0
February,WVI,Eyl,Diilin - TSFP,WFP169,8.25548,49.5762,TSFP_PLW,0,0,0,0,22,0,0,4,8,34,0,34,0,65,0
February,SDRO,Gaalkacyo,Docol - TSFP,WFP170,6.432393,47.491112,TSFP_PLW,0,0,0,0,1,0,0,6,10,32,0,17,15,6,0
February,SDRO,Gaalkacyo,Docole farale - TSFP,WFP173,6.67026,47.552374,TSFP_PLW,3,0,0,0,0,0,0,0,0,36,3,0,39,0,0
February,WVI,Doolow,Dollow Town - TSFP,WFP176,4.16358,42.7617,TSFP_PLW,26,0,0,0,34,0,0,0,0,58,26,34,50,100,0
February,WVI,Belet Xaawo,Booco - Settlement,WFP1779,4.33015,45.39258,TSFP_PLW,69,0,0,0,0,0,0,0,0,0,69,0,69,0,0
February,SCI,Borama,Boon - Settlement,WFP1794,10.18513,43.0841,TSFP_PLW,80,0,0,0,0,0,0,0,0,125,80,0,205,0,0
February,WVI,Garoowe,Dudumaale - TSFP,WFP180,8.143998,48.776269,TSFP_PLW,13,0,0,0,0,0,0,0,0,10,13,0,23,0,0
February,RAWA,Xarardheere,Dumaaye - TSFP,WFP182,5.010299,47.992194,TSFP_PLW,1,0,0,0,0,0,0,0,0,28,1,0,29,0,0
February,WVI,Dan Gorayo,Budunbuto - Settlement,WFP1847,7.61778,49.07695,TSFP_PLW,0,0,0,0,0,0,0,0,0,83,0,0,83,0,0
February,SWISSO-kalmo,Dhuusamarreeb,Faragoy - TSFP,WFP188,5.466401,46.524527,TSFP_PLW,50,0,0,0,37,0,0,0,0,73,50,37,86,100,0
February,WVI,Burtinle,Faratoyo - TSFP,WFP189,7.53474,47.81277,TSFP_PLW,16,0,0,0,10,0,0,3,0,36,16,13,39,77,0
February,SWISSO-kalmo,Dhuusamarreeb,Gadon - TSFP,WFP194,5.68118,46.683252,TSFP_PLW,14,0,0,0,0,0,0,0,0,90,14,0,104,0,0
February,SDO,Galdogob,GALDOGOB - TSFP,WFP195,7.05755,47.13494,TSFP_PLW,3,0,0,0,0,0,0,0,0,80,3,0,83,0,0
February,SDRO,Gaalkacyo,Galinsoor - TSFP,WFP196,6.42639,46.70553,TSFP_PLW,5,0,0,0,0,0,0,0,0,131,5,0,136,0,0
February,WVI,Luuq,Garsow - TSFP,WFP203,3.8295,42.48916,TSFP_PLW,13,0,0,0,2,0,0,0,0,46,13,2,57,100,0
February,WVI,Doolow,Gedweyne - TSFP,WFP206,4.32,42.29415,TSFP_PLW,17,0,0,0,1,0,0,0,0,29,17,1,45,100,0
February,WVI,Luuq,Garbolow - TSFP,WFP207,3.91147,42.51267,TSFP_PLW,0,0,0,0,0,0,0,0,0,525,0,0,525,0,0
February,Gewdo,Garbahaarey,Buraa - Settlement,WFP2098,3.16962,42.1483,TSFP_PLW,0,0,0,0,0,0,0,0,0,43,0,0,43,0,0
February,WVI,Eyl,Godob Jiraan - TSFP,WFP210,7.6415,47.783699,TSFP_PLW,63,0,0,0,62,0,0,0,0,189,63,62,190,100,0
February,WVI,Burtinle,Godobyar - TSFP,WFP211,7.72006,47.66395,TSFP_PLW,9,0,0,0,4,0,0,0,0,24,9,4,29,100,0
February,HADO,Iskushuban,Gumbax - TSFP,WFP222,10.88443,51.11405,TSFP_PLW,38,0,0,0,14,0,0,0,0,100,38,14,124,100,0
