period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
February,WVI,Doolow,Alingo - TSFP,WFP10,3.95131,41.89715,TSFP_U5,2,0,0,,18,0,0,0,0,63,21,6,35,,
February,SRCS,Laas Caanood,Yagoori - Settlement,WFP10001,8.754485,46.962834,TSFP_U5,40,1,0,,17,0,0,0,0,145,0,0,0,,
February,Mercy USA,Laas Caanood,Yeyle - Settlement,WFP10036,8.698727,46.609919,TSFP_U5,33,0,0,,11,0,0,0,0,155,0,0,0,,
February,HADO,Caluula,Caluula - TSFP,WFP101,11.96039,50.75858,TSFP_U5,62,0,0,,0,0,0,0,0,100,37,0,98,,
February,SDRO,Gaalkacyo,Carfuuda  - TSFP,WFP103,6.62902,47.58737,TSFP_U5,13,0,0,,13,0,0,0,0,78,0,0,0,,
February,HADO,Bossaso,Carmo - TSFP,WFP104,10.5665,49.0609,TSFP_U5,62,0,0,,0,0,0,0,0,100,37,0,153,,
February,SHARDO ,Balcad,BALAD - Settlement,WFP1164,2.62667,45.504799,TSFP_U5,887,0,0,,351,0,0,0,0,261,0,0,0,,
February,WVI,Burtinle,Ceelweyne - TSFP,WFP124,7.74121,48.62122,TSFP_U5,75,0,0,,0,0,0,0,0,146,78,20,160,,
February,WVI,Hargeisa,Bali Abane - Settlement,WFP1253,9.14731,43.85833,TSFP_U5,46,0,2,,22,0,3,0,0,145,0,0,0,,
February,SDRO,Gaalkacyo,Ceel aqwaan - TSFP,WFP126,6.691801,47.377357,TSFP_U5,14,0,0,,8,0,0,0,0,104,0,0,0,,
February,WARDI,Hamar Jajab,Baligubadale - Settlement,WFP1261,9,44.00833,TSFP_U5,365,13,8,0,319,0,2,6,2,715,0,0,0,0,
February,SDO,Jariiban,CEELXAGAR - TSFP,WFP128,7.4174,49.27849,TSFP_U5,0,0,0,,0,0,0,0,0,61,4,37,344,,
February,WVI,Garoowe,CUUN - TSFP,WFP133,8.81879,48.89346,TSFP_U5,10,0,0,,0,0,0,0,0,0,0,0,1247,,
