period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
January,DHO,Diinsoor,Biilile - Settlement,WFP1639,2.4165,42.9134,TSFP_PLW,29,0,0,0,22,0,3,2,0,30,29,27,32,81,11
January,DHO,Diinsoor,Raahole - Settlement,WFP2490,2.42142,42.928669,TSFP_PLW,20,0,0,0,9,0,3,1,0,20,20,13,27,69,23
January,DHO,Diinsoor,Howlwadag - Settlement,WFP5751,2.723,43.16499,TSFP_PLW,39,0,0,0,30,0,0,1,0,78,39,31,86,97,0
January,DHO,Diinsoor,Lama warood - Settlement,WFP7022,2.51773,42.9721,TSFP_PLW,18,0,0,0,10,0,0,0,0,21,18,10,29,100,0
January,GEWDO,Garbahaarey,Buraa - Settlement,WFP2098,3.16962,42.1483,TSFP_PLW,0,0,0,0,64,0,0,3,0,67,0,67,0,96,0
January,GEWDO,Garbahaarey,Garbahaarey - Regional Capital,WFP4990,3.328,42.219879,TSFP_PLW,0,0,0,0,65,0,0,3,2,70,0,70,0,93,0
January,HEAL ,Hargeisa  ,Abaarso  - Settlement,WFP479,9.62462,43.88653,TSFP_PLW,34,0,0,0,4,0,0,0,0,71,34,4,101,100,0
January,HEAL ,Ceel Afweyn,GAR-ADAG - Settlement,WFP4876,9.48711,46.866926,TSFP_PLW,12,0,0,0,6,0,0,0,0,67,12,6,73,100,0
January,HEAL ,Ceel Afweyn,HULUL - Settlement,WFP5944,9.97111,46.773,TSFP_PLW,18,0,0,0,3,0,0,0,0,79,18,3,94,100,0
January,HEAL ,Ceerigaabo,MAYDH  - Settlement,WFP7577,1.988259,47.19128,TSFP_PLW,45,0,0,0,6,0,0,0,0,98,45,6,137,100,0
January,Mercy USA,Hargeisa  ,Daraweine - Settlement,WFP3527,9.719863,44.22455,TSFP_PLW,36,0,0,0,0,0,0,0,0,10,36,0,46,0,0
January,Mercy USA,Hargeisa  ,Darasalam - TSFP,WFP139,3.117954,43.662952,TSFP_PLW,35,0,0,0,15,0,0,0,0,5,35,15,25,100,0
January,Mercy USA,Laas Caanood,Lasanod - Regional Capital,WFP6912,8.473575,47.35449,TSFP_PLW,33,0,0,0,13,0,0,1,0,40,33,14,59,93,0
