period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
January,DHO,Diinsoor,Biilile - Settlement,WFP1639,2.41605,42.90134,TSFP,59,0,0,0,32,0,2,3,0,129,59,37,151,86,5
January,DHO,Diinsoor,Raahole - Settlement,WFP2490,2.42142,42.928669,TSFP,42,0,0,0,12,0,3,1,0,67,42,16,93,75,19
January,DHO,Diinsoor,Howlwadag - Settlement,WFP5751,2.00723,43.16499,TSFP,103,0,0,0,61,0,2,2,0,496,103,65,534,94,3
January,DHO,Diinsoor,Lama warood - Settlement,WFP7022,2.51773,42.9721,TSFP,29,0,1,0,23,0,1,1,0,77,30,25,82,92,4
January,GEWDO,Garbahaarey,Buraa - Settlement,WFP2098,3.16962,42.14083,TSFP,0,0,0,0,0,0,0,5,0,126,0,5,121,0,0
January,GEWDO,Garbahaarey,Garbahaarey - Regional Capital,WFP4990,3.328,42.219879,TSFP,0,0,0,0,0,0,0,7,3,135,0,10,125,0,0
January,HEAL ,Hargeisa  ,Abaarso  - Settlement,WFP479,9.602462,43.880653,TSFP,167,0,0,0,11,0,0,0,0,94,167,11,250,100,0
January,HEAL ,Ceel Afweyn,GAR-ADAG - Settlement,WFP4876,9.487011,46.866926,TSFP,63,0,0,0,11,0,0,0,0,152,63,11,204,100,0
January,HEAL ,Ceel Afweyn,HULUL - Settlement,WFP5944,9.97111,46.70073,TSFP,69,0,0,0,9,0,0,0,0,108,69,9,168,100,0
January,HEAL ,Ceerigaabo,MAYDH  - Settlement,WFP7577,10.988259,47.109128,TSFP,176,0,0,0,16,0,0,0,0,163,176,16,323,100,0
January,Mercy USA,Hargeisa  ,Darasalam - TSFP,WFP139,9.84075,44.01367,TSFP,45,0,0,0,15,0,0,0,0,183,45,15,213,100,0
