period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
June,WVI,Belet Xaawo,ALINGO - TSFP,WFP10,3.95131,41.89715,TSFP_PLW,3,0,0,0,2,0,0,0,0,10,3,2,11,100,0
June,EPHCO ,Rab Dhuure,yeed - District Capital,WFP10034,4.541978,43.022539,TSFP_PLW,22,0,0,0,0,0,0,0,0,6,22,0,28,0,0
June,Mercy USA,Laas Caanood,Yeyle - Settlement,WFP10036,8.698727,46.609919,TSFP_PLW,27,0,0,0,21,0,0,0,0,151,27,21,157,100,0
June,SDRO,Gaalkacyo,Carfuuda  - TSFP,WFP103,6.62902,47.58737,TSFP_PLW,5,0,0,0,4,0,0,0,0,12,5,4,13,100,0
June,HADO,Bossaso,Carmo - TSFP,WFP104,10.5665,49.0609,TSFP_PLW,16,0,0,0,19,0,0,0,0,100,16,19,97,100,0
June,SCF,BeletWeyne,Bacaad - Settlement,WFP1047,0.02435,42.814629,TSFP_PLW,13,0,0,0,0,0,0,0,0,35,13,0,48,0,0
June,HEAL ,Ceel Afweyn,BACAHA - Settlement,WFP1057,5.706654,45.931646,TSFP_PLW,159,0,0,0,0,0,0,0,0,39,159,0,198,0,0
June,HEAL ,Ceel Afweyn,Celcade  - TSFP,WFP117,9.808085,46.603849,TSFP_PLW,56,0,0,0,0,0,0,0,0,48,56,0,104,0,0
June,WVI,Hargeisa,Bali Abane - Settlement,WFP1253,9.14731,43.85833,TSFP_PLW,12,0,0,0,12,0,0,0,0,160,12,12,160,100,0
June,SDRO,Gaalkacyo,Ceel aqwaan - TSFP,WFP126,6.691801,47.377357,TSFP_PLW,2,0,0,0,5,0,0,0,0,16,2,5,13,100,0
June,SDO,Jariiban,CEELXAGAR - TSFP,WFP128,7.4174,49.27849,TSFP_PLW,0,0,0,0,0,0,0,0,0,94,0,0,94,0,0
June,WVI,Garoowe,Cuun - TSFP,WFP133,8.81879,48.89346,TSFP_PLW,8,0,0,0,8,0,0,0,0,37,8,8,37,100,0
June,RAWA,Xarardheere,Dabagalo - TSFP,WFP134,4.9217,47.66523,TSFP_PLW,102,0,0,0,71,0,7,9,0,387,102,87,402,82,8
June,Swisso-Kalmo,Dhuusamarreeb,Dabarre - TSFP,WFP135,5.18907,45.91851,TSFP_PLW,10,0,0,0,9,0,0,0,0,63,10,9,64,100,0
June,WVI,Baydhaba,Darusalam - TSFP,WFP139,3.117954,43.662952,TSFP_PLW,12,0,0,0,8,0,0,3,0,28,12,11,29,73,0
June,Mercy USA,Cabudwaaq,Bangele - TSFP,WFP147,6.15527,46.43626,TSFP_PLW,15,0,0,0,17,0,0,0,0,204,15,17,202,100,0
June,RAWA,Xarardheere,Dhalwo - TSFP,WFP152,4.5612,47.56813,TSFP_PLW,58,0,0,0,53,0,5,7,0,253,58,65,246,82,8
June,WVI,Eyl,Dhanaane - TSFP,WFP153,7.596085,49.747431,TSFP_PLW,12,0,0,0,11,0,0,0,0,80,12,11,81,100,0
June,WVI,Eyl,Dhigenle - TSFP,WFP156,7.83003,49.51149,TSFP_PLW,10,0,0,0,9,0,0,0,0,70,10,9,71,100,0
June,Mercy USA,Buuhoodle,Dhilaalo - TSFP,WFP157,8.440799,46.464777,TSFP_PLW,0,0,0,0,0,0,0,0,0,67,0,0,67,0,0
June,WRRS,Afmadow,dhobley - TSFP,WFP158,0.40627,41.01238,TSFP_PLW,5,0,0,0,0,0,0,0,0,436,5,0,441,0,0
June,HEAL ,Ceel Afweyn,DHOOMO - TSFP,WFP159,9.815154,46.712569,TSFP_PLW,57,0,0,0,0,0,0,0,0,60,57,0,117,0,0
June,HADO,Bandarbayla,Dhudhub - TSFP,WFP160,9.22973,49.91697,TSFP_PLW,10,0,0,0,26,0,0,0,0,178,10,26,162,100,0
June,Mercy USA,Hobyo,Wisil  - MCHN,WFP163,5.42775,48.12112,TSFP_PLW,16,0,0,0,15,0,0,0,0,919,16,15,920,100,0
June,DHO,Diinsoor,Biilile - Settlement,WFP1639,3.18055,43.41617,TSFP_PLW,0,0,0,0,0,0,0,0,0,81,0,0,81,0,0
June,WRRS,Afmadow,dibi - TSFP,WFP165,0.5804,41.1217,TSFP_PLW,1,0,0,0,0,0,0,0,0,6,1,0,7,0,0
June,WVI,Eyl,Diilin - TSFP,WFP169,8.25548,49.5762,TSFP_PLW,9,0,0,0,7,0,1,0,0,47,9,8,48,88,13
