period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,perc_non_recovery
March,WVI,Belet Xaawo,Alingo - TSFP,WFP10,3.95131,41.89715,TSFP_PLW,5,0,0,0,5,0,0,0,0,16,5,5,16,100,0,0
March,SDRO,Gaalkacyo,Carfuuda  - TSFP,WFP103,6.62902,47.58737,TSFP_PLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,HADO,Bossaso,Carmo - TSFP,WFP104,10.5665,49.0609,TSFP_PLW,52,0,0,0,0,0,0,0,0,23,52,0,75,0,0,0
March,Mercy USA,Buuhoodle,Cegaag - MCHN,WFP106,8.62001,46.49813,TSFP_PLW,53,0,0,0,0,0,0,0,0,0,53,0,53,0,0,0
March,SHARDO,Balcad/Warsheikh,BALAD  - Settlement,WFP1164,2.62667,45.504799,TSFP_PLW,99,0,0,0,30,0,0,0,0,396,99,30,465,100,0,0
March,HEAL ,CeelAfweyn,Celcade  - TSFP,WFP117,9.808085,46.603849,TSFP_PLW,0,0,0,0,0,0,0,0,0,48,0,0,48,0,0,0
March,WVI,Burtinle,Ceelweyne - TSFP,WFP124,7.74121,48.62122,TSFP_PLW,10,0,0,0,12,0,1,0,0,45,10,13,42,92,8,0
March,WVI,Hargeisa,Bali Abane - Settlement,WFP1253,9.14731,43.85833,TSFP_PLW,13,0,0,0,21,0,0,0,0,42,13,21,34,100,0,0
March,SDRO,Gaalkacyo,Ceel aqwaan - TSFP,WFP126,6.691801,47.377357,TSFP_PLW,4,0,0,0,2,0,0,0,0,12,4,2,14,100,0,0
March,WVI,Hargeysa,Baligubadale - Settlement,WFP1261,9,44.00833,TSFP_PLW,18,0,0,0,23,0,0,0,0,36,18,23,31,100,0,0
March,SDO,Jariiban,ceelxagar - TSFP,WFP128,7.4174,49.27849,TSFP_PLW,47,0,0,0,0,0,0,0,0,46,47,0,93,0,0,0
