period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,perc_non_recovery
March,WVI,Belethawa,Alingo - TSFP,WFP10,3.95131,41.89715,TSFP_U5,9,3,0,,5,0,0,0,0,25,12,5,32,100,0,0
March,Mercy USA,LaasCaanood,Yeyle - Settlement,WFP10036,8.698727,46.609919,TSFP_U5,43,0,0,,7,3,0,4,0,166,43,14,195,50,0,29
March,SDRO,Gaalkacyo,Carfuuda  - TSFP,WFP103,6.62902,47.58737,TSFP_U5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
March,HADO,Bossaso,Carmo - TSFP,WFP104,10.5665,49.0609,TSFP_U5,102,0,0,,0,0,0,0,0,100,102,0,202,0,0,0
March,Mercy USA,Buuhoodle,Cegaag - MCHN,WFP106,8.62001,46.49813,TSFP_U5,39,0,0,,0,0,0,0,0,,39,0,39,0,0,0
March,WVI,Belethawa,Ceeldheere - TSFP,WFP110,5.36098,46.19675,TSFP_U5,7,3,0,,5,0,0,0,1,16,10,6,20,83,0,17
March,SHARDO,Balcad/Warsheikh,BALAD  - Settlement,WFP1164,2.62667,45.504799,TSFP_U5,420,0,0,,324,0,0,0,0,396,420,324,492,100,0,0
March,HEAL ,CeelAfweyn,Celcade  - TSFP,WFP117,9.808085,46.603849,TSFP_U5,0,0,0,,0,0,0,0,0,78,0,0,78,0,0,0
March,WVI,Hargeisa,Bali Abane - Settlement,WFP1197,9.29667,44.529999,TSFP_U5,105,5,0,,49,0,5,0,0,145,110,54,201,91,9,0
March,WVI,Burtinle,Ceelweyne - TSFP,WFP124,7.74121,48.62122,TSFP_U5,13,0,0,,17,0,0,0,0,60,13,17,56,100,0,0
March,SDRO,Gaalkacyo,Ceel aqwaan - TSFP,WFP126,6.691801,47.377357,TSFP_U5,9,0,0,,5,0,0,0,0,55,9,5,59,100,0,0
March,WVI,Hargeysa,Baligubadale - Settlement,WFP1261,9,44.00833,TSFP_U5,37,4,2,,89,0,1,2,0,210,43,92,161,97,1,2
March,SDO,Jariiban,ceelxagar - TSFP,WFP128,7.4174,49.27849,TSFP_U5,63,0,0,,0,0,0,0,0,62,63,0,125,0,0,0
March,WVI,Garowe,Cuun - TSFP,WFP133,8.81879,48.89346,TSFP_U5,12,0,0,,2,0,0,0,0,10,12,2,20,100,0,0
March,RAWA,Xarardheere,Dabagalo - TSFP,WFP134,4.9217,47.66523,TSFP_U5,77,0,0,,71,0,6,9,4,369,77,90,356,79,7,14
March,Swisso-Kalmo,Dhuusamarreeb,Dabarre - TSFP,WFP135,5.18907,45.91851,TSFP_U5,59,0,0,,25,0,0,0,0,65,59,25,99,100,0,0
