period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
May,WVI,Belet Xaawo,Alingo - TSFP,WFP10,3.95131,41.89715,TSFP_PLW,0,0,2,0,3,0,0,0,13,2,3,12,100,0
May,Mercy USA,Lasanod,Yeyle - Settlement,WFP10036,8.698727,46.609919,TSFP_PLW,22,0,0,0,7,0,0,0,136,22,7,151,100,0
May,SDRO,Gaalkacyo,Carfuuda  - TSFP,WFP103,6.62902,47.58737,TSFP_PLW,4,0,0,0,5,0,0,0,13,4,5,12,100,0
May,HADO,Bossaso,Carmo - TSFP,WFP104,10.5665,49.0609,TSFP_PLW,5,0,0,0,8,0,0,0,100,5,8,97,100,0
May,SCF,BeletWeyne,Bacaad - Settlement,WFP1047,0.02435,42.814629,TSFP_PLW,99,0,0,0,0,0,0,0,34,99,0,133,0,0
May,Mercy USA,Hobyo,Bijjelo - TSFP,WFP119,5.78645,47.70297,TSFP_PLW,4,0,0,0,4,0,0,0,168,4,4,168,100,0
May,WVI,Hargeisa,Bali Cabane - Settlement,WFP1197,9.29667,44.529999,TSFP_PLW,5,0,0,0,5,0,0,0,40,5,5,40,100,0
May,WVI,Burtinle,Ceelweyne - TSFP,WFP124,7.74121,48.62122,TSFP_PLW,8,0,0,0,10,0,1,0,48,8,11,45,91,9
May,SDRO,Gaalkacyo,Ceel aqwaan - TSFP,WFP126,6.691801,47.377357,TSFP_PLW,3,0,0,0,3,0,0,0,16,3,3,16,100,0
May,WVI,Garoowe,Cuun - TSFP,WFP133,8.81879,48.89346,TSFP_PLW,1,0,0,0,22,0,0,0,50,1,22,29,100,0
May,RAWA,Xarardheere,Dabagalo - TSFP,WFP134,4.9217,47.66523,TSFP_PLW,190,0,0,0,61,0,6,8,279,190,75,394,81,8
May,SWISSO-Kalmo,Dhuusamarreeb,Dabarre - TSFP,WFP135,5.18907,45.91851,TSFP_PLW,11,0,0,0,8,0,0,0,60,11,8,63,100,0
May,MEDAIR,Afgooye,DAMERAALE HF - TSFP,WFP137,2.25019,45.131199,TSFP_PLW,49,0,0,0,0,0,0,0,0,49,0,49,0,0
May,WVI,Baydhaba/Bardaale,Darusalam - TSFP,WFP139,3.117954,43.662952,TSFP_PLW,8,0,0,0,12,0,0,2,34,8,14,28,86,0
May,Mercy USA,Cabudwaaq,Bangele - TSFP,WFP147,6.15527,46.43626,TSFP_PLW,14,0,0,0,13,0,0,0,168,14,13,169,100,0
May,RAWA,Xarardheere,Dhalwo - TSFP,WFP152,4.5612,47.56813,TSFP_PLW,144,0,0,0,41,0,4,5,164,144,50,258,82,8
May,WVI,Eyl,Dhanaane - TSFP,WFP153,7.596085,49.747431,TSFP_PLW,15,0,0,0,12,0,2,0,80,15,14,81,86,14
May,WVI,Eyl,Dhigenle - TSFP,WFP156,7.83003,49.51149,TSFP_PLW,17,0,0,0,17,0,0,0,70,17,17,70,100,0
May,WRRS,Afmadow,Dhobley - TSFP,WFP158,0.40627,41.01238,TSFP_PLW,5,0,0,0,4,0,0,1,36,5,5,36,80,0
May,HADO,Bandarbayla,Dhudhub - TSFP,WFP160,9.22973,49.91697,TSFP_PLW,3,0,0,0,22,0,0,0,178,3,22,159,100,0
May,Mercy USA,Hobyo,Wisil town  - MCHN,WFP163,5.42775,48.12112,TSFP_PLW,4,0,0,0,2,0,0,0,469,4,2,471,100,0
May,WRRS,Afmadow,dibi - TSFP,WFP165,0.5804,41.1217,TSFP_PLW,1,0,0,0,1,0,1,0,3,1,2,2,50,50
May,WVI,Eyl,Diilin - TSFP,WFP169,8.25548,49.5762,TSFP_PLW,11,0,0,0,9,0,0,0,47,11,9,49,100,0
May,SDRO,Gaalkacyo,Docol - TSFP,WFP170,6.432393,47.491112,TSFP_PLW,9,0,0,0,10,0,0,0,37,9,10,36,100,0
May,SDRO,Gaalkacyo,Docole farale - TSFP,WFP173,6.67026,47.552374,TSFP_PLW,5,0,0,0,4,0,0,0,10,5,4,11,100,0
May,WVI,Doolow,Dollowtown - TSFP,WFP176,4.16358,42.07617,TSFP_PLW,0,0,0,0,14,0,0,0,70,0,14,56,100,0
May,WVI,Belet Xaawo,Booco - Settlement,WFP1779,4.33015,45.39258,TSFP_PLW,2,0,2,0,3,0,0,0,14,4,3,15,100,0
May,SCI,Borama,BOON - Settlement,WFP1794,10.18513,43.0841,TSFP_PLW,65,0,0,0,0,0,0,0,307,65,0,372,0,0
May,WVI,Garoowe,Dudumaale - TSFP,WFP180,8.143998,48.776269,TSFP_PLW,2,0,0,0,7,0,0,0,36,2,7,31,100,0
May,SCI,Bossaso,Bossaso - Regional Capital,WFP1830,11.28366,49.18063,TSFP_PLW,107,0,0,0,190,0,3,0,733,107,193,647,98,2
May,WVI,Dan Gorayo,Budunbuto - Settlement,WFP1847,7.61778,49.07695,TSFP_PLW,13,0,0,0,12,0,0,1,65,13,13,65,92,0
May,HEAL ,Ceel Afweyn,FADHIGAB  - TSFP,WFP186,9.666649,47.014348,TSFP_PLW,0,0,0,0,0,0,0,0,44,0,0,44,0,0
May,SWISSO-Kalmo,Dhuusamarreeb,Faragoy - TSFP,WFP188,5.466401,46.524527,TSFP_PLW,12,0,0,0,11,0,0,0,66,12,11,67,100,0
May,WVI,Burtinle,Faratoyo - TSFP,WFP189,7.53474,47.81277,TSFP_PLW,8,0,0,0,12,0,0,1,38,8,13,33,92,0
May,HIDIG,Belet Weyne/Matabaan,Farlibah - TSFP,WFP190,4.87458,44.86873,TSFP_PLW,7,0,3,0,60,0,5,5,410,10,70,350,86,7
May,SWISSO-Kalmo,Dhuusamarreeb,Gadon - TSFP,WFP194,5.68118,46.683252,TSFP_PLW,15,0,0,0,21,0,0,0,275,15,21,269,100,0
May,SDO,Galdogob,GALDOGOB - TSFP,WFP195,7.05755,47.13494,TSFP_PLW,30,0,0,0,30,0,0,0,320,30,30,320,100,0
May,SDRO,Gaalkacyo,Galinsoor - TSFP,WFP196,6.42639,46.70553,TSFP_PLW,6,0,0,0,7,0,0,0,19,6,7,18,100,0
May,WVI,Luuq,Garsow - TSFP,WFP203,3.82905,42.48916,TSFP_PLW,0,0,0,0,0,0,0,0,35,0,0,35,0,0
May,WVI,Doolow,Gedweyne - TSFP,WFP206,4.0302,42.29415,TSFP_PLW,2,0,0,0,10,0,0,0,54,2,10,46,100,0
May,WVI,Luuq,Garbolow - TSFP,WFP207,3.91147,42.51267,TSFP_PLW,0,0,0,0,10,0,0,0,16,0,10,6,100,0
May,WVI,Eyl,Godob Adun - TSFP,WFP209,7.6693,49.528099,TSFP_PLW,5,0,0,0,39,0,0,0,100,5,39,66,100,0
May,GEWDO,Garbahaarey/Buur Dhuubo,Buraa - Settlement,WFP2098,3.16962,42.14083,TSFP_PLW,63,0,0,0,0,0,0,0,0,63,0,63,0,0
May,WVI,Eyl,Godob jiraan - TSFP,WFP210,7.6415,47.783699,TSFP_PLW,13,0,0,0,78,0,0,0,263,13,78,198,100,0
May,WVI,Burtinle,Godobyar - TSFP,WFP211,7.72006,47.66395,TSFP_PLW,10,0,0,0,10,0,0,1,37,10,11,36,91,0
May,HADO,Iskushuban,Gumbax - TSFP,WFP222,10.88443,51.11405,TSFP_PLW,5,0,0,0,21,0,0,0,100,5,21,84,100,0
May,WVI,Burtinle,Hayaanle - TSFP,WFP236,7.90862,48.06493,TSFP_PLW,6,0,0,0,18,0,0,0,28,6,18,16,100,0
May,WVI,Baydhaba/Bardaale,Horseed - TSFP,WFP242,3.209623,43.199554,TSFP_PLW,236,0,0,0,78,0,0,4,1174,236,82,1328,95,0
May,WVI,Baydhaba/Bardaale,Howlwadag - TSFP,WFP244,3.11651,43.54367,TSFP_PLW,17,0,0,0,19,0,0,6,50,17,25,42,76,0
May,Mercy USA,Cabudwaaq,Mirjicley - TSFP,WFP246,5.98116,46.36417,TSFP_PLW,17,0,0,0,10,0,0,0,190,17,10,197,100,0
May,WVI,Luuq,IDP F - TSFP,WFP248,3.777534,42.561513,TSFP_PLW,10,0,0,0,34,0,0,0,73,10,34,49,100,0
May,HADO,Iskushuban,Iskushuban - TSFP,WFP250,10.28178,50.23009,TSFP_PLW,9,0,0,0,59,0,0,0,312,9,59,262,100,0
May,WVI,Burtinle,Jalam - TSFP,WFP252,7.87079,48.04045,TSFP_PLW,7,0,0,0,10,0,0,0,150,7,10,147,100,0
May,SDO,Jariiban,JARIIBAN - TSFP,WFP257,7.21345,48.85104,TSFP_PLW,0,0,0,0,0,0,0,0,333,0,0,333,0,0
May,WOCCA,Jowhar,JOWHAR - TSFP,WFP258,8.16935,46.50269,TSFP_PLW,0,0,0,0,0,0,0,0,1069,0,0,1069,0,0
