period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
May,WVI,Belet Xaawo,Alingo - TSFP,WFP10,3.95131,41.89715,TSFP_U5,104,3,2,0,19,0,0,1,2,44,109,22,131,86,0
May,Mercy USA,Lasanod,Yeyle - Settlement,WFP10036,8.698727,46.609919,TSFP_U5,31,0,0,0,10,0,0,0,0,387,31,10,408,100,0
May,SDRO,Gaalkacyo,Carfuuda  - TSFP,WFP103,6.62902,47.58737,TSFP_U5,14,0,0,0,13,0,0,0,0,43,14,13,44,100,0
May,HADO,Bossaso,Carmo - TSFP,WFP104,10.5665,49.0609,TSFP_U5,16,0,0,0,62,0,0,0,0,304,16,62,258,100,0
May,SCF,BeletWeyne,Bacaad - Settlement,WFP1047,0.02435,42.814629,TSFP_U5,241,0,0,0,0,0,0,0,0,67,241,0,308,0,0
May,Mercy USA,Hobyo,Bijjelo - TSFP,WFP119,5.78645,47.70297,TSFP_U5,23,0,0,0,15,0,0,0,0,224,23,15,232,100,0
May,WVI,Hargeisa,Bali Cabane - Settlement,WFP1197,9.29667,44.529999,TSFP_U5,25,0,3,0,30,0,0,3,0,182,28,33,177,91,0
May,WVI,Burtinle,Ceelweyne - TSFP,WFP124,7.74121,48.62122,TSFP_U5,13,0,0,0,48,0,0,0,0,54,13,48,19,100,0
May,SDRO,Gaalkacyo,Ceel aqwaan - TSFP,WFP126,6.691801,47.377357,TSFP_U5,23,0,0,0,14,0,0,0,0,65,23,14,74,100,0
May,WVI,Garoowe,Cuun - TSFP,WFP133,8.81879,48.89346,TSFP_U5,5,0,0,0,14,0,0,0,0,35,5,14,26,100,0
May,RAWA,Xarardheere,Dabagalo - TSFP,WFP134,4.9217,47.66523,TSFP_U5,240,0,0,0,59,0,6,8,4,431,240,77,594,77,8
May,SWISSO-Kalmo,Dhuusamarreeb,Dabarre - TSFP,WFP135,5.18907,45.91851,TSFP_U5,30,0,0,0,23,0,0,0,0,125,30,23,132,100,0
May,MEDAIR,Afgooye,DAMERAALE HF - TSFP,WFP137,2.25019,45.131199,TSFP_U5,91,0,0,0,32,0,0,0,0,89,91,32,148,100,0
May,WVI,Baydhaba/Bardaale,Darusalam - TSFP,WFP139,3.117954,43.662952,TSFP_U5,92,0,0,0,33,0,0,16,1,218,92,50,260,66,0
May,Mercy USA,Cabudwaaq,Bangele - TSFP,WFP147,6.15527,46.43626,TSFP_U5,31,0,0,0,25,0,0,0,0,242,31,25,248,100,0
May,RAWA,Xarardheere,Dhalwo - TSFP,WFP152,4.5612,47.56813,TSFP_U5,192,0,0,0,35,0,2,5,2,418,192,44,566,80,5
May,WVI,Eyl,Dhanaane - TSFP,WFP153,7.596085,49.747431,TSFP_U5,10,0,0,0,7,0,0,0,0,71,10,7,74,100,0
May,WVI,Eyl,Dhigenle - TSFP,WFP156,7.83003,49.51149,TSFP_U5,17,0,0,0,14,0,0,0,0,120,17,14,123,100,0
May,WRRS,Afmadow,Dhobley - TSFP,WFP158,0.40627,41.01238,TSFP_U5,15,4,0,0,23,0,3,5,0,478,19,31,466,74,10
May,HADO,Bandarbayla,Dhudhub - TSFP,WFP160,9.22973,49.91697,TSFP_U5,4,0,0,0,74,0,0,0,0,651,4,74,581,100,0
May,Mercy USA,Hobyo,Wisil town  - MCHN,WFP163,5.42775,48.12112,TSFP_U5,14,0,0,0,11,0,0,0,0,262,14,11,265,100,0
May,WRRS,Afmadow,dibi - TSFP,WFP165,0.5804,41.1217,TSFP_U5,2,1,0,0,3,0,2,0,0,30,3,5,28,60,40
May,WVI,Eyl,Diilin - TSFP,WFP169,8.25548,49.5762,TSFP_U5,12,0,0,0,8,0,1,0,0,60,12,9,63,89,11
May,SDRO,Gaalkacyo,Docol - TSFP,WFP170,6.432393,47.491112,TSFP_U5,67,0,0,0,139,0,0,0,0,207,67,139,135,100,0
May,SDRO,Gaalkacyo,Docole farale - TSFP,WFP173,6.67026,47.552374,TSFP_U5,6,0,0,0,5,0,0,0,0,25,6,5,26,100,0
May,WVI,Belet Xaawo,Booco - Settlement,WFP1779,4.33015,45.39258,TSFP_U5,12,3,2,0,16,0,0,1,2,104,17,19,102,84,0
May,SCI,Borama,BOON - Settlement,WFP1794,10.18513,43.0841,TSFP_U5,65,0,0,0,5,0,0,0,0,460,65,5,520,100,0
May,WVI,Garoowe,Dudumaale - TSFP,WFP180,8.143998,48.776269,TSFP_U5,18,0,0,0,8,0,0,0,0,25,18,8,35,100,0
May,SCI,Bossaso,Bossaso - Regional Capital,WFP1830,11.28366,49.18063,TSFP_U5,322,0,0,0,377,0,4,0,0,1745,322,381,1686,99,1
May,WVI,Dan Gorayo,Budunbuto - Settlement,WFP1847,7.61778,49.07695,TSFP_U5,23,0,0,0,21,0,2,0,0,105,23,23,105,91,9
May,HEAL ,Ceel Afweyn,FADHIGAB  - TSFP,WFP186,9.666649,47.014348,TSFP_U5,0,0,0,0,0,0,0,0,0,120,0,0,120,0,0
May,SWISSO-Kalmo,Dhuusamarreeb,Faragoy - TSFP,WFP188,5.466401,46.524527,TSFP_U5,24,0,0,0,19,0,0,0,0,112,24,19,117,100,0
May,WVI,Burtinle,Faratoyo - TSFP,WFP189,7.53474,47.81277,TSFP_U5,17,4,0,0,27,0,1,0,0,60,21,28,53,96,4
May,HIDIG,Belet Weyne/Matabaan,Farlibah - TSFP,WFP190,4.87458,44.86873,TSFP_U5,7,0,4,0,9,0,5,4,109,980,11,127,864,7,4
May,SWISSO-Kalmo,Dhuusamarreeb,Gadon - TSFP,WFP194,5.68118,46.683252,TSFP_U5,59,0,0,0,39,0,0,0,0,377,59,39,397,100,0
May,SDO,Galdogob,GALDOGOB - TSFP,WFP195,7.05755,47.13494,TSFP_U5,11,0,0,0,11,0,0,0,0,1141,11,11,1141,100,0
May,SDRO,Gaalkacyo,Galinsoor - TSFP,WFP196,6.42639,46.70553,TSFP_U5,58,0,0,0,121,0,0,0,0,178,58,121,115,100,0
May,WVI,Luuq,Garsow - TSFP,WFP203,3.82905,42.48916,TSFP_U5,11,0,0,0,3,0,0,0,0,62,11,3,70,100,0
May,WVI,Doolow,Gedweyne - TSFP,WFP206,4.0302,42.29415,TSFP_U5,0,0,0,0,28,0,0,10,0,175,0,38,137,74,0
May,WVI,Luuq,Garbolow - TSFP,WFP207,3.91147,42.51267,TSFP_U5,3,0,0,0,12,0,0,1,0,43,3,13,33,92,0
May,WVI,Eyl,Godob Adun - TSFP,WFP209,7.6693,49.528099,TSFP_U5,7,5,0,0,31,0,0,0,0,65,12,31,46,100,0
May,GEWDO,Garbahaarey/Buur Dhuubo,Buraa - Settlement,WFP2098,3.16962,42.14083,TSFP_U5,128,0,0,0,0,0,0,0,0,22,128,0,150,0,0
May,WVI,Eyl,Godob jiraan - TSFP,WFP210,7.6415,47.783699,TSFP_U5,21,5,0,0,77,0,0,0,0,325,26,77,274,100,0
May,WVI,Burtinle,Godobyar - TSFP,WFP211,7.72006,47.66395,TSFP_U5,20,0,0,0,37,0,0,1,0,39,20,38,21,97,0
May,HADO,Iskushuban,Gumbax - TSFP,WFP222,10.88443,51.11405,TSFP_U5,11,0,0,0,96,0,0,0,0,688,11,96,603,100,0
May,WVI,Burtinle,Hayaanle - TSFP,WFP236,7.90862,48.06493,TSFP_U5,15,5,0,0,25,0,0,0,0,60,20,25,55,100,0
May,WVI,Baydhaba/Bardaale,Horseed - TSFP,WFP242,3.209623,43.199554,TSFP_U5,1483,0,0,0,1002,0,0,18,4,2313,1483,1024,2772,98,0
May,WVI,Baydhaba/Bardaale,Howlwadag - TSFP,WFP244,3.11651,43.54367,TSFP_U5,87,0,0,0,90,0,0,22,0,270,87,112,245,80,0
May,Mercy USA,Cabudwaaq,Mirjicley - TSFP,WFP246,5.98116,46.36417,TSFP_U5,29,0,0,0,24,0,0,0,0,343,29,24,348,100,0
May,WVI,Luuq,IDP F - TSFP,WFP248,3.777534,42.561513,TSFP_U5,31,0,0,0,2,0,0,0,0,173,31,2,202,100,0
May,HADO,Iskushuban,Iskushuban - TSFP,WFP250,10.28178,50.23009,TSFP_U5,21,0,0,0,221,0,0,0,0,1100,21,221,900,100,0
May,WVI,Burtinle,Jalam - TSFP,WFP252,7.87079,48.04045,TSFP_U5,26,0,0,0,68,0,0,0,0,209,26,68,167,100,0
May,SDO,Jariiban,JARIIBAN - TSFP,WFP257,7.21345,48.85104,TSFP_U5,0,0,0,0,0,0,0,0,0,1027,0,0,1027,0,0
May,WOCCA,Jowhar,JOWHAR - TSFP,WFP258,8.16935,46.50269,TSFP_U5,297,0,0,0,259,0,0,0,0,3122,297,259,3160,100,0
May,WVI,Garoowe,Kalabayr - TSFP,WFP261,8.41278,48.486389,TSFP_U5,42,0,0,0,112,0,0,0,0,195,42,112,125,100,0
May,WVI,Belet Xaawo,Kalagubta - TSFP,WFP263,3.933108,41.884086,TSFP_U5,31,3,2,0,18,0,0,1,2,58,36,21,73,86,0
May,HEAL ,Ceel Afweyn,BADHIGALIS  - TSFP,WFP27,9.97234,47.29558,TSFP_U5,0,0,0,0,0,0,0,0,0,122,0,0,122,0,0
May,WVI,Dan Gorayo,Libaaxo - TSFP,WFP276,8.59308,49.19365,TSFP_U5,13,0,0,0,13,0,0,0,0,45,13,13,45,100,0
May,Mercy USA,Cabudwaaq,Hurshe - TSFP,WFP28,6.2102,46.42169,TSFP_U5,30,0,0,0,20,0,0,0,0,250,30,20,260,100,0
May,WVI,Burtinle,Magacley - TSFP,WFP283,9.0875,49.585602,TSFP_U5,0,0,0,0,0,0,0,0,0,51,0,0,51,0,0
May,WVI,Luuq,Maganey - TSFP,WFP284,3.7095,42.52007,TSFP_U5,33,0,1,0,48,0,2,1,0,95,34,51,78,94,4
May,SWISSO-Kalmo,Dhuusamarreeb,Marergur - TSFP,WFP288,5.75047,46.51312,TSFP_U5,35,0,0,0,37,0,0,0,0,304,35,37,302,100,0
May,SWISSO-kalmo,Marka,Marka - TSFP,WFP291,1.71305,44.76388,TSFP_U5,819,413,0,0,290,0,0,0,0,2305,1232,290,3247,100,0
May,WVI,Luuq,Caracase - Settlement,WFP2932,3.748,43.5326,TSFP_U5,7,0,3,0,16,0,1,3,0,64,10,20,54,80,5
May,RAWA,Xarardheere,Miliqo - TSFP,WFP300,5.11431,47.93026,TSFP_U5,545,0,0,0,131,0,13,17,8,1040,545,169,1416,78,8
May,WVI,Luuq,Miradhubow - TSFP,WFP301,3.91996,42.53777,TSFP_U5,10,0,6,0,68,0,2,6,0,228,16,76,168,89,3
May,HEAL ,Ceel Afweyn,Cel-afwein  - District Capital,WFP3011,9.92761,47.21537,TSFP_U5,0,0,0,0,0,0,0,0,0,36,0,0,36,0,0
May,SWISSO-Kalmo,Dhuusamarreeb,Mirig - TSFP,WFP302,5.66243,46.42292,TSFP_U5,19,0,0,0,37,0,0,0,0,125,19,37,107,100,0
May,Mercy USA,Cabudwaaq,Balanbale - TSFP,WFP303,5.68895,45.96932,TSFP_U5,43,0,0,0,31,0,0,0,0,1000,43,31,1012,100,0
May,HADO,Caluula,Muudiye - TSFP,WFP307,11.35455,50.67907,TSFP_U5,11,0,0,0,67,0,0,0,0,600,11,67,544,100,0
May,WVI,Belet Xaawo,Oda - TSFP,WFP309,3.984213,41.937835,TSFP_U5,19,3,2,0,14,0,0,1,2,35,24,17,42,82,0
May,SWISSO-Kalmo,Dhuusamarreeb,Olol - TSFP,WFP311,5.92195,46.23917,TSFP_U5,27,0,0,0,24,0,0,0,0,121,27,24,124,100,0
May,WVI,Garoowe,Oman - TSFP,WFP312,8.25783,48.292,TSFP_U5,8,0,0,0,8,0,0,0,0,35,8,8,35,100,0
May,HADO,Qandala,Qandala - TSFP,WFP316,11.469416,49.873322,TSFP_U5,20,0,0,0,178,0,0,0,0,1500,20,178,1342,100,0
May,Mercy USA,Hobyo,Qararow - TSFP,WFP319,5.31033,48.29483,TSFP_U5,34,0,0,0,30,0,0,0,0,218,34,30,222,100,0
May,WVI,Garoowe,Ballay - TSFP,WFP32,8.50515,48.60205,TSFP_U5,7,0,0,0,7,0,0,0,0,25,7,7,25,100,0
May,HADO,Qardho,Qardho - TSFP,WFP320,9.50694,49.086079,TSFP_U5,14,0,0,0,481,0,0,0,0,7000,14,481,6533,100,0
May,WVI,Eyl,Qarxis - TSFP,WFP323,7.98389,48.10305,TSFP_U5,20,0,0,0,17,0,0,0,0,82,20,17,85,100,0
May,Mercy USA,Hobyo,Qeydaro - TSFP,WFP326,5.78739,47.4884,TSFP_U5,20,0,0,0,12,0,0,0,0,186,20,12,194,100,0
May,HADO,Qardho,Rako - TSFP,WFP335,9.78144,49.72944,TSFP_U5,14,0,0,0,158,0,0,0,0,951,14,158,807,100,0
May,Himilo,Kismayo,Dalxiis - Settlement,WFP3376,8.11431,47.16193,TSFP_U5,97,0,0,0,96,4,0,0,0,1134,97,100,1131,96,0
May,SDRO,Gaalkacyo,Sadex higlo - TSFP,WFP342,6.49897,47.1122,TSFP_U5,69,0,0,0,82,0,0,0,0,125,69,82,112,100,0
May,SWISSO-Kalmo,Dhuusamarreeb,Balliad - TSFP,WFP35,5.48048,46.09062,TSFP_U5,31,0,0,0,22,0,0,0,0,191,31,22,200,100,0
May,Mercy USA,Hargeisa,Daraweine - Settlement,WFP3527,9.719863,44.224505,TSFP_U5,48,0,0,0,71,0,4,0,0,356,48,75,329,95,5
May,Mercy USA,Hargeisa,Darasalam - Settlement,WFP3529,7.11742,47.15284,TSFP_U5,115,0,40,0,668,0,0,0,0,990,155,668,477,100,0
May,HRDO,Cadaado,Dayano - Settlement,WFP3586,6.30965,46.67082,TSFP_U5,48,0,0,0,0,0,0,0,0,68,48,0,116,0,0
May,SHARDO,Boondheere,Shibis - TSFP,WFP360,2.037711,45.35,TSFP_U5,442,0,0,0,445,0,0,0,0,2116,442,445,2113,100,0
May,HEAL ,Ceel Afweyn,SHOODHE  - TSFP,WFP361,10.009707,47.367295,TSFP_U5,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0
May,SCF,BeletWeyne,Sigalow - TSFP,WFP363,4.75727,45.18898,TSFP_U5,364,0,0,0,43,0,0,0,0,300,364,43,621,100,0
May,HEAL ,Ceel Afweyn,SINCARO  - TSFP,WFP364,9.47695,47.0754,TSFP_U5,0,0,0,0,0,0,0,0,0,114,0,0,114,0,0
May,WVI,Garoowe,Sin-ujiif - TSFP,WFP365,8.53713,48.9852,TSFP_U5,7,0,0,0,7,0,0,0,0,260,7,7,260,100,0
May,Mercy USA,Cabudwaaq,Dabad - Settlement,WFP3692,6.30619,46.54925,TSFP_U5,24,0,0,0,27,0,0,0,0,362,24,27,359,100,0
May,WRRS,Afmadow,tabta - TSFP,WFP370,0.30463,41.43938,TSFP_U5,8,2,0,0,4,0,2,1,0,50,10,7,53,57,29
May,HRDO,Cadaado,Dhagaxdher - Settlement,WFP3714,5.89619,46.83997,TSFP_U5,34,0,0,0,0,0,0,0,0,68,34,0,102,0,0
