district,district_id,referrals,OTP_discharges,cured,died,defaulter,non_cured,transfers,total_discharges,perc_recovered,perc_dead,per_defaulted,non_recovered,perc_non_recovery
Afgooye,R1720070,6,0,3941,0,0,5,1,3947,100,0,0,12,0
Afmadow,R1720071,0,49,48,2,9,7,173,230,21,1,4,180,78
Aliyow Munim,R1720074,0,0,740,1,0,186,20,947,78,0,0,206,22
Baki,R1720075,3,0,123,0,2,3,0,128,96,0,2,6,5
Balcad,R1720076,0,0,1286,1,23,0,1,1311,98,0,2,1,0
Bandarbeyla,R1720077,0,0,124,0,0,0,0,124,100,0,0,0,0
Baraawe,R1720078,0,8,0,0,0,0,0,0,0,0,0,0,0
Belet Weyne,R1720079,59,15,371,0,21,16,18,426,87,0,5,93,22
Belet Hawo,R1720080,40,36,252,0,0,19,52,323,78,0,0,111,34
Borama,R1720082,2,6,231,0,0,4,0,235,98,0,0,6,3
Bossaso,R1720083,0,0,125,0,0,0,0,125,100,0,0,0,0
Burtinle,R1720087,0,88,566,8,0,5,0,579,98,1,0,5,1
Buuhoodle,R1720088,92,0,99,2,16,0,0,117,85,2,14,92,79
Balanbale,R1720090,0,0,190,0,0,0,0,190,100,0,0,0,0
Cadaado,R1720091,0,0,301,0,0,0,0,301,100,0,0,0,0
Cadale,R1720092,0,0,626,0,0,0,0,626,100,0,0,0,0
Caluula,R1720093,0,0,283,0,0,0,0,283,100,0,0,0,0
Caynabo,R1720094,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceel Afweyn,R1720095,40,0,0,0,22,0,0,22,0,0,100,40,182
Ceel Barde,R1720096,64,31,21,0,9,18,16,64,33,0,14,98,153
Badhan,R1720099,72,0,0,62,45,0,0,107,0,58,42,72,67
Dhuusamarreeb,R1720100,0,0,1186,0,0,0,0,1186,100,0,0,0,0
Diinsoor,R1720101,1,0,235,0,10,0,0,245,96,0,4,1,0
Doolow,R1720102,0,0,230,0,0,0,0,230,100,0,0,0,0
Eyl,R1720104,0,15,554,4,0,0,0,558,99,1,0,0,0
Gebiley,R1720105,9,3,624,0,9,9,0,642,97,0,1,18,3
Galdogob,R1720106,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaalkacyo,R1720107,0,0,435,0,0,0,0,435,100,0,0,0,0
Burdhubo,R1720108,0,0,514,0,1,19,2,536,96,0,0,21,4
Dangorayo,R1720109,5,0,686,14,0,3,0,703,98,2,0,8,1
Hargeysa,R1720110,585,19,322,0,436,4,0,762,42,0,57,589,77
Hobyo,R1720111,0,0,433,0,0,8,1,442,98,0,0,9,2
Iskushuban,R1720112,0,0,270,0,0,0,0,270,100,0,0,0,0
Jariiban,R1720115,0,0,0,0,0,0,0,0,0,0,0,0,0
Jowhar,R1720117,0,0,0,0,0,0,0,0,0,0,0,0,0
Kismaayo,R1720118,4,0,51,1,5,21,3,81,63,1,6,28,35
Bo'ame,R1720120,587,5,137,0,405,0,0,542,25,0,75,587,108
Lughaye,R1720122,4,3,285,0,8,4,0,297,96,0,3,8,3
Dhamasa,R1720123,0,0,93,0,0,0,0,93,100,0,0,0,0
Hantiwadag,R1720124,0,0,295,0,0,0,0,295,100,0,0,0,0
Banadir,R1720125,0,0,0,0,0,0,0,0,0,0,0,0,0
Qandala,R1720127,0,0,325,0,0,0,0,325,100,0,0,0,0
Qardho,R1720129,0,0,386,0,0,0,0,386,100,0,0,0,0
Burdhuhunle,R1720131,13,0,0,0,0,0,0,0,0,0,0,13,0
Taleex,R1720135,0,0,0,0,0,0,0,0,0,0,0,0,0
Waajid,R1720137,0,43,249,1,0,0,0,250,100,0,0,0,0
Xarardheere,R1720139,0,0,451,0,40,57,28,576,78,0,7,85,15
Xudun,R1720140,0,0,0,0,0,0,0,0,0,0,0,0,0
Aboore,R1720141,69,21,175,0,7,14,7,203,86,0,3,90,44
Boondheere,R1720143,0,0,178,0,0,0,0,178,100,0,0,0,0
Cabdlcasiis,R1720144,0,100,109,0,0,0,0,109,100,0,0,0,0
Daynile,R1720145,6,214,586,0,17,9,23,635,92,0,3,38,6
Dharkenley,R1720146,30,87,69,0,3,12,6,90,77,0,3,48,53
Hawl Wadaag,R1720147,0,0,0,0,0,0,0,0,0,0,0,0,0
Heliwa,R1720148,0,77,326,0,7,3,15,351,93,0,2,18,5
Hodan,R1720149,269,425,209,0,10,39,11,269,78,0,4,319,119
Karaan,R1720150,8,0,283,0,3,5,0,291,97,0,1,13,4
Shangaani,R1720151,28,113,119,0,5,18,5,147,81,0,3,51,35
Shibis,R1720152,0,0,195,0,0,0,0,195,100,0,0,0,0
Waaberi,R1720153,42,271,57,0,3,9,3,72,79,0,4,54,75
Wadajir,R1720154,85,397,104,0,4,19,5,132,79,0,3,109,83
Wardhiigleey,R1720155,60,193,69,0,2,12,3,86,80,0,2,75,87
Xamar JaabJab,R1720156,17,124,296,0,2,6,3,307,96,0,1,26,8
Xamar Weyne,R1720157,37,111,54,0,5,7,3,69,78,0,7,47,68
Yaaqshiid,R1720158,16,9,225,0,4,10,5,244,92,0,2,31,13
