region,region_id,total_beneficiaries,period,dfid_contribution
Awdal,R1720051,0,January,0
Bakool,R1720052,0,January,0
Banadir,R1720053,30949,January,13927
Bari,R1720054,3008,January,1354
Bay,R1720055,486,January,219
Galgaduud,R1720056,1342,January,604
Gedo,R1720057,22738,January,10232
Hiraan,R1720058,0,January,0
Lower Juba,R1720059,2021,January,909
Lower Shabelle,R1720060,0,January,0
Middle Shabelle,R1720062,0,January,0
Mudug,R1720063,696,January,313
Nugaal,R1720064,1461,January,657
Sanaag,R1720065,17033,January,7665
Sool,R1720066,732,January,329
Togdheer,R1720067,0,January,0
Woqooyi Galbeed,R1720068,0,January,0
Awdal,R1720051,12122,February,5455
Bakool,R1720052,0,February,0
Banadir,R1720053,41549,February,18697
Bari,R1720054,29550,February,13298
Bay,R1720055,11317,February,5093
Galgaduud,R1720056,4914,February,2211
Gedo,R1720057,38719,February,17424
Hiraan,R1720058,0,February,0
Lower Juba,R1720059,14282,February,6427
Lower Shabelle,R1720060,0,February,0
Middle Shabelle,R1720062,18953,February,8529
Mudug,R1720063,0,February,0
Nugaal,R1720064,21,February,9
Sanaag,R1720065,27939,February,12573
Sool,R1720066,0,February,0
Togdheer,R1720067,9027,February,4062
Woqooyi Galbeed,R1720068,0,February,0
Awdal,R1720051,0,March,0
Bakool,R1720052,10233,March,4605
Banadir,R1720053,8402,March,3781
Bari,R1720054,66315,March,29842
Bay,R1720055,11065,March,4979
Galgaduud,R1720056,16186,March,7284
Gedo,R1720057,52971,March,23837
Hiraan,R1720058,8909,March,4009
Lower Juba,R1720059,28085,March,12638
Lower Shabelle,R1720060,1335,March,601
Middle Shabelle,R1720062,2781,March,1251
Mudug,R1720063,50319,March,22644
Nugaal,R1720064,22610,March,10175
Sanaag,R1720065,31014,March,13956
Sool,R1720066,25406,March,11433
Togdheer,R1720067,8670,March,3902
Woqooyi Galbeed,R1720068,5212,March,2345
Awdal,R1720051,11532,April,4613
Bakool,R1720052,59724,April,23890
Banadir,R1720053,10542,April,4217
Bari,R1720054,141996,April,56798
Bay,R1720055,98358,April,39343
Galgaduud,R1720056,39042,April,15617
Gedo,R1720057,89640,April,35856
Hiraan,R1720058,25662,April,10265
Lower Juba,R1720059,44718,April,17887
Lower Shabelle,R1720060,34938,April,13975
Middle Shabelle,R1720062,51228,April,20491
Mudug,R1720063,70068,April,28027
Nugaal,R1720064,64506,April,25802
Sanaag,R1720065,137046,April,54818
Sool,R1720066,55260,April,22104
Togdheer,R1720067,20718,April,8287
Woqooyi Galbeed,R1720068,56094,April,22438
Awdal,R1720051,26874,May,8600
Bakool,R1720052,69018,May,22086
Banadir,R1720053,60576,May,19384
Bari,R1720054,155820,May,49862
Bay,R1720055,102750,May,32880
Galgaduud,R1720056,27522,May,8807
Gedo,R1720057,103416,May,33093
Hiraan,R1720058,57510,May,18403
Lower Juba,R1720059,51012,May,16324
Lower Shabelle,R1720060,16314,May,5220
Middle Shabelle,R1720062,35430,May,11338
Mudug,R1720063,70188,May,22460
Nugaal,R1720064,64386,May,20604
Sanaag,R1720065,109788,May,35132
Sool,R1720066,44646,May,14287
Togdheer,R1720067,22296,May,7135
Woqooyi Galbeed,R1720068,28890,May,9245
