period,district,district_id,TSFP,TSFP_dfid,MCHN,MCHN_dfid,BSFP,BSFP_dfid
April,Afgooye,R1720070,16008,2881,0,0,6172,1111
April,Afmadow,R1720071,2466,444,0,0,7996,1439
April,Baardheere,R1720072,0,0,0,0,0,0
April,Badhaadhe,R1720073,0,0,0,0,0,0
April,Aliyow Munim,R1720074,6132,1104,0,0,8560,1541
April,Baki,R1720075,2332,420,1618,291,0,0
April,Balcad,R1720076,3816,687,0,0,5025,905
April,Bandarbeyla,R1720077,3300,594,0,0,1444,260
April,Baraawe,R1720078,9242,1664,0,0,4182,753
April,Belet Weyne,R1720079,16040,2887,9500,1710,3000,540
April,Belet Hawo,R1720080,3304,595,0,0,7968,1434
April,Berbera,R1720081,2002,360,1730,311,0,0
April,Borama,R1720082,4992,899,6000,1080,0,0
April,Bossaso,R1720083,13930,2507,10882,1959,2240,403
April,Bu'aale,R1720084,0,0,0,0,0,0
April,Bulo Burto,R1720085,9400,1692,0,0,0,0
April,Burco,R1720086,7794,1403,4905,883,0,0
April,Burtinle,R1720087,6120,1102,1638,295,1020,184
April,Buuhoodle,R1720088,3636,654,9493,1709,862,155
April,Buur Hakaba,R1720089,0,0,0,0,0,0
April,Balanbale,R1720090,10000,1800,0,0,0,0
April,Cadaado,R1720091,8400,1512,0,0,2500,450
April,Cadale,R1720092,1734,312,0,0,2466,444
April,Caluula,R1720093,3750,675,2056,370,1300,234
April,Caynabo,R1720094,4904,883,1272,229,2721,490
April,Ceel Afweyn,R1720095,14452,2601,5587,1006,7411,1334
April,Ceel Barde,R1720096,3704,667,0,0,5972,1075
April,Ceel Buur,R1720097,0,0,0,0,0,0
April,Ceel Dheer,R1720098,6264,1128,0,0,0,0
April,Badhan,R1720099,16008,2881,7287,1312,2216,399
April,Dhuusamarreeb,R1720100,5636,1014,5000,900,0,0
April,Diinsoor,R1720101,3504,631,0,0,3000,540
April,Doolow,R1720102,2908,523,0,0,5084,915
April,Ceel Waaq,R1720103,0,0,0,0,0,0
April,Eyl,R1720104,3824,688,1710,308,2040,367
April,Gebiley,R1720105,9608,1729,3448,621,0,0
April,Galdogob,R1720106,4536,816,2502,450,0,0
April,Gaalkacyo,R1720107,28806,5185,17502,3150,19100,3438
April,Burdhubo,R1720108,4988,898,0,0,2704,487
April,Dangorayo,R1720109,14550,2619,2058,370,4830,869
April,Hargeysa,R1720110,17588,3166,8919,1605,0,0
April,Hobyo,R1720111,8400,1512,8000,1440,2500,450
April,Iskushuban,R1720112,4814,867,2349,423,6154,1108
April,Jalalaqsi,R1720113,0,0,0,0,0,0
April,Jamaame,R1720114,0,0,0,0,0,0
April,Jariiban,R1720115,4720,850,3375,608,0,0
April,Jilib,R1720116,0,0,0,0,0,0
April,Jowhar,R1720117,16228,2921,0,0,7784,1401
April,Kismaayo,R1720118,12300,2214,0,0,16940,3049
April,Kurtunwaarey,R1720119,0,0,0,0,0,0
April,Bo'ame,R1720120,11940,2149,8563,1541,2879,518
April,Laasqoray,R1720121,640,115,0,0,110,20
April,Lughaye,R1720122,5034,906,3552,639,0,0
April,Dhamasa,R1720123,2574,463,0,0,7992,1439
April,Hantiwadag,R1720124,7316,1317,0,0,5684,1023
April,Banadir,R1720125,0,0,0,0,0,0
April,Owdweyne,R1720126,320,58,500,90,0,0
April,Qandala,R1720127,3900,702,810,146,1300,234
April,Qansax Dheere,R1720128,0,0,0,0,0,0
April,Qardho,R1720129,7700,1386,3135,564,4100,738
April,Madulow,R1720130,0,0,0,0,0,0
April,Burdhuhunle,R1720131,1616,291,0,0,1720,310
April,Saakow,R1720132,0,0,0,0,0,0
April,Gomore,R1720133,0,0,0,0,0,0
April,Sheikh,R1720134,800,144,800,144,0,0
April,Taleex,R1720135,1558,280,2520,454,1928,347
April,Tayeeglow,R1720136,0,0,0,0,0,0
April,Waajid,R1720137,2600,468,0,0,2248,405
April,Beletamin ,R1720138,9316,1677,0,0,4552,819
April,Xarardheere,R1720139,7368,1326,0,0,3500,630
April,Xudun,R1720140,2076,374,2608,469,1369,246
April,Aboore,R1720141,2000,360,0,0,3000,540
April,Zeylac,R1720142,900,162,3128,563,0,0
April,Boondheere,R1720143,2028,365,0,0,0,0
April,Cabdlcasiis,R1720144,1464,264,0,0,0,0
April,Daynile,R1720145,21356,3844,6622,1192,0,0
April,Dharkenley,R1720146,7560,1361,9796,1763,0,0
April,Hawl Wadaag,R1720147,2206,397,1950,351,0,0
April,Heliwa,R1720148,3150,567,5562,1001,0,0
April,Hodan,R1720149,7704,1387,1952,351,0,0
April,Karaan,R1720150,7682,1383,0,0,0,0
April,Shangaani,R1720151,1722,310,0,0,0,0
April,Shibis,R1720152,2204,397,0,0,0,0
April,Waaberi,R1720153,1726,311,5176,932,0,0
April,Wadajir,R1720154,3078,554,4400,792,0,0
April,Wardhiigleey,R1720155,2364,426,4400,792,0,0
April,Xamar JaabJab,R1720156,1764,318,2930,527,0,0
April,Xamar Weyne,R1720157,1368,246,4960,893,0,0
April,Yaaqshiid,R1720158,3720,670,3662,659,0,0
May,Afgooye,R1720070,16008,3202,0,0,4336,867
May,Afmadow,R1720071,2466,493,0,0,7996,1599
May,Baardheere,R1720072,0,0,0,0,0,0
May,Badhaadhe,R1720073,0,0,0,0,0,0
May,Aliyow Munim,R1720074,7104,1421,0,0,8560,1712
May,Baki,R1720075,2332,466,1618,324,0,0
May,Balcad,R1720076,3816,763,0,0,4125,825
May,Bandarbeyla,R1720077,3300,660,1620,324,1444,289
May,Baraawe,R1720078,9242,1848,0,0,4182,836
May,Belet Weyne,R1720079,16040,3208,9500,1900,3000,600
May,Belet Hawo,R1720080,3438,688,0,0,7968,1594
May,Berbera,R1720081,2002,400,1730,346,0,0
May,Borama,R1720082,4992,998,6000,1200,0,0
May,Bossaso,R1720083,13930,2786,11028,2206,2240,448
May,Bu'aale,R1720084,0,0,0,0,0,0
May,Bulo Burto,R1720085,9400,1880,0,0,0,0
May,Burco,R1720086,8254,1651,4905,981,0,0
May,Burtinle,R1720087,6120,1224,2038,408,1020,204
May,Buuhoodle,R1720088,3636,727,9493,1899,862,172
