period,district,district_id,TSFP,TSFP_dfid,MCHN,MCHN_dfid,BSFP,BSFP_dfid
January,Caluula,R1720093,587,106,888,160,0,0
January,Bandarbeyla,R1720077,434,78,700,126,0,0
January,Bossaso,R1720083,2920,526,12988,2338,0,0
January,Qardho,R1720129,1356,244,1355,244,0,0
January,Iskushuban,R1720112,799,144,1092,197,0,0
January,Qandala,R1720127,556,100,350,63,0,0
January,Burtinle,R1720087,1335,240,1195,215,0,0
January,Dangorayo,R1720109,680,122,0,0,0,0
January,Eyl,R1720104,762,137,490,88,0,0
January,Garoowe,R1720109,1375,248,868,156,0,0
January,Baki,R1720075,685,123,1850,333,0,0
January,Borama,R1720082,2148,387,5315,957,0,0
January,Lughaye,R1720122,1137,205,2460,443,0,0
January,Zeylac,R1720142,570,103,2591,466,0,0
January,Buuhoodle,R1720088,484,87,1146,206,0,0
January,Burco,R1720086,2534,456,8121,1462,0,0
January,Owdweyne,R1720126,200,36,872,157,0,0
January,Sheikh,R1720134,426,77,1241,223,0,0
January,Ceel Afweyn,R1720095,440,79,1473,265,0,0
January,Laasqoray,R1720121,0,0,0,0,0,0
January,Ceerigaabo,R1720099,704,127,2132,384,0,0
January,Badhan,R1720099,0,0,0,0,0,0
January,Dhahar,R1720095,0,0,0,0,0,0
January,Caynabo,R1720094,640,115,1080,194,0,0
January,Xudun,R1720140,110,20,440,79,0,0
January,Laas Caanood,R1720120,1839,331,3311,596,0,0
January,Taleex,R1720135,0,0,0,0,0,0
January,Berbera,R1720081,1162,209,3260,587,0,0
January,Gebiley,R1720105,2592,467,4689,844,0,0
January,Hargeysa,R1720110,5888,1060,13937,2509,0,0
January,Jariiban,R1720115,1123,202,1457,262,0,0
January,Galdogob,R1720106,1057,190,1620,292,0,0
January,Gaalkacyo,R1720107,848,153,2155,388,0,0
January,Hobyo,R1720111,0,0,0,0,0,0
January,Baardheere,R1720072,0,0,0,0,0,0
January,Belet weyne,R1720079,0,0,0,0,0,0
January,Bulo Burto,R1720085,0,0,0,0,0,0
January,Matabaan,R1720079,0,0,0,0,0,0
January,Cabudwaaq,R1720090,0,0,0,0,0,0
January,Balanbale,R1720090,0,0,0,0,0,0
January,Cadaado,R1720091,0,0,0,0,0,0
January,Dhuusamarreeb,R1720100,0,0,0,0,0,0
January,Guriceel,R1720098,0,0,0,0,0,0
January,Herale,R1720090,0,0,0,0,0,0
January,Cabdlcasiis,R1720144,0,0,0,0,0,0
January,Boondheere,R1720143,0,0,0,0,0,0
January,Daynile,R1720145,0,0,0,0,0,0
January,Dharkenley,R1720146,0,0,0,0,0,0
January,Xamar Jaabjab,R1720156,0,0,0,0,0,0
January,Xamar Weyne,R1720157,0,0,0,0,0,0
January,Hawl Wadaag,R1720147,0,0,0,0,0,0
January,Heliwa,R1720148,0,0,0,0,0,0
January,Hodan,R1720149,0,0,0,0,0,0
January,Karaan,R1720150,0,0,0,0,0,0
January,Shibis,R1720152,0,0,0,0,0,0
January,Shangaani,R1720151,0,0,0,0,0,0
January,Waaberi,R1720153,0,0,0,0,0,0
January,Wadajir,R1720154,0,0,0,0,0,0
January,Wardhiigleey,R1720155,0,0,0,0,0,0
January,Yaaqshiid,R1720158,0,0,2100,378,0,0
January,Afgooye,R1720070,0,0,0,0,0,0
January,Wanla weyn,R1720138,0,0,0,0,0,0
January,Marka,R1720124,0,0,0,0,0,0
January,Kurtunwaarey,R1720119,0,0,0,0,0,0
January,Baraawe,R1720078,0,0,0,0,0,0
January,Qoryooley,R1720130,0,0,0,0,0,0
January,Jowhar,R1720117,0,0,0,0,0,0
January,Balcad,R1720076,0,0,0,0,0,0
January,Cadale,R1720092,0,0,0,0,0,0
January,Mahaday,R1720117,0,0,0,0,0,0
January,Warsheikh,R1720076,0,0,0,0,0,0
January,Ceel Barde,R1720096,0,0,0,0,0,0
January,Xudur,R1720141,0,0,0,0,0,0
January,Waajid,R1720137,0,0,0,0,0,0
