district,district_id,live,dead,cfr
Banadir,R1720125,2026,45,2.2
Baydhaba,R1720074,8161,147,27.2
Buur Hakaba,R1720089,784,22,7.2
Qansax Dheere,R1720128,449,3,1
Waajid,R1720137,1995,112,10.8
Jowhar,R1720117,930,13,3.2
Balcad,R1720076,259,2,2.7
Belet Weyne,R1720079,275,2,0.7
Bulo Burto,R1720085,10,0,0
Jalalaqsi,R1720113,21,1,4.8
Afgooye,R1720070,169,0,0
Marka,R1720124,1124,17,23.4
Qoryooley,R1720130,317,1,0.3
Wanla Weyn,R1720138,726,15,2.1
Bossaso,R1720083,279,5,1.8
Iskushuban,R1720112,3,0,0
Galdogob,R1720106,32,2,6.3
Gaalkacyo,R1720107,158,2,1.3
Jariiban,R1720115,22,0,0
Garoowe,R1720109,786,24,3.1
Kismaayo,R1720118,653,6,0.9
Garbahaarey,R1720108,963,13,2.9
Luuq,R1720123,661,21,3.3
Baardheere,R1720072,528,5,0.9
Cadaado,R1720091,168,5,3
Xudur,R1720141,530,16,3
Burtinle,R1720087,98,1,1
Eyl,R1720104,34,0,0
Diinsoor,R1720101,73,0,0
Buuhoodle,R1720088,88,13,14.8
