IRF CODE,Output,NGO,State,Region,region_id,District,district_id,No of Locations  Targeted,GIS LONGITUDE,Objective,GROUPED ACTIVITY,Original targets Proposal INDIVIDUALS,Original targets Proposal HOUSEHOLDS,Revised targets Proposal INDIVIDUALS,Revised targets Proposal HOUSEHOLDS,Latest report targt individuals (1-15 March),Nr of cash installments,How many days of water trucking?,Distribution date,Amount of cash provided per month (average),Reached Individuals MALE,Reached Individuals FEMALE,Total Beneficiaries,Achievement to date,Progress of Activity,Planned for next month,,
IRF 4 a,1,ACF,SWS,Bakool,R1720052,Rab Dhuure,R1720131,1,,Access health IDPs / cholera prevention,Nr of persons provided access to health,2100,300,2100,300,,,,,,780,2153,2933,140%,COMPLETED,NO,,
IRF 4 a,1,Cesvi,Banadir,Banadir,R1720053,Hodan,R1720149,1,,Access health IDPs / cholera prevention,Nr of persons provided access to health,"1,198",171,6006,858,,,,,,7886,22007,29893,498%,COMPLETED,NO,,
IRF 4 a,1,Cesvi,SWS,Shabelle Hoose,R1720060,Afgooye,R1720070,1,E:45.292,Access health IDPs / cholera prevention,Nr of persons provided access to health,1800,257,9002,1286,,,,,,3601,8597,12198,136%,COMPLETED,NO,,
IRF 4 a,1,Cesvi,Galmudug,Mudug,R1720063,Gaalkacyo,R1720107,2,,Access to health services (outreach activities),Nr of persons provided access to health,0,0,2205,315,,,,,,1069,1347,2416,110%,COMPLETED,NO,,
IRF 4 a,1,IRC,Galmudug,Mudug,R1720063,Gaalkacyo,R1720107,1,,Healt outreach,Nr of persons provided access to health,"5,500",786,5500,786,,,,,,3590,4940,8530,155%,COMPLETED,NO,,
IRF 4 b,1,ACF,Bakool,Bakool,R1720052,Xudur,R1720141,1,,Access to health services (outreach activities),Nr of persons provided access to health,"3,000",500,"3,000",500,"3,000",,,,,1514,1486,3000,100%,COMPLETED,NO,,
IRF 4 b,1,Cesvi,SWS,Shabelle Hoose,R1720060,Afgooye,R1720070,1,E:45.292,Emergency medical assistance,Nr of persons provided access to health,"15,000","2,143","15,000","2,143","15,000",,,APRIL,,5801,13671,19472,130%,ONGOING,YES,,
IRF 4 b,1,Cesvi,Galmudug,mudug,R1720063,Gaalkacyo,R1720107,7,,Emergency medical assistance,Nr of persons provided access to health,"12,000","1,714","12,000","1,714","12,000",,,APRIL,,4143,3456,7599,63%,ONGOING,YES,,
IRF 4 a,2,ACF,SWS,Bakool,R1720052,Rab Dhuure,R1720131,1,,Hygiene Promotion and Sanitation,Nr of persons sensitized with hygiene promotion,2100,300,2100,300,,,,,,1773,2416,4189,199%,COMPLETED,NO,,
IRF 4 a,2,Cesvi,Galmudug,Mudug,R1720063,Hobyo,R1720111,1,,purchasing and installation of water pump,Nr of persons provided with water source,2000,285.7142857,2800,400,,,,,,1372,1428,2800,100%,COMPLETED,NO,,
IRF 4 a,2,Cesvi,Galmudug,Mudug,R1720063,Gaalkacyo,R1720107,2,,WASH for drought relief (water trucking),Nr of persons provided with water trucking,2000,285.7142857,14000,2000,,,,,,9509,10301,19810,142%,COMPLETED,NO,,
IRF 4 a,2,Cesvi,Galmudug,Mudug,R1720063,Gaalkacyo,R1720107,2,,WASH for drought relief (hygiene promotion),Nr of persons sensitized with hygiene promotion,3490,498.5714286,14000,2000,,,,,,9509,10301,19810,142%,COMPLETED,NO,,
IRF 4 a,2,CWW,SWS,Gedo,R1720057,Belet xaawo,R1720080,5,,Water Trucking + WASH promotion for IDPs for displaced and drought relief,Nr of persons provided with water trucking and hygiene promotion,0,0,2400,343,,,,,,3390,3672,7062,294%,COMPLETED,NO,,
IRF 4 a,2,CWW,SWS,Gedo,R1720057,Elwak,R1720103,11,,Water Trucking + WASH promotion for IDPs for displaced and drought relief,Nr of persons provided with water trucking and hygiene promotion,0,0,2400,343,,,,,,3730,4040,7770,324%,COMPLETED,NO,,
IRF 4 a,2,SCI,Hir-shabelle,Hiraan,R1720058,Belet Weyne,R1720079,4,,WASH interventions for prevention of cholera,Nr of persons sensitized with hygiene promotion,1800,300,1800,300,,,,,,9800,10200,20000,1111%,COMPLETED,NO,,
IRF 4 a,2,SCI,Jubaland,Juba Hoose,R1720059,Afmadow,R1720071,1,,WASH interventions for prevention of cholera,Nr of persons sensitized with hygiene promotion,2580,430,2580,430,,,,,,1883,1921,3804,147%,COMPLETED,NO,,
IRF 4 a,2,SCI,Puntland,Bari,R1720054,caluula,R1720093,1,,WASH intervention for prevention of AWD,Nr of persons sensitized with hygiene promotion,660,110,660,110,,,,,,383,697,1080,164%,COMPLETED,NO,,
IRF 4 a,2,SCI,Puntland,Bari,R1720054,Qardho,R1720129,5,,WASH for drought relief,Nr of persons provided with water trucking,2334,389,2334,389,,,,,,940,965,1905,82%,COMPLETED,NO,,
IRF 4 a,2,SCI,Puntland,Nugaal,R1720064,Dangorayo,R1720109,4,,WASH for drought relief,Nr of persons provided with water trucking,4452,742,4452,742,,,,,,4269,4101,8370,188%,COMPLETED,NO,,
IRF 4 a,2,SCI,Somaliland-Puntland,Sanaag,R1720065,Badhan,R1720099,4,,WASH for drought relief,Nr of persons provided with water trucking,2160,360,2160,360,,,,,,1514,1576,3090,143%,COMPLETED,NO,,
