district_id,district,period,target,reached,percent_target,output,instalments,partner,irf_code,ratio_instalment
R1720070,Afgooye,March,1540,0,0,2,2,Cesvi,IRF 4 b,2 out of 2 payments completed
R1720079,Matabaan,March,9600,0,0,2,2,SCI,IRF 4 b,2 out of 2 payments completed
R1720083,Bossaso,March,5600,0,0,2,0,DRC,IRF 4 c,0 out of 2 payments completed
R1720099,Badhan,March,4207,0,0,2,0,SCI,IRF 4 c,0 out of 2 payments completed
R1720105,Gebiley,March,1960,0,0,2,N/A,SCI,IRF 4 c,N/A out of 2 payments completed
R1720107,Gaalkacyo,March,9800,0,0,2,0,DRC,IRF 4 c,0 out of 2 payments completed
R1720112,Iskushuban,March,0,9068,100,2,2,SCI,IRF 4 b,2 out of 2 payments completed
R1720129,Qardho,March,8400,0,0,2,0,DRC,IRF 4 c,0 out of 2 payments completed
R1720070,Afgooye,April,1540,0,0,2,2,Cesvi,IRF 4 b,2 out of 2 payments completed
R1720079,Matabaan,April,9600,0,0,2,2,SCI,IRF 4 b,2 out of 2 payments completed
R1720083,Bossaso,April,5600,0,0,2,0,DRC,IRF 4 c,0 out of 2 payments completed
R1720099,Badhan,April,4207,0,0,2,0,SCI,IRF 4 c,0 out of 2 payments completed
R1720105,Gebiley,April,1960,0,0,2,N/A,SCI,IRF 4 c,N/A out of 2 payments completed
R1720107,Gaalkacyo,April,9800,0,0,2,0,DRC,IRF 4 c,0 out of 2 payments completed
R1720112,Iskushuban,April,0,9068,100,2,2,SCI,IRF 4 b,2 out of 2 payments completed
R1720129,Qardho,April,8400,0,0,2,0,DRC,IRF 4 c,0 out of 2 payments completed
R1720070,Afgooye,May,1540,1540,100,2,2,Cesvi,IRF 4 b,2 out of 2 payments completed
R1720079,Matabaan,May,9600,9600,100,2,2,SCI,IRF 4 b,2 out of 2 payments completed
R1720083,Bossaso,May,5600,0,0,2,0,DRC,IRF 4 c,0 out of 2 payments completed
R1720099,Badhan,May,4207,0,0,2,0,SCI,IRF 4 c,0 out of 2 payments completed
R1720105,Gebiley,May,1960,0,0,2,N/A,SCI,IRF 4 c,N/A out of 2 payments completed
R1720107,Gaalkacyo,May,9800,0,0,2,0,DRC,IRF 4 c,0 out of 2 payments completed
R1720112,Iskushuban,May,0,9068,100,2,2,SCI,IRF 4 b,2 out of 2 payments completed
R1720129,Qardho,May,8400,0,0,2,0,DRC,IRF 4 c,0 out of 2 payments completed
R1720070,Afgooye,June,1540,1540,100,2,2,Cesvi,IRF 4 b,2 out of 2 payments completed
R1720079,Matabaan,June,9600,9600,100,2,2,SCI,IRF 4 b,2 out of 2 payments completed
R1720095,Dhahar,June,12925,0,0,2,N/A,SCI,IRF 4 c,N/A out of 2 payments completed
R1720112,Iskushuban,June,0,9068,0,2,2,SCI,IRF 4 b,2 out of 2 payments completed
R1720070,Afgooye,July,1540,1540,100,2,2,Cesvi,IRF 4 b,2 out of 2 payments completed
R1720079,Matabaan,July,9600,9600,100,2,2,SCI,IRF 4 b,2 out of 2 payments completed
R1720095,Dhahar,July,12925,12925,100,2,N/A,SCI,IRF 4 c,N/A out of 2 payments completed
R1720112,Iskushuban,July,0,9068,0,2,2,SCI,IRF 4 b,2 out of 2 payments completed
