district_id,district,period,target,reached,percent_target,output,instalments,partner,irf_code,ratio_instalment
R1720074,Aliyow Munim,March,20111,1600,8,5,4,SCI/ CWW/ NRC,IRF 4 c/ IRF 4 b,4 out of 5 payments completed
R1720075,Baki,March,15900,0,0,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720077,Bandarbeyla,March,8400,0,0,2,N/A,DRC,IRF 4 c,N/A out of 2 payments completed
R1720079,Belet Weyne,March,56975,67206,118,2,2,Cesvi/ SCI,IRF 4 b,2 out of 2 payments completed
R1720080,Belet Hawo,March,58079,87339,150,2,2,CWW,IRF 4 b/ IRF 4 c,2 out of 2 payments completed
R1720083,Bossaso,March,2800,0,0,2,N/A,DRC,IRF 4 c,N/A out of 2 payments completed
R1720086,Burco,March,9408,9408,100,2,2,SCI,IRF 4 b,2 out of 2 payments completed
R1720087,Burtinle,March,7700,0,0,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720094,Caynabo,March,7000,9474,135,2,2,NRC,IRF 4 c,2 out of 2 payments completed
R1720095,Ceel Afweyn,March,25851,0,0,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720099,Badhan,March,119635,0,0,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720103,Ceel Waaq,March,27755,27755,100,2,2,CWW,IRF 4 c,2 out of 2 payments completed
R1720104,Eyl,March,2800,2798,100,2,2,ACF,IRF 4 b,2 out of 2 payments completed
R1720107,Gaalkacyo,March,10850,21175,195,5,3,Cesvi,IRF 4 b,3 out of 5 payments completed
R1720109,Dangorayo,March,3500,4990,143,2,2,NRC,IRF 4 b,2 out of 2 payments completed
R1720110,Hargeysa,March,3000,0,0,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720112,Iskushuban,March,10848,18136,167,2,N/A,DRC/ SCI,IRF 4 b/ IRF 4 c,N/A out of 2 payments completed
R1720120,Bo'ame,March,8498,0,0,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720129,Qardho,March,25505,9486,37,2,2,SCI/ NRC/ DRC,IRF 4 c,2 out of 2 payments completed
R1720131,Burdhuhunle,March,4200,4200,100,2,2,ACF,IRF 4 b,2 out of 2 payments completed
R1720137,Waajid,March,5600,4800,86,5,1,ACF,IRF 4 c,1 out of 5 payments completed
R1720074,Aliyow Munim,April,20111,20200,100,5,4,SCI/ CWW/ NRC,IRF 4 c/ IRF 4 b,4 out of 5 payments completed
R1720075,Baki,April,15900,0,0,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720077,Bandarbeyla,April,8400,8436,100,2,N/A,DRC,IRF 4 c,N/A out of 2 payments completed
R1720079,Belet Weyne,April,56975,67206,118,2,2,Cesvi/ SCI,IRF 4 b,2 out of 2 payments completed
R1720080,Belet Hawo,April,58079,58079,100,2,2,CWW,IRF 4 b/ IRF 4 c,2 out of 2 payments completed
R1720083,Bossaso,April,2800,2800,100,2,N/A,DRC,IRF 4 c,N/A out of 2 payments completed
R1720086,Burco,April,9408,9408,100,2,2,SCI,IRF 4 b,2 out of 2 payments completed
R1720087,Burtinle,April,7700,6136,80,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720094,Caynabo,April,7000,9474,135,2,2,NRC,IRF 4 c,2 out of 2 payments completed
R1720095,Ceel Afweyn,April,25851,4200,16,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720099,Badhan,April,119635,22380,19,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720103,Ceel Waaq,April,27755,27755,100,2,2,CWW,IRF 4 c,2 out of 2 payments completed
R1720104,Eyl,April,2800,2798,100,2,2,ACF,IRF 4 b,2 out of 2 payments completed
R1720107,Gaalkacyo,April,10850,37954,350,5,3,Cesvi,IRF 4 b,3 out of 5 payments completed
R1720109,Dangorayo,April,3500,4990,143,2,2,NRC,IRF 4 b,2 out of 2 payments completed
R1720110,Hargeysa,April,3000,0,0,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720112,Iskushuban,April,10848,25868,238,2,N/A,DRC/ SCI,IRF 4 b IRF 4 c,N/A out of 2 payments completed
R1720120,Bo'ame,April,8498,11386,134,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720129,Qardho,April,25505,12286,48,2,2,SCI/ NRC/ DRC,IRF 4 c,2 out of 2 payments completed
R1720131,Burdhuhunle,April,4200,4200,100,2,2,ACF,IRF 4 b,2 out of 2 payments completed
R1720137,Waajid,April,5600,4800,86,5,1,ACF,IRF 4 c,1 out of 5 payments completed
