region_id,Region,district_id,District,Total_Pop_2017,Estimated_under_5,Estimated_PLW,Prevalence_SAM_perc,Prevalence_GAM_perc,ECE_SAM,ECE_GAM,SAM_est,GAM_est
R1720051,Awdal,R1720075,Baki,70268.22,12648,3513.411,0.016,0.119,526.1684314,3913.377708,526,3913
R1720051,Awdal,R1720082,Borama,491879.61,88538.3298,24593.9805,0.016,0.119,3683.19452,27393.75924,3683,27394
R1720051,Awdal,R1720122,Lughaye,70268.22,12648.2796,3513.411,0.016,0.119,526.1684314,3913.377708,526,3913
R1720051,Awdal,R1720142,Zeylac,64412.19,11594.1942,3220.6095,0.016,0.119,482.3184787,3587.243685,482,3587
R1720052,Bakool,R1720096,Ceel barde,46070.955,8292.7719,2303.54775,0.032,0.237,689.9586221,5110.006045,690,5110
R1720052,Bakool,R1720131,Rab Dhuure,35703.36,6426.6048,1785.168,0.032,0.237,534.6935194,3960.073878,535,3960
R1720052,Bakool,R1720136,Tayeeglow,99175.77,17851.6386,4958.7885,0.032,0.237,1485.256332,11000.17971,1485,11000
R1720052,Bakool,R1720137,Waajiid,85276.755,15349.8159,4263.83775,0.032,0.237,1277.104683,9458.556558,1277,9459
R1720052,Bakool,R1720141,Xudur,113853.105,20493.5589,5692.65525,0.032,0.237,1705.0641,12628.13099,1705,12628
R1720053,Banadir,R1720144,Abdiaziz,41985.81,7557.4458,2099.2905,0.036,0.145,2520,3232,2520,3232
R1720053,Banadir,R1720143,Boondheere,115882.74,20858.8932,5794.137,0.036,0.145,3539,7863.802736,3539,7864
R1720053,Banadir,R1720145,Daynile,62106.21,11179.1178,3105.3105,0.036,0.145,1046.365426,4214.527411,1046,4215
R1720053,Banadir,R1720146,Dharkenley,77673.645,13981.2561,3883.68225,0.036,0.145,1308.645571,5270.93355,1309,5271
R1720053,Banadir,R1720156,Hamarjajab,68857.515,12394.3527,3442.87575,0.036,0.145,1160.111413,4672.670968,1160,4673
R1720053,Banadir,R1720147,Hawlwadag,74131.875,13343.7375,3706.59375,0.036,0.145,1248.97383,5030.589038,1249,5031
R1720053,Banadir,R1720148,Heliwa,82292.85,14812.713,4114.6425,0.036,0.145,1386.469937,5584.392801,1386,5584
R1720053,Banadir,R1720149,Hodan,135682.29,24422.8122,6784.1145,0.036,0.145,2285.975222,9207.400199,2286,9207
R1720053,Banadir,R1720150,Kaaraan,233442.18,42019.5924,11672.109,0.036,0.145,3933.033849,15841.38633,3933,15841
R1720053,Banadir,R1720151,Shangaani,46183.77,8313.0786,2309.1885,0.036,0.145,778.104157,3134.030632,778,3134
R1720053,Banadir,R1720152,Shibis,151149.33,27206.8794,7557.4665,0.036,0.145,2546.563912,10256.99353,2547,10257
R1720053,Banadir,R1720153,Waaberi,96400.935,17352.1683,4820.04675,0.036,0.145,1624.162953,6541.767449,1624,6542
R1720053,Banadir,R1720154,Wadajir,94971.6,17094.888,4748.58,0.036,0.145,1600.081517,6444.772776,1600,6445
R1720053,Banadir,R1720155,Wardhiigleey,101622.51,18292.0518,5081.1255,0.036,0.145,1712.136048,6896.103529,1712,6896
R1720053,Banadir,R1720157,Xamar Weyne,82082.745,14774.8941,4104.13725,0.036,0.145,1382.930088,5570.135076,1383,5570
R1720053,Banadir,R1720158,Yaaqshid,243518.94,43833.4092,12175.947,0.036,0.145,4102.807101,16525.19527,4103,16525
R1720054,Bari,R1720077,Bandar Beyla,27594.135,4966.9443,1379.70675,0.036,0.184,464.9059865,2376.186153,465,2376
R1720054,Bari,R1720083,Bossaso,316531.98,56975.7564,15826.599,0.036,0.184,5332.930799,27257.20186,5333,27257
R1720054,Bari,R1720093,Caluula,67184.955,12093.2919,3359.24775,0.036,0.184,1131.932122,5785.430845,1132,5785
R1720054,Bari,R1720112,Iskushuban,82588.86,14865.9948,4129.443,0.036,0.184,1391.457113,7111.891912,1391,7112
R1720054,Bari,R1720127,Qandala,75823.065,13648.1517,3791.15325,0.036,0.184,1277.466999,6529.275773,1277,6529
R1720054,Bari,R1720129,Qardho,174970.89,31494.7602,8748.5445,0.036,0.184,2947.909555,15067.09328,2948,15067
R1720055,Bay,R1720074,Baidoa Rural,430013.52,77402.4336,21500.676,0.045,0.2,9801,40249.26547,9801,40249
