district_id,target,reached,percent_target
R1720070,12200,12200,100
R1720074,110278,98425,89.25170932
R1720079,30080,25164,83.65691489
R1720080,13587,13587,100
R1720082,2800,2800,100
R1720083,6300,0,0
R1720086,5950,6729,113.092437
R1720094,11200,3567,31.84821429
R1720095,7784,13507,173.5226105
R1720096,11900,11900,100
R1720099,23975,17300,72.15849844
R1720100,1890,1890,100
R1720102,2450,2450,100
R1720103,7225,7225,100
R1720104,8694,3710,42.67310789
R1720107,29400,2352,8
R1720109,7562,8435,111.5445649
R1720111,17570,0,0
R1720112,4440,3750,84.45945946
R1720115,3150,0,0
R1720118,4095,4095,100
R1720120,14690,7352,50.04765146
R1720121,4900,0,0
R1720122,2820,3108,110.212766
R1720123,1050,1050,100
R1720125,7000,0,0
R1720129,18972,15000,79.06388362
R1720131,9100,8202,90.13186813
R1720137,13000,7010,53.92307692
R1720138,4000,2712,67.8
R1720140,2100,2100,100
R1720141,24500,24500,100
R1720142,4596,7694,167.4064404
R1720144,4802,0,0
R1720145,23520,23520,100
R1720149,7000,0,0
