district_id,count_district_id,count_grouped_activity,targeted,reached,percent_target
R1720071,1,1,0,0,0
R1720074,0,0,36022,36200,100
R1720075,0,0,17610,19380,110
R1720077,0,0,16800,8436,50
R1720079,0,0,17760,9867,56
R1720080,1,1,147801,115951,78
R1720083,0,0,9800,2800,29
R1720086,0,0,18816,18816,100
R1720087,0,0,6678,6136,92
R1720094,0,0,14000,13824,99
R1720095,0,0,67851,0,0
R1720099,0,0,91980,10650,12
R1720103,1,1,96808,106950,110
R1720104,0,0,5600,5598,100
R1720107,0,0,35700,79939,224
R1720109,2,2,11452,18350,160
R1720110,0,0,4710,5100,108
R1720112,0,0,58500,44422,76
R1720120,0,0,7140,11386,159
R1720129,0,0,31544,13286,42
R1720131,0,0,12000,10200,85
R1720137,0,0,11200,10400,93
