region_name,region_osm_id,district_name,osm_name,district_osm_id,population_LZ,ipc_stressed,ipc_crisis,ipc_emergency,ipc_catastrophic,ipc_3_4,pop_3_4,osm_id,district_name,longitude,latitude,label
Shabelle Dhexe (Middle),R1720062,Adan Yabaal,Adan Yabaal,R1720069,37781,7153,5120,0,0,5120,0.14,R1720069,Adan Yabaal,46.658645,3.464867,
Shabelle Hoose (Lower),R1720060,Afgooye,Afgooye,R1720070,238656,77514,25658,0,0,25658,0.11,R1720070,Afgooye,45.090422,2.202859,
Juba Hoose (Lower),R1720059,Afmadow,Afmadow,R1720071,172486,47052,25088,546,0,25634,0.15,R1720071,Afmadow,41.785059,0.589,
Gedo,R1720057,Baardheere,Baardheere,R1720072,177384,56802,29496,0,0,29496,0.17,R1720072,Baardheere,41.704783,2.099989,
Juba Hoose (Lower),R1720059,Badhaadhe,Badhaadhe,R1720073,56177,13917,10040,0,0,10040,0.18,R1720073,Badhaadhe,41.428564,-0.855469,
Bay,R1720055,Baydhaba,Baidoa,R1720074,315679,76791,73613,66905,0,140518,0.45,R1720074,Baydhaba,43.638353,3.264808,
Awdal,R1720051,Baki,Baki,R1720075,96885,20352,9322,347,0,9669,0.1,R1720075,Baki,43.800655,10.335104,
Shabelle Dhexe (Middle),R1720062,Balcad,Balcad,R1720076,212261,55394,34824,0,0,34824,0.16,R1720076,Balcad,45.733219,2.430061,
Bari,R1720054,Bandarbayla,Bandarbayla,R1720077,15481,4169,3216,2127,0,5343,0.35,R1720077,Bandarbayla,50.422456,9.186037,
Shabelle Hoose (Lower),R1720060,Baraawe,Baraawe,R1720078,74072,24706,16936,4657,0,21593,0.29,R1720078,Baraawe,43.968089,1.063922,
Hiraan,R1720058,Belet Weyne,Belet Weyne,R1720079,235213,27460,110615,8750,0,119365,0.51,R1720079,Belet Weyne,45.379355,4.724425,
Gedo,R1720057,Belet Xaawo,Belet Xaawo,R1720080,83116,25501,14187,0,0,14187,0.17,R1720080,Belet Xaawo,41.727917,3.435027,
Woqooyi Galbeed,R1720068,Berbera,Berbera,R1720081,176008,52708,19687,3069,0,22756,0.13,R1720081,Berbera,45.237954,10.461769,
Awdal,R1720051,Borama,Borama,R1720082,398609,84380,16177,478,0,16655,0.04,R1720082,Borama,43.16714,10.18752,
Bari,R1720054,Bossaso,Bossaso,R1720083,469566,99415,111704,4152,0,115856,0.25,R1720083,Bossaso,49.373119,10.994028,
Juba Dhexe (Middle),R1720061,Bu'aale,Bu'aale,R1720084,108986,27193,25607,0,0,25607,0.23,R1720084,Bu'aale,42.739888,1.196247,
