cartodb_id,fid_fsnau_,code,lhz_2015,lhzcd_2015,fid_sm_dis,reg_name,reg_code,reg_alt,dist_name,dis_code,dist_alt,note,area,dist_2_nam,gu_12
189,34,14,Riverine gravity irrigation,14: Riverine gravity irrigation,67,Juba Dhexe,27,"Middle Juba, Jubbada Dhexe",Bu'aale,2701,,,5494.49970777,Bu'aale,2
7,1,02,Northwest Agropastoral,02: West Golis Pastoral,1,Awdal,11,,Borama,1101,Boorama,,3076.07927589,Borama,2
15,1,02,Northwest Agropastoral,02: West Golis Pastoral,10,Togdheer,13,Tog-dheer,Owdweyne,1303,Oodweyne,,8341.23549745,Owdweyne,2
19,2,03,Northwest Agropastoral,03: Northwest Agropastoral,1,Awdal,11,,Borama,1101,Boorama,,3076.07927589,Borama,2
29,4,05,Hawd Pastoral,05: Hawd Pastoral,9,Togdheer,13,Tog-dheer,Buuhoodle,1302,Buhodle,,6782.1837001,Buuhoodle,3
166,29,12,"Southern Agropastoral - Goat,Camel,Sorghum","12: Southern Agropastoral - Goat,Camel,Sorghum",60,Bakool,25,,Rab Dhuure,2505,"Yeed, Biyole",,3309.76800586,Rab Dhuure,3
93,13,10,Cowpea Belt,10: Cowpea Belt,30,Mudug,18,,Hobyo,1803,,,25541.6831828,Hobyo,3
132,23,11,"Southern Inland Pastoral – Camels, Goat/Sheep, Cattle","11: Southern Inland Pastoral – Camels, Goat/Sheep, Cattle",54,Bay,24,,Diinsoor,2403,"Dinsor, Diinsor","Bay region now includes Bardaale district (2405), but no boundary exists as yet for this district",9738.08839842,Diinsoor,2
138,23,11,"Southern Inland Pastoral – Camels, Goat/Sheep, Cattle","11: Southern Inland Pastoral – Camels, Goat/Sheep, Cattle",67,Juba Dhexe,27,"Middle Juba, Jubbada Dhexe",Bu'aale,2701,,,5494.49970777,Bu'aale,2
162,29,12,"Southern Agropastoral - Goat,Camel,Sorghum","12: Southern Agropastoral - Goat,Camel,Sorghum",56,Bakool,25,,Xudur,2501,Hudur,,5428.8994266,Xudur,3
150,25,12,"Southern Agropastoral - Goat,Camel,Sorghum","12: Southern Agropastoral - Goat,Camel,Sorghum",67,Juba Dhexe,27,"Middle Juba, Jubbada Dhexe",Bu'aale,2701,,,5494.49970777,Bu'aale,3
158,29,12,"Southern Agropastoral - Goat,Camel,Sorghum","12: Southern Agropastoral - Goat,Camel,Sorghum",38,Hiraan,20,Hiiraan,Belet Weyne,2001,Beled Weyne,"Hiraan region now includes Maxaas (2004) and Matabaan district (2005), but no boundary exists as yet for these districts",14866.4028164,Belet Weyne,3
173,30,12,"Southern Agropastoral - Goat,Camel,Sorghum","12: Southern Agropastoral - Goat,Camel,Sorghum",41,Shabelle Dhexe,21,"Middle Shabelle, Shabeellaha Dhexe",Jowhar,2101,Jawhar,"Shabelle Dhexe now includes Warsheikh (2105) and Mahaday (2106), but no boundary exists as yet for these districts",4633.74952726,Jowhar,2
191,34,14,Riverine gravity irrigation,14: Riverine gravity irrigation,70,Juba Hoose,28,"Lower Juba, Jubbada Hoose",Kismaayo,2801,Kismayo,,9237.88026761,Kismaayo,2
217,38,15,Sorghum High Potential Agropastoral,15: Sorghum High Potential Agropastoral,53,Bay,24,,Buur Hakaba,2402,"Buur Xakaba, Bur Hacaba","Bay region now includes Bardaale district (2405), but no boundary exists as yet for this district",18017.4725076,Buur Hakaba,4
220,38,15,Sorghum High Potential Agropastoral,15: Sorghum High Potential Agropastoral,61,Gedo,26,,Garbahaarey,2601,"Garbahaaray, Garbaharey","Gedo region now includes Buur Dhuubo district (2607), but no boundary exists as yet for this district",8329.40687525,Garbahaarey,3
225,39,16,Bay Bakool Low Potential Agropastoral,16: Bay Bakool Low Potential Agropastoral,39,Hiraan,20,Hiiraan,Bulo Burto,2002,"Bulo Barde, Buulo Burdo, Bula-brif, Bulo Burti","Hiraan region now includes Maxaas (2004) and Matabaan district (2005), but no boundary exists as yet for these districts",16042.8563223,Bulo Burto,2
226,39,16,Bay Bakool Low Potential Agropastoral,16: Bay Bakool Low Potential Agropastoral,50,Shabelle Hoose,23,"Lower Shabelle, Shabeellaha Hoose",Sablaale,2306,Sablale,"Shabelle Hoose now includes Aw Dheegle district (2308), but no boundary exists as yet for this district",5992.4764392,Sablaale,2
255,49,18,Juba Pastoral -  Cattle & Goats,18: Juba Pastoral -  Cattle & Goats,73,Juba Hoose,28,"Lower Juba, Jubbada Hoose",Jamaame,2804,Jamame,,2151.26291293,Jamaame,3
256,50,18,Juba Pastoral -  Cattle & Goats,18: Juba Pastoral -  Cattle & Goats,50,Shabelle Hoose,23,"Lower Shabelle, Shabeellaha Hoose",Sablaale,2306,Sablale,"Shabelle Hoose now includes Aw Dheegle district (2308), but no boundary exists as yet for this district",5992.4764392,Sablaale,2
260,51,19,Urban,19: Urban,43,Shabelle Dhexe,21,"Middle Shabelle, Shabeellaha Dhexe",Balcad,2103,Balad,"Shabelle Dhexe now includes Warsheikh (2105) and Mahaday (2106), but no boundary exists as yet for these districts",4229.44106984,Balcad,2
8,1,02,Northwest Agropastoral,02: West Golis Pastoral,2,Awdal,11,,Baki,1102,,,3424.03465892,Baki,2
9,1,02,Northwest Agropastoral,02: West Golis Pastoral,3,Awdal,11,,Lughaye,1103,,,3344.227838,Lughaye,2
