region_name,region_osm_id,district_name,district_osm_id,pop_2,pop_3,pop_4,pop_3_4,ipc_3_4,ipc_4_eme,ipc_3_cri,ipc_2_str,population
Awdal,R1720051,Baki,R1720075,0.34,0.18,0.01,0.19,312000,14000,298000,558000,1650228
Awdal,R1720051,Borama,R1720082,0.34,0.18,0.01,0.19,312000,14000,298000,558000,1650228
Awdal,R1720051,Lughaye,R1720122,0.34,0.18,0.01,0.19,312000,14000,298000,558000,1650228
Awdal,R1720051,Zeylac,R1720142,0.34,0.18,0.01,0.19,312000,14000,298000,558000,1650228
Bakool,R1720052,Ceel Barde,R1720096,0.24,0.23,0,0.23,83000,0,83000,88000,362921
Bakool,R1720052,Rab Dhuure,R1720131,0.24,0.23,0,0.23,83000,0,83000,88000,362921
Bakool,R1720052,Tayeeglow,R1720136,0.24,0.23,0,0.23,83000,0,83000,88000,362921
Bakool,R1720052,Waajid,R1720137,0.24,0.23,0,0.23,83000,0,83000,88000,362921
Bakool,R1720052,Xudur,R1720141,0.24,0.23,0,0.23,83000,0,83000,88000,362921
Banadir,R1720053,Banadir,R1720125,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Banadir,R1720053,Boondheere,R1720143,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Banadir,R1720053,Cabdlcasiis,R1720144,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Banadir,R1720053,Daynile,R1720145,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Banadir,R1720053,Dharkenley,R1720146,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Banadir,R1720053,Hawl Wadaag,R1720147,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Banadir,R1720053,Heliwa,R1720148,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Banadir,R1720053,Hodan,R1720149,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Banadir,R1720053,Karaan,R1720150,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Banadir,R1720053,Shangaani,R1720151,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Banadir,R1720053,Shibis,R1720152,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Banadir,R1720053,Waaberi,R1720153,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Banadir,R1720053,Wadajir,R1720154,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Banadir,R1720053,Wardhiigleey,R1720155,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Banadir,R1720053,Xamar JaabJab,R1720156,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Banadir,R1720053,Xamar Weyne,R1720157,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Banadir,R1720053,Yaaqshiid,R1720158,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Bari,R1720054,Bandarbeyla,R1720077,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Bari,R1720054,Bossaso,R1720083,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Bari,R1720054,Caluula,R1720093,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Bari,R1720054,Iskushuban,R1720112,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Bari,R1720054,Qandala,R1720127,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Bari,R1720054,Qardho,R1720129,0.2,0.12,0.02,0.14,92000,12000,80000,136000,673264
Bay,R1720055,Baydhaba,R1720074,0.18,0.31,0.16,0.47,171000,58000,113000,66000,367227
Bay,R1720055,Buur Hakaba,R1720089,0.18,0.31,0.16,0.47,171000,58000,113000,66000,367227
Bay,R1720055,Diinsoor,R1720101,0.18,0.31,0.16,0.47,171000,58000,113000,66000,367227
Bay,R1720055,Qansax Dheere,R1720128,0.18,0.31,0.16,0.47,171000,58000,113000,66000,367227
Galgaduud,R1720056,Cabudwaaq,R1720090,0.23,0.23,0.03,0.26,188000,19000,169000,167000,730147
Galgaduud,R1720056,Cadaado,R1720091,0.23,0.23,0.03,0.26,188000,19000,169000,167000,730147
Galgaduud,R1720056,Ceel Buur,R1720097,0.23,0.23,0.03,0.26,188000,19000,169000,167000,730147
Galgaduud,R1720056,Ceel Dheer,R1720098,0.23,0.23,0.03,0.26,188000,19000,169000,167000,730147
Galgaduud,R1720056,Dhuusamarreeb,R1720100,0.23,0.23,0.03,0.26,188000,19000,169000,167000,730147
Gedo,R1720057,Baardheere,R1720072,0.25,0.22,0.2,0.42,332000,160000,172000,199000,792182
Gedo,R1720057,Belet Xaawo,R1720080,0.25,0.22,0.2,0.42,332000,160000,172000,199000,792182
Gedo,R1720057,Ceel Waaq,R1720103,0.25,0.22,0.2,0.42,332000,160000,172000,199000,792182
Gedo,R1720057,Doolow,R1720102,0.25,0.22,0.2,0.42,332000,160000,172000,199000,792182
