district,district_id,proposed,current,gap,gap_perc,gap_perc_inv
Garowe,R1720109,26000,0,26000,100,0
Galkaacyo,R1720107,298708,18650,280058,94,6
Mogadishu,R1720125,8000,0,8000,100,0
Qardho,R1720129,19900,5861,14039,71,29
Eyl,R1720104,17650,6510,11140,63,37
Ceel Barde,R1720096,40895,3200,37695,92,8
Qandala,R1720127,15700,9600,6100,39,61
Xudur,R1720141,15090,4350,10740,71,29
Waajid,R1720137,21150,150,21000,99,1
Baidoa,R1720074,8300,3200,5100,61,39
Hobyo,R1720111,72160,3150,69010,96,4
Burtinle,R1720087,7000,0,7000,100,0
Belet Weyne,R1720079,167921,15292,152629,91,9
Belet Xaawo,R1720080,3730,3200,530,14,86
Doolow,R1720102,4200,2100,2100,50,50
Luuq,R1720123,4200,0,4200,100,0
Ceel Buur,R1720097,22300,2450,19850,89,11
Caluula,R1720093,88300,22130,66170,75,25
Afgooye,R1720070,37350,4750,32600,87,13
Wanle Weyne,R1720138,14125,1200,12925,92,8
Lughaye,R1720122,2800,3108,-308,-11,111
Ceerigaabo,R1720099,1800,2359,-559,-31,131
Borama,R1720082,0,2196,-2196,0,100
Jalalaqsi,R1720100,12000,0,12000,100,0
Galdogob,R1720077,7500,5067,2433,32,68
Iskushuban,R1720112,10500,7200,3300,31,69
Laasqoray,R1720121,10500,0,10500,100,0
