State,region,region_id,Estimated percentage of region used only for humanitarian operational purposes,total_population_unfpa_2014,total_displacements,perc_displaced,displaced_label,awd_cases_1-14,awd_deaths-1-14,meases_1-14,education_drinking_water_target,January,February,March,education_drinking_water_total,education_drinking_water_perc,ed_target_eoy_learning_materials,January,February,March,ed_learning_materials_total,ed_learning_materials_perc,ed_school_food_grants_eoy_target,January,February,March,ed_school_food_grants,ed_school_food_grants_perc,food_safety_march_target,January,February,food_safety_march_total,food_safety_march_perc,livelihood_assets_march_target,January,February,livelihood_assets_march_total,livelihood_assets_march_perc,livelihood_seasonal_inputs_season_target,August 2016 - January 2017 Cumulative,February,March,health_services_june_target,January,February,March,health_services_total,health_services_perc,January target,January,February Target,February,march_treatment_nutrition_target,march_nutrition_treatment_total,march_nutrition_treatment_perc,January target,January,February Target,February,nutrition_malnutrition_prev_march_target,nutrition_malnutrition_prev_march_total,nutrition_malnutrition_prev_march_perc,Target,January,February,March,protection_total,shelter_nfi_june_target,January,February,March,shelter_nfi_total,shelter_nfi_perc,shelter_target,January,February,March,shelter_total,shelter_perc,wash_sustained_water_target,January,February,March,wash_sustained_water_total,wash_sustained_water_perc,wash_temporary_water_target,January,February,March,wash_temporary_water_total,wash_temporary_water_perc,wash_sanitation_target,January,February,March,wash_sanitation_total,wash_sanitation_perc,wash_hygiene_target,January,February,March,wash_hygiene_total,wash_hygiene_perc
Galmudug,Galgaduud,R1720056,100%,569434,19319,3,19319 (3%),168,5,253,10452,,,1751,1751,17,10506,0,0,0,0,0,5828,0,0,0,0,0,141757,5546,44358,55349,39,100601,-,9692,1062,1,151666,123246,0,49374,38000,2259,3919,8245,14423,38,10978,1737,11429,6159,14614,19219,132,45112,0,45112,1250,45112,3500,8,,87,450,1028,1565,36000,0,0,0,0,0,9000,0,0,0,0,0,69348,5000,7650,15050,27700,40,115580,0,5000,17000,22000,19,27739,0,0,0,0,0,115580,0,19136,19136,38272,33
Hirshabelle,Hiraan,R1720058,100%,520686,27232,5,27232 (5%),299,3,447,21315,,,10063,10063,47,21426,0,0,9071,9071,42,11887,0,0,0,0,0,229076,15172,24405,78879,34,30763,5100,14226,11661,38,257192,190688,840,49432,70000,5145,5816,11866,22827,33,10565,2745,9498,6788,14056,10037,71,62481,0,62481,5700,62481,11025,18,,740,48,5074,5862,36000,0,0,3000,3000,8,18000,0,0,0,0,0,63411,0,1200,1200,2400,4,105685,13710,39700,214989,268399,254,25364,1386,0,0,1386,5,105685,138,138,138,414,0
Hirshabelle,Middle Shabelle,R1720062,100%,516035,1726,0,1726 (0%),"1,303",15,197,7784,,,1777,1777,23,7824,0,0,4120,4120,53,4341,0,0,0,0,0,71638,-,5508,15854,22,67141,-,288,5322,8,159573,60330,2640,41334,81000,3445,3874,10659,17978,22,9195,195,11074,7131,14846,6870,46,43550,0,43550,0,43550,4305,10,,110,1,0,111,24000,0,0,0,0,0,3000,0,0,0,0,0,62845,0,2600,5000,7600,12,104742,0,9830,17080,26910,26,25138,0,60,60,120,0,104742,0,250,9244,9494,9
Jubaland,Gedo,R1720057,100%,508403,18371,4,18371 (4%),"2,880",46,18,19941,,,0,0,0,20045,0,0,24323,24323,121,11121,0,0,1650,1650,15,89965,50953,67646,125296,139,80352,2868,7878,12276,15,129616,219105,0,77516,130000,4237,4643,8770,17650,14,14311,5526,11822,15866,20760,16630,80,61008,8555,61008,17340,61008,22664,37,,284,1471,411,2166,54000,180,1548,0,1728,3,18000,366,0,0,366,2,61915,11390,11390,11390,34170,55,103192,5000,20522,34914,60436,59,24766,0,0,0,0,0,103192,0,30904,31564,62468,61
Jubaland,Lower Juba,R1720059,100%,489307,11183,2,11183 (2%),714,6,151,10022,,,0,0,0,10074,0,0,2000,2000,20,5589,0,0,0,0,0,89239,61612,94385,111058,124,61762,14014,11454,16296,26,138032,174882,0,21888,105000,3832,4257,6610,14699,14,10810,4349,9576,4508,15202,12227,80,46966,4003,46966,4003,46966,20940,45,,4043,2809,3086,9938,54000,1080,0,14658,15738,29,6000,2400,0,0,2400,40,59590,13200,13200,45900,72300,121,99316,29319,33301,97633,160253,161,23836,6033,6033,14938,27004,113,99316,23184,29062,48592,100838,102
Jubaland,Middle Juba,R1720061,100%,362921,9574,3,9574 (3%),,,12,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83046,-,0,1446,2,43903,-,0,0,0,127486,-,0,0,39000,2947,3382,4134,10463,27,745,0,1242,2300,662,0,0,0,0,0,0,0,0,0,,169,511,392,1072,0,0,0,0,0,0,3000,0,0,0,0,0,44198,0,0,0,0,0,73663,0,0,0,0,0,17679,0,0,0,0,0,73663,0,0,0,0,0
Mugadishu,Banadir,R1720053,100%,1650228,126382,8,126382 (8%),"2,193",49,"1,419",14704,,,0,0,0,14781,0,0,0,0,0,8200,0,0,0,0,0,331214,80305,113127,174460,53,278924,2520,930,0,0,0,44154,0,1068,420000,43876,50113,62440,156429,37,44329,15065,39719,23593,59718,50258,84,131856,2100,131856,27604,131856,28598,22,,2365,5929,12703,20997,200000,0,0,2100,2100,1,120000,0,0,0,0,0,200971,5000,11250,84502,100752,50,334952,15000,25969,43419,84388,25,80388,3000,14419,20419,37838,47,334952,42753,169644,177803,390200,116
Puntland,Bari,R1720054,100%,730147,12862,2,12862 (2%),293,4,130,16145,,,3827,3827,24,16228,0,0,1153,1153,7,9003,0,0,0,0,0,193015,57067,168070,229692,119,83141,3076,9276,4614,6,171998,78450,0,36912,87000,4560,4973,6387,15920,18,17675,8164,18091,7395,24473,23238,95,87616,17373,87616,25628,87616,40771,47,,1576,2247,2611,6434,14000,2112,8820,300,11232,80,15000,0,0,0,0,0,87625,0,4600,13800,18400,21,146042,7469,62501,105029,174999,120,35050,0,0,0,0,0,146042,0,15564,15564,31128,21
Puntland,Nugaal,R1720064,100%,392698,2178,1,2178 (1%),"1,019",25,24,11315,,,7102,7102,63,11374,0,0,4612,4612,41,6310,0,0,0,0,0,117290,4713,26817,95370,81,43391,558,5598,1656,4,123177,59760,0,19794,76000,3438,4314,6731,14483,19,14972,5464,14811,6753,18560,14924,80,47122,2553,47122,13322,47122,17097,36,,94,1612,1220,2926,24000,0,2400,0,2400,10,6000,0,0,0,0,0,47824,0,0,0,0,0,79707,0,14090,25588,39678,50,19130,0,0,1200,1200,6,79707,0,0,1211,1211,2
Somaliland,Awdal,R1720051,100%,673264,8434,1,8434 (1%),,,13,12170,,,0,0,0,12233,0,0,0,0,0,6787,0,0,0,0,0,95707,14040,23472,38761,40,67887,15300,10014,2634,4,142451,93568,0,4632,50000,3867,3543,4853,12263,25,16187,6670,15031,6812,22771,13866,61,80790,12216,80790,12216,80790,15364,19,,2762,205,5100,8067,18000,0,0,0,0,0,0,0,0,0,0,0,81993,0,0,0,0,0,136655,0,0,0,0,0,32797,0,0,0,0,0,136655,0,0,0,0,0
