region_id,region,period,value,monthly_target,midyear_target,percent_target
R1720056,Galgaduud,January,0,5548,27739,0
R1720063,Mudug,January,0,6994,34970,0
R1720058,Hiraan,January,1386,5073,25364,27
R1720062,Shabelle Dhexe,January,0,5028,25138,0
R1720057,Gedo,January,0,4953,24766,0
R1720059,Juba Hoose,January,6033,4767,23836,127
R1720061,Juba Dhexe,January,0,3536,17679,0
R1720053,Banadir,January,3000,16078,80388,19
R1720054,Bari,January,0,7010,35050,0
R1720064,Nugaal,January,0,3826,19130,0
R1720065,Sanaag,January,0,5301,26506,0
R1720066,Sool,January,0,3190,15950,0
R1720051,Awdal,January,0,6559,32797,0
R1720067,Togdheer,January,0,7028,35140,0
R1720068,Woqooyi Galbeed,January,0,12100,60502,0
R1720052,Bakool,January,0,3578,17889,0
R1720055,Bay,January,2500,7718,38590,32
R1720060,Shabelle Hoose,January,0,11713,58564,0
R1720056,Galgaduud,February,0,5548,27739,0
R1720063,Mudug,February,600,6994,34970,9
R1720058,Hiraan,February,0,5073,25364,0
R1720062,Shabelle Dhexe,February,60,5028,25138,1
R1720057,Gedo,February,0,4953,24766,0
R1720059,Juba Hoose,February,0,4767,23836,0
R1720061,Juba Dhexe,February,0,3536,17679,0
R1720053,Banadir,February,10033,16078,80388,62
R1720054,Bari,February,0,7010,35050,0
R1720064,Nugaal,February,0,3826,19130,0
R1720065,Sanaag,February,0,5301,26506,0
R1720066,Sool,February,0,3190,15950,0
R1720051,Awdal,February,0,6559,32797,0
R1720067,Togdheer,February,0,7028,35140,0
R1720068,Woqooyi Galbeed,February,0,12100,60502,0
R1720052,Bakool,February,0,3578,17889,0
R1720055,Bay,February,12000,7718,38590,155
R1720060,Shabelle Hoose,February,324,11713,58564,3
R1720056,Galgaduud,March,0,5548,27739,0
R1720063,Mudug,March,9936,6994,34970,142
R1720058,Hiraan,March,0,5073,25364,0
R1720062,Shabelle Dhexe,March,0,5028,25138,0
R1720057,Gedo,March,0,4953,24766,0
R1720059,Juba Hoose,March,8905,4767,23836,187
R1720061,Juba Dhexe,March,0,3536,17679,0
R1720053,Banadir,March,6000,16078,80388,37
R1720054,Bari,March,0,7010,35050,0
R1720064,Nugaal,March,1200,3826,19130,31
R1720065,Sanaag,March,0,5301,26506,0
R1720066,Sool,March,0,3190,15950,0
R1720051,Awdal,March,0,6559,32797,0
R1720067,Togdheer,March,0,7028,35140,0
R1720068,Woqooyi Galbeed,March,1518,12100,60502,13
R1720052,Bakool,March,0,3578,17889,0
R1720055,Bay,March,13790,7718,38590,179
R1720060,Shabelle Hoose,March,0,11713,58564,0
R1720056,Galgaduud,April,0,5548,27739,0
R1720063,Mudug,April,4311,6994,34970,62
R1720058,Hiraan,April,8300,5073,25364,164
R1720062,Shabelle Dhexe,April,1020,5028,25138,20
R1720057,Gedo,April,8499,4953,24766,172
R1720059,Juba Hoose,April,27155,4767,23836,570
R1720061,Juba Dhexe,April,0,3536,17679,0
R1720053,Banadir,April,39732,16078,80388,247
R1720054,Bari,April,5800,7010,35050,83
R1720064,Nugaal,April,1241,3826,19130,32
R1720065,Sanaag,April,0,5301,26506,0
R1720066,Sool,April,2000,3190,15950,63
R1720051,Awdal,April,0,6559,32797,0
R1720067,Togdheer,April,1400,7028,35140,20
R1720068,Woqooyi Galbeed,April,282,12100,60502,2
R1720052,Bakool,April,2174,3578,17889,61
R1720055,Bay,April,59945,7718,38590,777
R1720060,Shabelle Hoose,April,3698,11713,58564,32
