region_id,region,period,value,monthly_target,midyear_target,percent_target
R1720056,Galgaduud,January,0,23116,115580,0
R1720063,Mudug,January,2222,29141,145707,8
R1720058,Hiraan,January,138,21137,105685,1
R1720062,Shabelle Dhexe,January,0,20948,104742,0
R1720057,Gedo,January,0,20638,103192,0
R1720059,Juba Hoose,January,23184,19863,99316,117
R1720061,Juba Dhexe,January,0,14733,73663,0
R1720053,Banadir,January,42753,66990,334952,64
R1720054,Bari,January,0,29208,146042,0
R1720064,Nugaal,January,0,15941,79707,0
R1720065,Sanaag,January,0,22088,110442,0
R1720066,Sool,January,0,13292,66459,0
R1720051,Awdal,January,0,27331,136655,0
R1720067,Togdheer,January,0,29283,146417,0
R1720068,Woqooyi Galbeed,January,0,50419,252093,0
R1720052,Bakool,January,0,14907,74537,0
R1720055,Bay,January,0,32158,160791,0
R1720060,Shabelle Hoose,January,150,48804,244018,0
R1720056,Galgaduud,February,19136,23116,115580,83
R1720063,Mudug,February,120,29141,145707,0
R1720058,Hiraan,February,0,21137,105685,0
R1720062,Shabelle Dhexe,February,250,20948,104742,1
R1720057,Gedo,February,30904,20638,103192,150
R1720059,Juba Hoose,February,5878,19863,99316,30
R1720061,Juba Dhexe,February,0,14733,73663,0
R1720053,Banadir,February,126891,66990,334952,189
R1720054,Bari,February,15564,29208,146042,53
R1720064,Nugaal,February,0,15941,79707,0
R1720065,Sanaag,February,1278,22088,110442,6
R1720066,Sool,February,28956,13292,66459,218
R1720051,Awdal,February,0,27331,136655,0
R1720067,Togdheer,February,0,29283,146417,0
R1720068,Woqooyi Galbeed,February,4590,50419,252093,9
R1720052,Bakool,February,0,14907,74537,0
R1720055,Bay,February,97124,32158,160791,302
R1720060,Shabelle Hoose,February,98748,48804,244018,202
R1720056,Galgaduud,March,0,23116,115580,0
R1720063,Mudug,March,18776,29141,145707,64
R1720058,Hiraan,March,0,21137,105685,0
R1720062,Shabelle Dhexe,March,8994,20948,104742,43
R1720057,Gedo,March,660,20638,103192,3
R1720059,Juba Hoose,March,19530,19863,99316,98
R1720061,Juba Dhexe,March,0,14733,73663,0
R1720053,Banadir,March,8159,66990,334952,12
R1720054,Bari,March,0,29208,146042,0
R1720064,Nugaal,March,1211,15941,79707,8
R1720065,Sanaag,March,0,22088,110442,0
R1720066,Sool,March,40,13292,66459,0
R1720051,Awdal,March,0,27331,136655,0
R1720067,Togdheer,March,0,29283,146417,0
R1720068,Woqooyi Galbeed,March,1518,50419,252093,3
R1720052,Bakool,March,3261,14907,74537,22
R1720055,Bay,March,29311,32158,160791,91
R1720060,Shabelle Hoose,March,9500,48804,244018,19
R1720056,Galgaduud,April,0,23116,115580,0
R1720063,Mudug,April,11566,29141,145707,40
R1720058,Hiraan,April,41330,21137,105685,196
R1720062,Shabelle Dhexe,April,13237,20948,104742,63
R1720057,Gedo,April,49655,20638,103192,241
R1720059,Juba Hoose,April,120568,19863,99316,607
R1720061,Juba Dhexe,April,0,14733,73663,0
R1720053,Banadir,April,87666,66990,334952,131
R1720054,Bari,April,45042,29208,146042,154
R1720064,Nugaal,April,0,15941,79707,0
R1720065,Sanaag,April,1800,22088,110442,8
R1720066,Sool,April,8000,13292,66459,60
R1720051,Awdal,April,0,27331,136655,0
R1720067,Togdheer,April,5000,29283,146417,17
R1720068,Woqooyi Galbeed,April,3072,50419,252093,6
R1720052,Bakool,April,139,14907,74537,1
R1720055,Bay,April,97843,32158,160791,304
R1720060,Shabelle Hoose,April,17412,48804,244018,36
