region_id,region,period,value,target
R1720056,Galgaduud,January,87,0
R1720063,Mudug,January,1809,0
R1720058,Hiraan,January,740,0
R1720062,Shabelle Dhexe,January,110,0
R1720057,Gedo,January,284,0
R1720059,Juba Hoose,January,4043,0
R1720061,Juba Dhexe,January,169,0
R1720053,Banadir,January,2365,0
R1720054,Bari,January,1576,0
R1720064,Nugaal,January,94,0
R1720065,Sanaag,January,379,0
R1720066,Sool,January,0,0
R1720051,Awdal,January,2762,0
R1720067,Togdheer,January,478,0
R1720068,Woqooyi Galbeed,January,2331,0
R1720052,Bakool,January,23682,0
R1720055,Bay,January,20548,0
R1720060,Shabelle Hoose,January,341,0
R1720056,Galgaduud,February,450,0
R1720063,Mudug,February,304,0
R1720058,Hiraan,February,48,0
R1720062,Shabelle Dhexe,February,1,0
R1720057,Gedo,February,1471,0
R1720059,Juba Hoose,February,2809,0
R1720061,Juba Dhexe,February,511,0
R1720053,Banadir,February,5929,0
R1720054,Bari,February,2247,0
R1720064,Nugaal,February,1612,0
R1720065,Sanaag,February,71,0
R1720066,Sool,February,0,0
R1720051,Awdal,February,205,0
R1720067,Togdheer,February,832,0
R1720068,Woqooyi Galbeed,February,2087,0
R1720052,Bakool,February,1067,0
R1720055,Bay,February,4008,0
R1720060,Shabelle Hoose,February,124,0
R1720056,Galgaduud,March,1028,0
R1720063,Mudug,March,3631,0
R1720058,Hiraan,March,5074,0
R1720062,Shabelle Dhexe,March,0,0
R1720057,Gedo,March,411,0
R1720059,Juba Hoose,March,3086,0
R1720061,Juba Dhexe,March,392,0
R1720053,Banadir,March,12703,0
R1720054,Bari,March,2611,0
R1720064,Nugaal,March,1220,0
R1720065,Sanaag,March,0,0
R1720066,Sool,March,1315,0
R1720051,Awdal,March,5100,0
R1720067,Togdheer,March,49,0
R1720068,Woqooyi Galbeed,March,3457,0
R1720052,Bakool,March,1341,0
R1720055,Bay,March,5146,0
R1720060,Shabelle Hoose,March,208,0
R1720056,Galgaduud,April,563,0
R1720063,Mudug,April,1295,0
R1720058,Hiraan,April,2757,0
R1720062,Shabelle Dhexe,April,9,0
R1720057,Gedo,April,129,0
R1720059,Juba Hoose,April,5427,0
R1720061,Juba Dhexe,April,699,0
R1720053,Banadir,April,7912,0
R1720054,Bari,April,819,0
R1720064,Nugaal,April,222,0
R1720065,Sanaag,April,821,0
R1720066,Sool,April,30,0
R1720051,Awdal,April,1474,0
R1720067,Togdheer,April,3568,0
R1720068,Woqooyi Galbeed,April,2926,0
R1720052,Bakool,April,1425,0
R1720055,Bay,April,4309,0
R1720060,Shabelle Hoose,April,264,0
