region_id,region,period,value,monthly_target,percent_target
R1720056,Galgaduud,January,0,45112,0
R1720063,Mudug,January,5232,115999,5
R1720058,Hiraan,January,0,62481,0
R1720062,Shabelle Dhexe,January,0,43550,0
R1720057,Gedo,January,8555,61008,14
R1720059,Juba Hoose,January,4003,46966,9
R1720061,Juba Dhexe,January,0,0,0
R1720053,Banadir,January,2100,131856,2
R1720054,Bari,January,17373,87616,20
R1720064,Nugaal,January,2553,47122,5
R1720065,Sanaag,January,3605,105312,3
R1720066,Sool,January,4831,98337,5
R1720051,Awdal,January,12216,80790,15
R1720067,Togdheer,January,11380,86563,13
R1720068,Woqooyi Galbeed,January,21886,149040,15
R1720052,Bakool,January,0,44067,0
R1720055,Bay,January,3761,58872,6
R1720060,Shabelle Hoose,January,0,42202,0
R1720056,Galgaduud,February,1250,45112,3
R1720063,Mudug,February,11190,115999,10
R1720058,Hiraan,February,5700,62481,9
R1720062,Shabelle Dhexe,February,0,43550,0
R1720057,Gedo,February,17340,61008,28
R1720059,Juba Hoose,February,4003,46966,9
R1720061,Juba Dhexe,February,0,0,0
R1720053,Banadir,February,27604,131856,21
R1720054,Bari,February,25628,87616,29
R1720064,Nugaal,February,13322,47122,28
R1720065,Sanaag,February,11678,105312,11
R1720066,Sool,February,12171,110296,11
R1720051,Awdal,February,12216,80790,15
R1720067,Togdheer,February,20554,86563,24
R1720068,Woqooyi Galbeed,February,21896,149040,15
R1720052,Bakool,February,7007,44067,16
R1720055,Bay,February,7500,58872,13
R1720060,Shabelle Hoose,February,0,42202,0
R1720056,Galgaduud,March,3500,45112,8
R1720063,Mudug,March,33555,132536,25
R1720058,Hiraan,March,11025,62481,18
R1720062,Shabelle Dhexe,March,4305,43550,10
R1720057,Gedo,March,22664,61008,37
R1720059,Juba Hoose,March,20940,46966,45
R1720061,Juba Dhexe,March,0,0,0
R1720053,Banadir,March,28598,131856,22
R1720054,Bari,March,40771,87616,47
R1720064,Nugaal,March,17097,47122,36
R1720065,Sanaag,March,25720,115278,22
R1720066,Sool,March,25628,76394,34
R1720051,Awdal,March,15364,80790,19
R1720067,Togdheer,March,24121,86563,28
R1720068,Woqooyi Galbeed,March,23755,149040,16
R1720052,Bakool,March,8095,44067,18
R1720055,Bay,March,9000,58872,15
R1720060,Shabelle Hoose,March,3526,42202,8
R1720056,Galgaduud,April,13500,68332,20
R1720063,Mudug,April,35877,86143,42
R1720058,Hiraan,April,11912,62481,19
R1720062,Shabelle Dhexe,April,14374,144265,10
R1720057,Gedo,April,25748,61008,42
R1720059,Juba Hoose,April,24936,58716,42
R1720061,Juba Dhexe,April,0,43550,0
R1720053,Banadir,April,58650,156771,37
R1720054,Bari,April,38955,87616,44
R1720064,Nugaal,April,19133,47123,41
R1720065,Sanaag,April,29470,59322,50
R1720066,Sool,April,25966,37452,69
R1720051,Awdal,April,18385,80790,23
R1720067,Togdheer,April,15337,86563,18
R1720068,Woqooyi Galbeed,April,22930,149040,15
R1720052,Bakool,April,12940,44067,29
R1720055,Bay,April,11560,95061,12
R1720060,Shabelle Hoose,April,18754,61923,30
