region_id,region,period,value,monthly_target,percent_target
R1720056,Galgaduud,January,1737,10978,16
R1720063,Mudug,January,4900,34712,14
R1720058,Hiraan,January,2745,10565,26
R1720062,Shabelle Dhexe,January,195,9195,2
R1720057,Gedo,January,5526,14311,39
R1720059,Juba Hoose,January,4349,10810,40
R1720061,Juba Dhexe,January,0,745,0
R1720053,Banadir,January,15065,44329,34
R1720054,Bari,January,8164,17675,46
R1720064,Nugaal,January,5464,14972,36
R1720065,Sanaag,January,2794,26743,10
R1720066,Sool,January,2866,35901,8
R1720051,Awdal,January,6670,16187,41
R1720067,Togdheer,January,5843,16600,35
R1720068,Woqooyi Galbeed,January,10826,27223,40
R1720052,Bakool,January,5751,11804,49
R1720055,Bay,January,2711,12004,23
R1720060,Shabelle Hoose,January,6997,32026,22
R1720056,Galgaduud,February,6159,11429,54
R1720063,Mudug,February,13367,50736,26
R1720058,Hiraan,February,6788,9498,71
R1720062,Shabelle Dhexe,February,7131,11074,64
R1720057,Gedo,February,15866,11822,134
R1720059,Juba Hoose,February,4508,9576,47
R1720061,Juba Dhexe,February,2300,1242,185
R1720053,Banadir,February,23593,39719,59
R1720054,Bari,February,7395,18091,41
R1720064,Nugaal,February,6753,14811,46
R1720065,Sanaag,February,5049,38571,13
R1720066,Sool,February,2906,38732,8
R1720051,Awdal,February,6812,15031,45
R1720067,Togdheer,February,5857,15501,38
R1720068,Woqooyi Galbeed,February,10871,27391,40
R1720052,Bakool,February,11352,7465,152
R1720055,Bay,February,9406,12417,76
R1720060,Shabelle Hoose,February,16187,29313,55
R1720056,Galgaduud,March,19219,14614,132
R1720063,Mudug,March,34251,50515,68
R1720058,Hiraan,March,10037,14056,71
R1720062,Shabelle Dhexe,March,6870,14846,46
R1720057,Gedo,March,16630,20760,80
R1720059,Juba Hoose,March,12227,15202,80
R1720061,Juba Dhexe,March,0,662,0
R1720053,Banadir,March,50258,59718,84
R1720054,Bari,March,23238,24473,95
R1720064,Nugaal,March,14924,18560,80
R1720065,Sanaag,March,18125,38930,47
R1720066,Sool,March,17643,27342,65
R1720051,Awdal,March,13866,22771,61
R1720067,Togdheer,March,20302,24187,84
R1720068,Woqooyi Galbeed,March,22996,39400,58
R1720052,Bakool,March,13734,15600,88
R1720055,Bay,March,10699,17729,60
R1720060,Shabelle Hoose,March,24255,41799,58
R1720056,Galgaduud,April,18537,14664,126
R1720063,Mudug,April,27190,36391,75
R1720058,Hiraan,April,9296,14173,66
R1720062,Shabelle Dhexe,April,13110,14700,89
R1720057,Gedo,April,16211,21475,75
R1720059,Juba Hoose,April,13101,15505,84
R1720061,Juba Dhexe,April,1875,2410,78
R1720053,Banadir,April,54979,60297,91
R1720054,Bari,April,36016,24685,146
R1720064,Nugaal,April,22867,19050,120
R1720065,Sanaag,April,11706,18975,62
R1720066,Sool,April,16852,11528,146
R1720051,Awdal,April,12376,22834,54
R1720067,Togdheer,April,12383,24078,51
R1720068,Woqooyi Galbeed,April,18438,39298,47
R1720052,Bakool,April,13926,15999,87
R1720055,Bay,April,9664,18201,53
R1720060,Shabelle Hoose,April,30855,42920,72
