region_id,region,period,value,endyear_target,percent_target
R1720056,Galgaduud,January,0,5828,0
R1720063,Mudug,January,0,3598,0
R1720058,Hiraan,January,0,11887,0
R1720062,Shabelle Dhexe,January,0,4341,0
R1720057,Gedo,January,0,11121,0
R1720059,Juba Hoose,January,0,5589,0
R1720061,Juba Dhexe,January,0,0,0
R1720053,Banadir,January,0,8200,0
R1720054,Bari,January,0,9003,0
R1720064,Nugaal,January,0,6310,0
R1720065,Sanaag,January,0,6983,0
R1720066,Sool,January,0,6557,0
R1720051,Awdal,January,0,6787,0
R1720067,Togdheer,January,0,7839,0
R1720068,Woqooyi Galbeed,January,0,1658,0
R1720052,Bakool,January,0,5363,0
R1720055,Bay,January,0,11242,0
R1720060,Shabelle Hoose,January,0,5201,0
R1720056,Galgaduud,February,0,5828,0
R1720063,Mudug,February,0,3598,0
R1720058,Hiraan,February,0,11887,0
R1720062,Shabelle Dhexe,February,0,4341,0
R1720057,Gedo,February,0,11121,0
R1720059,Juba Hoose,February,0,5589,0
R1720061,Juba Dhexe,February,0,0,0
R1720053,Banadir,February,0,8200,0
R1720054,Bari,February,0,9003,0
R1720064,Nugaal,February,0,6310,0
R1720065,Sanaag,February,0,6983,0
R1720066,Sool,February,0,6557,0
R1720051,Awdal,February,0,6787,0
R1720067,Togdheer,February,0,7839,0
R1720068,Woqooyi Galbeed,February,0,1658,0
R1720052,Bakool,February,0,5363,0
R1720055,Bay,February,0,11242,0
R1720060,Shabelle Hoose,February,0,5201,0
R1720056,Galgaduud,March,0,5828,0
R1720063,Mudug,March,3795,3598,105
R1720058,Hiraan,March,0,11887,0
R1720062,Shabelle Dhexe,March,0,4341,0
R1720057,Gedo,March,1650,11121,15
R1720059,Juba Hoose,March,0,5589,0
R1720061,Juba Dhexe,March,0,0,0
R1720053,Banadir,March,0,8200,0
R1720054,Bari,March,0,9003,0
R1720064,Nugaal,March,0,6310,0
R1720065,Sanaag,March,0,6983,0
R1720066,Sool,March,0,6557,0
R1720051,Awdal,March,0,6787,0
R1720067,Togdheer,March,0,7839,0
R1720068,Woqooyi Galbeed,March,0,1658,0
R1720052,Bakool,March,0,5363,0
R1720055,Bay,March,2540,11242,23
R1720060,Shabelle Hoose,March,0,5201,0
R1720056,Galgaduud,April,0,5828,0
R1720063,Mudug,April,3795,3598,105
R1720058,Hiraan,April,0,11887,0
R1720062,Shabelle Dhexe,April,0,4341,0
R1720057,Gedo,April,1651,11121,15
R1720059,Juba Hoose,April,3286,5589,59
R1720061,Juba Dhexe,April,0,0,0
R1720053,Banadir,April,0,8200,0
R1720054,Bari,April,1487,9003,17
R1720064,Nugaal,April,2904,6310,46
R1720065,Sanaag,April,0,6983,0
R1720066,Sool,April,0,6557,0
R1720051,Awdal,April,1835,6787,27
R1720067,Togdheer,April,404,7839,5
R1720068,Woqooyi Galbeed,April,1077,1658,65
R1720052,Bakool,April,0,5363,0
R1720055,Bay,April,1196,11242,11
R1720060,Shabelle Hoose,April,0,5201,0
