region_id,region,period,value,monthly_target,percent_target
R1720056,Galgaduud,January,0,6000,0
R1720063,Mudug,January,2976,26947,11
R1720058,Hiraan,January,0,6000,0
R1720062,Shabelle Dhexe,January,0,4000,0
R1720057,Gedo,January,180,9000,2
R1720059,Juba Hoose,January,1080,9000,12
R1720061,Juba Dhexe,January,0,0,0
R1720053,Banadir,January,0,33333,0
R1720054,Bari,January,2112,2333,91
R1720064,Nugaal,January,0,4000,0
R1720065,Sanaag,January,0,14733,0
R1720066,Sool,January,0,16933,0
R1720051,Awdal,January,0,3000,0
R1720067,Togdheer,January,0,3000,0
R1720068,Woqooyi Galbeed,January,0,3000,0
R1720052,Bakool,January,0,4333,0
R1720055,Bay,January,0,10000,0
R1720060,Shabelle Hoose,January,0,6333,0
R1720056,Galgaduud,February,0,6000,0
R1720063,Mudug,February,21000,26947,78
R1720058,Hiraan,February,0,6000,0
R1720062,Shabelle Dhexe,February,0,4000,0
R1720057,Gedo,February,1548,9000,17
R1720059,Juba Hoose,February,0,9000,0
R1720061,Juba Dhexe,February,0,0,0
R1720053,Banadir,February,0,33333,0
R1720054,Bari,February,8820,2333,378
R1720064,Nugaal,February,2400,4000,60
R1720065,Sanaag,February,13416,14733,91
R1720066,Sool,February,5280,16933,31
R1720051,Awdal,February,0,3000,0
R1720067,Togdheer,February,0,3000,0
R1720068,Woqooyi Galbeed,February,0,3000,0
R1720052,Bakool,February,0,4333,0
R1720055,Bay,February,0,10000,0
R1720060,Shabelle Hoose,February,0,6333,0
R1720056,Galgaduud,March,0,6000,0
R1720063,Mudug,March,0,26947,0
R1720058,Hiraan,March,3000,6000,50
R1720062,Shabelle Dhexe,March,0,4000,0
R1720057,Gedo,March,0,9000,0
R1720059,Juba Hoose,March,14658,9000,163
R1720061,Juba Dhexe,March,0,0,0
R1720053,Banadir,March,2100,33333,6
R1720054,Bari,March,300,2333,13
R1720064,Nugaal,March,0,4000,0
R1720065,Sanaag,March,0,14733,0
R1720066,Sool,March,0,4773,0
R1720051,Awdal,March,0,3000,0
R1720067,Togdheer,March,0,3000,0
R1720068,Woqooyi Galbeed,March,0,3000,0
R1720052,Bakool,March,0,4333,0
R1720055,Bay,March,3000,10000,30
R1720060,Shabelle Hoose,March,0,6333,0
R1720056,Galgaduud,April,0,6000,0
R1720063,Mudug,April,0,8000,0
R1720058,Hiraan,April,0,6000,0
R1720062,Shabelle Dhexe,April,0,4000,0
R1720057,Gedo,April,12,9000,0
R1720059,Juba Hoose,April,0,9000,0
R1720061,Juba Dhexe,April,0,0,0
R1720053,Banadir,April,0,33333,0
R1720054,Bari,April,876,2333,38
R1720064,Nugaal,April,0,4000,0
R1720065,Sanaag,April,0,2333,0
R1720066,Sool,April,0,3000,0
R1720051,Awdal,April,0,3000,0
R1720067,Togdheer,April,0,3000,0
R1720068,Woqooyi Galbeed,April,0,3000,0
R1720052,Bakool,April,0,4333,0
R1720055,Bay,April,20868,10000,209
R1720060,Shabelle Hoose,April,0,6333,0
