region_id,region,period,value,monthly_target,midyear_target,percent_target
R1720056,Galgaduud,January,5000,13870,69348,36
R1720063,Mudug,January,9811,17485,87424,56
R1720058,Hiraan,January,0,12682,63411,0
R1720062,Shabelle Dhexe,January,0,12569,62845,0
R1720057,Gedo,January,11390,12383,61915,92
R1720059,Juba Hoose,January,13200,11918,59590,111
R1720061,Juba Dhexe,January,0,8840,44198,0
R1720053,Banadir,January,5000,40194,200971,12
R1720054,Bari,January,0,17525,87625,0
R1720064,Nugaal,January,0,9565,47824,0
R1720065,Sanaag,January,1200,13253,66265,9
R1720066,Sool,January,20000,7975,39875,251
R1720051,Awdal,January,0,16399,81993,0
R1720067,Togdheer,January,0,17570,87850,0
R1720068,Woqooyi Galbeed,January,0,30251,151256,0
R1720052,Bakool,January,0,8944,44722,0
R1720055,Bay,January,2000,19295,96475,10
R1720060,Shabelle Hoose,January,0,29282,146411,0
R1720056,Galgaduud,February,7650,13870,69348,55
R1720063,Mudug,February,14811,17485,87424,85
R1720058,Hiraan,February,1200,12682,63411,9
R1720062,Shabelle Dhexe,February,2600,12569,62845,21
R1720057,Gedo,February,11390,12383,61915,92
R1720059,Juba Hoose,February,13200,11918,59590,111
R1720061,Juba Dhexe,February,0,8840,44198,0
R1720053,Banadir,February,11250,40194,200971,28
R1720054,Bari,February,4600,17525,87625,26
R1720064,Nugaal,February,0,9565,47824,0
R1720065,Sanaag,February,1200,13253,66265,9
R1720066,Sool,February,20000,7975,39875,251
R1720051,Awdal,February,0,16399,81993,0
R1720067,Togdheer,February,0,17570,87850,0
R1720068,Woqooyi Galbeed,February,0,30251,151256,0
R1720052,Bakool,February,0,8944,44722,0
R1720055,Bay,February,2000,19295,96475,10
R1720060,Shabelle Hoose,February,0,29282,146411,0
R1720056,Galgaduud,March,15050,13870,69348,109
R1720063,Mudug,March,26411,17485,87424,151
R1720058,Hiraan,March,1200,12682,63411,9
R1720062,Shabelle Dhexe,March,5000,12569,62845,40
R1720057,Gedo,March,11390,12383,61915,92
R1720059,Juba Hoose,March,45900,11918,59590,385
R1720061,Juba Dhexe,March,0,8840,44198,0
R1720053,Banadir,March,84502,40194,200971,210
R1720054,Bari,March,13800,17525,87625,79
R1720064,Nugaal,March,0,9565,47824,0
R1720065,Sanaag,March,2400,13253,66265,18
R1720066,Sool,March,25800,7975,39875,324
R1720051,Awdal,March,0,16399,81993,0
R1720067,Togdheer,March,0,17570,87850,0
R1720068,Woqooyi Galbeed,March,1518,30251,151256,5
R1720052,Bakool,March,0,8944,44722,0
R1720055,Bay,March,25266,19295,96475,131
R1720060,Shabelle Hoose,March,400,29282,146411,1
R1720056,Galgaduud,April,0,13870,69348,0
R1720063,Mudug,April,37226,17485,87424,213
R1720058,Hiraan,April,10450,12682,63411,82
R1720062,Shabelle Dhexe,April,1600,12569,62845,13
R1720057,Gedo,April,4300,12383,61915,35
R1720059,Juba Hoose,April,2600,11918,59590,22
R1720061,Juba Dhexe,April,0,8840,44198,0
R1720053,Banadir,April,13000,40194,200971,32
R1720054,Bari,April,30341,17525,87625,173
R1720064,Nugaal,April,46693,9565,47824,488
R1720065,Sanaag,April,20000,13253,66265,151
R1720066,Sool,April,22923,7975,39875,287
R1720051,Awdal,April,0,16399,81993,0
R1720067,Togdheer,April,0,17570,87850,0
R1720068,Woqooyi Galbeed,April,1518,30251,151256,5
R1720052,Bakool,April,0,8944,44722,0
R1720055,Bay,April,19844,19295,96475,103
R1720060,Shabelle Hoose,April,1600,29282,146411,5
