region_id,region,period,value,monthly_target,midyear_target,percent_target
R1720056,Galgaduud,January,0,3850,23100,0
R1720063,Mudug,January,0,5150,30900,0
R1720058,Hiraan,January,0,3850,23100,0
R1720062,Shabelle Dhexe,January,0,2567,15400,0
R1720057,Gedo,January,0,5783,34700,0
R1720059,Juba Hoose,January,1800,5783,34700,31
R1720061,Juba Dhexe,January,0,0,0,0
R1720053,Banadir,January,0,21433,128600,0
R1720054,Bari,January,0,1500,9000,0
R1720064,Nugaal,January,0,2567,15400,0
R1720065,Sanaag,January,0,1500,9000,0
R1720066,Sool,January,0,1933,11600,0
R1720051,Awdal,January,0,1933,11600,0
R1720067,Togdheer,January,0,1933,11600,0
R1720068,Woqooyi Galbeed,January,0,1933,11600,0
R1720052,Bakool,January,0,2783,16700,0
R1720055,Bay,January,0,6433,38600,0
R1720060,Shabelle Hoose,January,0,4067,24400,0
R1720056,Galgaduud,February,0,3850,23100,0
R1720063,Mudug,February,0,5150,30900,0
R1720058,Hiraan,February,0,3850,23100,0
R1720062,Shabelle Dhexe,February,0,2567,15400,0
R1720057,Gedo,February,0,5783,34700,0
R1720059,Juba Hoose,February,0,5783,34700,0
R1720061,Juba Dhexe,February,0,0,0,0
R1720053,Banadir,February,0,21433,128600,0
R1720054,Bari,February,0,1500,9000,0
R1720064,Nugaal,February,0,2567,15400,0
R1720065,Sanaag,February,0,1500,9000,0
R1720066,Sool,February,0,1933,11600,0
R1720051,Awdal,February,0,1933,11600,0
R1720067,Togdheer,February,0,1933,11600,0
R1720068,Woqooyi Galbeed,February,0,1933,11600,0
R1720052,Bakool,February,0,2783,16700,0
R1720055,Bay,February,0,6433,38600,0
R1720060,Shabelle Hoose,February,0,4067,24400,0
R1720056,Galgaduud,March,0,3850,23100,0
R1720063,Mudug,March,0,5150,30900,0
R1720058,Hiraan,March,0,3850,23100,0
R1720062,Shabelle Dhexe,March,0,2567,15400,0
R1720057,Gedo,March,0,5783,34700,0
R1720059,Juba Hoose,March,0,5783,34700,0
R1720061,Juba Dhexe,March,0,0,0,0
R1720053,Banadir,March,3840,21433,128600,18
R1720054,Bari,March,0,1500,9000,0
R1720064,Nugaal,March,0,2567,15400,0
R1720065,Sanaag,March,0,1500,9000,0
R1720066,Sool,March,0,1933,11600,0
R1720051,Awdal,March,0,1933,11600,0
R1720067,Togdheer,March,0,1933,11600,0
R1720068,Woqooyi Galbeed,March,0,1933,11600,0
R1720052,Bakool,March,0,2783,16700,0
R1720055,Bay,March,0,6433,38600,0
R1720060,Shabelle Hoose,March,0,4067,24400,0
R1720056,Galgaduud,April,0,3850,23100,0
R1720063,Mudug,April,0,5150,30900,0
R1720058,Hiraan,April,0,3850,23100,0
R1720062,Shabelle Dhexe,April,0,2567,15400,0
R1720057,Gedo,April,0,5783,34700,0
R1720059,Juba Hoose,April,0,5783,34700,0
R1720061,Juba Dhexe,April,0,0,0,0
R1720053,Banadir,April,0,21433,128600,0
R1720054,Bari,April,0,1500,9000,0
R1720064,Nugaal,April,0,2567,15400,0
R1720065,Sanaag,April,0,1500,9000,0
R1720066,Sool,April,0,1933,11600,0
R1720051,Awdal,April,0,1933,11600,0
R1720067,Togdheer,April,0,1933,11600,0
R1720068,Woqooyi Galbeed,April,0,1933,11600,0
R1720052,Bakool,April,0,2783,16700,0
R1720055,Bay,April,0,6433,38600,0
R1720060,Shabelle Hoose,April,0,4067,24400,0
