region_id,region,period,value,monthly_target,midyear_target,percent_target
R1720056,Galgaduud,January,2259,11250,38000,20
R1720063,Mudug,January,2673,64883,346440,4
R1720058,Hiraan,January,5145,11667,70000,44
R1720062,Shabelle Dhexe,January,3445,15167,81000,23
R1720057,Gedo,January,4237,25000,130000,17
R1720059,Juba Hoose,January,3832,17500,105000,22
R1720061,Juba Dhexe,January,2947,5417,39000,54
R1720053,Banadir,January,43876,79167,420000,55
R1720054,Bari,January,4560,12917,87000,35
R1720064,Nugaal,January,3438,13333,76000,26
R1720065,Sanaag,January,3871,39417,220200,10
R1720066,Sool,January,3935,43167,236400,9
R1720051,Awdal,January,0,7750,50000,0
R1720067,Togdheer,January,3876,10000,70000,39
R1720068,Woqooyi Galbeed,January,4108,18417,132000,22
R1720052,Bakool,January,2620,15500,40000,17
R1720055,Bay,January,3924,31667,110000,12
R1720060,Shabelle Hoose,January,5578,34000,204000,16
R1720056,Galgaduud,February,3919,11250,38000,35
R1720063,Mudug,February,4207,64883,346440,6
R1720058,Hiraan,February,5816,11667,70000,50
R1720062,Shabelle Dhexe,February,3874,15167,81000,26
R1720057,Gedo,February,4643,25000,130000,19
R1720059,Juba Hoose,February,4257,17500,105000,24
R1720061,Juba Dhexe,February,3382,5417,39000,62
R1720053,Banadir,February,50113,79167,420000,63
R1720054,Bari,February,4973,12917,87000,38
R1720064,Nugaal,February,4314,13333,76000,32
R1720065,Sanaag,February,4362,39417,220200,11
R1720066,Sool,February,4537,43167,236400,11
R1720051,Awdal,February,3543,7750,50000,46
R1720067,Togdheer,February,4285,10000,70000,43
R1720068,Woqooyi Galbeed,February,4673,18417,132000,25
R1720052,Bakool,February,3832,15500,40000,25
R1720055,Bay,February,4512,31667,110000,14
R1720060,Shabelle Hoose,February,6053,34000,204000,18
R1720056,Galgaduud,March,8245,11250,38000,73
R1720063,Mudug,March,12473,65133,345000,19
R1720058,Hiraan,March,11866,11667,70000,102
R1720062,Shabelle Dhexe,March,10659,15167,81000,70
R1720057,Gedo,March,8770,25000,130000,35
R1720059,Juba Hoose,March,6610,17500,105000,38
R1720061,Juba Dhexe,March,4134,5417,39000,76
R1720053,Banadir,March,62440,79167,420000,79
R1720054,Bari,March,6387,12917,87000,49
R1720064,Nugaal,March,6731,13333,76000,50
R1720065,Sanaag,March,7335,39417,220200,19
R1720066,Sool,March,5649,13967,62160,40
R1720051,Awdal,March,4853,7750,50000,63
R1720067,Togdheer,March,5486,10000,70000,55
R1720068,Woqooyi Galbeed,March,6772,18417,132000,37
R1720052,Bakool,March,4911,15500,40000,32
R1720055,Bay,March,11733,31667,110000,37
R1720060,Shabelle Hoose,March,9214,34000,204000,27
R1720056,Galgaduud,April,17431,11250,38000,155
R1720063,Mudug,April,23333,18334,57000,127
R1720058,Hiraan,April,16528,11667,70000,142
R1720062,Shabelle Dhexe,April,25664,15167,81000,169
R1720057,Gedo,April,18932,25000,130000,76
R1720059,Juba Hoose,April,29659,17500,105000,169
R1720061,Juba Dhexe,April,6251,5417,39000,115
R1720053,Banadir,April,83986,79167,420000,106
R1720054,Bari,April,7887,12917,87000,61
R1720064,Nugaal,April,7115,13333,76000,53
R1720065,Sanaag,April,7835,15000,75000,52
R1720066,Sool,April,9609,16250,86000,59
R1720051,Awdal,April,4903,7750,50000,63
R1720067,Togdheer,April,5670,10000,70000,57
R1720068,Woqooyi Galbeed,April,7199,18417,132000,39
R1720052,Bakool,April,5969,15500,40000,39
R1720055,Bay,April,17768,31667,110000,56
R1720060,Shabelle Hoose,April,42932,34000,204000,126
