region_id,region,period,value,monthly_target,percent_target
R1720056,Galgaduud,January,5546,141757,4
R1720063,Mudug,January,39264,288133,14
R1720058,Hiraan,January,15172,229076,7
R1720062,Shabelle Dhexe,January,0,71638,0
R1720057,Gedo,January,50953,89965,57
R1720059,Juba Hoose,January,61612,89239,69
R1720061,Juba Dhexe,January,0,83046,0
R1720053,Banadir,January,80305,331214,24
R1720054,Bari,January,57067,193015,30
R1720064,Nugaal,January,4713,117290,4
R1720065,Sanaag,January,30215,248295,12
R1720066,Sool,January,57571,236189,24
R1720051,Awdal,January,14040,95707,15
R1720067,Togdheer,January,31780,154633,21
R1720068,Woqooyi Galbeed,January,26140,140409,19
R1720052,Bakool,January,0,171796,0
R1720055,Bay,January,13497,331730,4
R1720060,Shabelle Hoose,January,3600,214245,2
R1720056,Galgaduud,February,44358,141757,31
R1720063,Mudug,February,78169,288133,27
R1720058,Hiraan,February,24405,229076,11
R1720062,Shabelle Dhexe,February,5508,71638,8
R1720057,Gedo,February,67646,89965,75
R1720059,Juba Hoose,February,94385,89239,106
R1720061,Juba Dhexe,February,0,83046,0
R1720053,Banadir,February,113127,331214,34
R1720054,Bari,February,168070,193015,87
R1720064,Nugaal,February,26817,117290,23
R1720065,Sanaag,February,122952,248295,50
R1720066,Sool,February,99019,236189,42
R1720051,Awdal,February,23472,95707,25
R1720067,Togdheer,February,47559,154633,31
R1720068,Woqooyi Galbeed,February,61126,140409,44
R1720052,Bakool,February,45633,171796,27
R1720055,Bay,February,50334,331730,15
R1720060,Shabelle Hoose,February,6689,214245,3
R1720056,Galgaduud,March,55349,141757,39
R1720063,Mudug,March,151624,281938,54
R1720058,Hiraan,March,78879,229076,34
R1720062,Shabelle Dhexe,March,15854,71638,22
R1720057,Gedo,March,125296,89965,139
R1720059,Juba Hoose,March,111058,89239,124
R1720061,Juba Dhexe,March,1446,83046,2
R1720053,Banadir,March,174460,331214,53
R1720054,Bari,March,229692,193015,119
R1720064,Nugaal,March,95370,117290,81
R1720065,Sanaag,March,118005,248295,48
R1720066,Sool,March,95265,216659,44
R1720051,Awdal,March,38761,95707,40
R1720067,Togdheer,March,71313,154633,46
R1720068,Woqooyi Galbeed,March,75877,140409,54
R1720052,Bakool,March,121066,171796,70
R1720055,Bay,March,158920,331730,48
R1720060,Shabelle Hoose,March,31104,214245,15
R1720056,Galgaduud,April,94896,141757,67
R1720063,Mudug,April,255776,290526,88
R1720058,Hiraan,April,162560,229076,71
R1720062,Shabelle Dhexe,April,75750,71638,106
R1720057,Gedo,April,153982,89965,171
R1720059,Juba Hoose,April,91608,89239,103
R1720061,Juba Dhexe,April,1614,83046,2
R1720053,Banadir,April,193771,331214,59
R1720054,Bari,April,279773,193015,145
R1720064,Nugaal,April,123438,117290,105
R1720065,Sanaag,April,203493,141390,144
R1720066,Sool,April,106856,103863,103
R1720051,Awdal,April,40942,95707,43
R1720067,Togdheer,April,98438,154633,64
R1720068,Woqooyi Galbeed,April,153652,140409,109
R1720052,Bakool,April,169546,171796,99
R1720055,Bay,April,362472,331730,109
R1720060,Shabelle Hoose,April,124842,214245,58
