region_id,region,period,value,monthly_target,percent_target
R1720056,Galgaduud,January,0,100601,0
R1720063,Mudug,January,0,55958,0
R1720058,Hiraan,January,5100,30763,17
R1720062,Shabelle Dhexe,January,0,67141,0
R1720057,Gedo,January,2868,80352,4
R1720059,Juba Hoose,January,14014,61762,23
R1720061,Juba Dhexe,January,0,43903,0
R1720053,Banadir,January,2520,278924,1
R1720054,Bari,January,3076,83141,4
R1720064,Nugaal,January,558,43391,1
R1720065,Sanaag,January,11655,81495,14
R1720066,Sool,January,1000,47123,2
R1720051,Awdal,January,15300,67887,23
R1720067,Togdheer,January,0,93977,0
R1720068,Woqooyi Galbeed,January,16566,219006,8
R1720052,Bakool,January,0,32790,0
R1720055,Bay,January,0,99128,0
R1720060,Shabelle Hoose,January,0,175855,0
R1720056,Galgaduud,February,9692,100601,10
R1720063,Mudug,February,7428,55958,13
R1720058,Hiraan,February,14226,30763,46
R1720062,Shabelle Dhexe,February,288,67141,0
R1720057,Gedo,February,7878,80352,10
R1720059,Juba Hoose,February,11454,61762,19
R1720061,Juba Dhexe,February,0,43903,0
R1720053,Banadir,February,930,278924,0
R1720054,Bari,February,9276,83141,11
R1720064,Nugaal,February,5598,43391,13
R1720065,Sanaag,February,1136,81495,1
R1720066,Sool,February,630,47123,1
R1720051,Awdal,February,10014,67887,15
R1720067,Togdheer,February,1326,93977,1
R1720068,Woqooyi Galbeed,February,8934,219006,4
R1720052,Bakool,February,9300,32790,28
R1720055,Bay,February,6876,99128,7
R1720060,Shabelle Hoose,February,312,175855,0
R1720056,Galgaduud,March,1062,100601,1
R1720063,Mudug,March,1914,55958,3
R1720058,Hiraan,March,11661,30763,38
R1720062,Shabelle Dhexe,March,5322,67141,8
R1720057,Gedo,March,12276,80352,15
R1720059,Juba Hoose,March,16296,61762,26
R1720061,Juba Dhexe,March,0,43903,0
R1720053,Banadir,March,0,278924,0
R1720054,Bari,March,4614,83141,6
R1720064,Nugaal,March,1656,43391,4
R1720065,Sanaag,March,13226,81495,16
R1720066,Sool,March,1788,47123,4
R1720051,Awdal,March,2634,67887,4
R1720067,Togdheer,March,2310,93977,2
R1720068,Woqooyi Galbeed,March,1140,219006,1
R1720052,Bakool,March,4500,32790,14
R1720055,Bay,March,16428,99128,17
R1720060,Shabelle Hoose,March,4968,175855,3
R1720056,Galgaduud,April,498,100601,0
R1720063,Mudug,April,10586,55958,19
R1720058,Hiraan,April,32682,30763,106
R1720062,Shabelle Dhexe,April,920,67141,1
R1720057,Gedo,April,10197,80352,13
R1720059,Juba Hoose,April,18060,61762,29
R1720061,Juba Dhexe,April,7200,43903,16
R1720053,Banadir,April,21426,278924,8
R1720054,Bari,April,14778,83141,18
R1720064,Nugaal,April,18186,43391,42
R1720065,Sanaag,April,12784,81495,16
R1720066,Sool,April,1772,47123,4
R1720051,Awdal,April,17892,67887,26
R1720067,Togdheer,April,3206,93977,3
R1720068,Woqooyi Galbeed,April,11430,219006,5
R1720052,Bakool,April,10934,32790,33
R1720055,Bay,April,33468,99128,34
R1720060,Shabelle Hoose,April,10568,175855,6
