region_id,region,period,value,monthly_target,percent_target
R1720056,Galgaduud,August 2016 - January,123246,151666,81
R1720063,Mudug,August 2016 - January,189454,143967,132
R1720058,Hiraan,August 2016 - January,190688,257192,74
R1720062,Shabelle Dhexe,August 2016 - January,60330,159573,38
R1720057,Gedo,August 2016 - January,219105,129616,169
R1720059,Juba Hoose,August 2016 - January,174882,138032,127
R1720061,Juba Dhexe,August 2016 - January,0,127486,0
R1720053,Banadir,August 2016 - January,44154,0,0
R1720054,Bari,August 2016 - January,78450,171998,46
R1720064,Nugaal,August 2016 - January,59760,123177,49
R1720065,Sanaag,August 2016 - January,122058,182900,67
R1720066,Sool,August 2016 - January,105150,107915,97
R1720051,Awdal,August 2016 - January,93568,142451,66
R1720067,Togdheer,August 2016 - January,100162,97990,102
R1720068,Woqooyi Galbeed,August 2016 - January,142764,147032,97
R1720052,Bakool,August 2016 - January,70314,241395,29
R1720055,Bay,August 2016 - January,124704,501338,25
R1720060,Shabelle Hoose,August 2016 - January,75174,370437,20
R1720056,Galgaduud,February,0,151666,0
R1720063,Mudug,February,0,143967,0
R1720058,Hiraan,February,840,257192,0
R1720062,Shabelle Dhexe,February,2640,159573,2
R1720057,Gedo,February,0,129616,0
R1720059,Juba Hoose,February,0,138032,0
R1720061,Juba Dhexe,February,0,127486,0
R1720053,Banadir,February,0,0,0
R1720054,Bari,February,0,171998,0
R1720064,Nugaal,February,0,123177,0
R1720065,Sanaag,February,0,182900,0
R1720066,Sool,February,0,107915,0
R1720051,Awdal,February,0,142451,0
R1720067,Togdheer,February,0,97990,0
R1720068,Woqooyi Galbeed,February,0,147032,0
R1720052,Bakool,February,0,241395,0
R1720055,Bay,February,1800,501338,0
R1720060,Shabelle Hoose,February,0,370437,0
R1720056,Galgaduud,March,49374,151666,33
R1720063,Mudug,March,46380,143967,32
R1720058,Hiraan,March,49432,257192,19
R1720062,Shabelle Dhexe,March,41334,159573,26
R1720057,Gedo,March,77516,129616,60
R1720059,Juba Hoose,March,21888,138032,16
R1720061,Juba Dhexe,March,0,127486,0
R1720053,Banadir,March,1068,0,0
R1720054,Bari,March,36912,171998,21
R1720064,Nugaal,March,19794,123177,16
R1720065,Sanaag,March,28800,182900,16
R1720066,Sool,March,21762,107915,20
R1720051,Awdal,March,4632,142451,3
R1720067,Togdheer,March,29940,97990,31
R1720068,Woqooyi Galbeed,March,8982,147032,6
R1720052,Bakool,March,37698,241395,16
R1720055,Bay,March,63420,501338,13
R1720060,Shabelle Hoose,March,21036,370437,6
R1720056,Galgaduud,April,99036,151666,65
R1720063,Mudug,April,101226,143967,70
R1720058,Hiraan,April,134776,257192,52
R1720062,Shabelle Dhexe,April,80154,159573,50
R1720057,Gedo,April,87416,129616,67
R1720059,Juba Hoose,April,46104,138032,33
R1720061,Juba Dhexe,April,0,127486,0
R1720053,Banadir,April,3966,0,0
R1720054,Bari,April,106416,171998,62
R1720064,Nugaal,April,46722,123177,38
R1720065,Sanaag,April,125748,182900,69
R1720066,Sool,April,100578,107915,93
R1720051,Awdal,April,62460,142451,44
R1720067,Togdheer,April,154135,97990,157
R1720068,Woqooyi Galbeed,April,62460,147032,42
R1720052,Bakool,April,114702,241395,48
R1720055,Bay,April,200106,501338,40
R1720060,Shabelle Hoose,April,76584,370437,21
