region_id,region,period,value,monthly_target,midyear_target,percent_target
R1720056,Galgaduud,January,0,34674,115580,0
R1720063,Mudug,January,0,43712,145707,0
R1720058,Hiraan,January,13710,31706,105685,43
R1720062,Shabelle Dhexe,January,0,31423,104742,0
R1720057,Gedo,January,5000,30958,103192,16
R1720059,Juba Hoose,January,29319,29795,99316,98
R1720061,Juba Dhexe,January,0,22099,73663,0
R1720053,Banadir,January,15000,100486,334952,15
R1720054,Bari,January,7469,43813,146042,17
R1720064,Nugaal,January,0,23912,79707,0
R1720065,Sanaag,January,6874,33133,110442,21
R1720066,Sool,January,0,19938,66459,0
R1720051,Awdal,January,0,40996,136655,0
R1720067,Togdheer,January,0,43925,146417,0
R1720068,Woqooyi Galbeed,January,0,75628,252093,0
R1720052,Bakool,January,0,22361,74537,0
R1720055,Bay,January,7200,48237,160791,15
R1720060,Shabelle Hoose,January,5000,73205,244018,7
R1720056,Galgaduud,February,5000,34674,115580,14
R1720063,Mudug,February,49257,43712,145707,113
R1720058,Hiraan,February,39700,31706,105685,125
R1720062,Shabelle Dhexe,February,9830,31423,104742,31
R1720057,Gedo,February,20522,30958,103192,66
R1720059,Juba Hoose,February,33301,29795,99316,112
R1720061,Juba Dhexe,February,0,22099,73663,0
R1720053,Banadir,February,25969,100486,334952,26
R1720054,Bari,February,62501,43813,146042,143
R1720064,Nugaal,February,14090,23912,79707,59
R1720065,Sanaag,February,27142,33133,110442,82
R1720066,Sool,February,62442,19938,66459,313
R1720051,Awdal,February,0,40996,136655,0
R1720067,Togdheer,February,9494,43925,146417,22
R1720068,Woqooyi Galbeed,February,10686,75628,252093,14
R1720052,Bakool,February,470,22361,74537,2
R1720055,Bay,February,97314,48237,160791,202
R1720060,Shabelle Hoose,February,11000,73205,244018,15
R1720056,Galgaduud,March,17000,34674,115580,49
R1720063,Mudug,March,109323,43712,145707,250
R1720058,Hiraan,March,214989,31706,105685,678
R1720062,Shabelle Dhexe,March,17080,31423,104742,54
R1720057,Gedo,March,34914,30958,103192,113
R1720059,Juba Hoose,March,97633,29795,99316,328
R1720061,Juba Dhexe,March,0,22099,73663,0
R1720053,Banadir,March,43419,100486,334952,43
R1720054,Bari,March,105029,43813,146042,240
R1720064,Nugaal,March,25588,23912,79707,107
R1720065,Sanaag,March,59382,33133,110442,179
R1720066,Sool,March,72072,19938,66459,361
R1720051,Awdal,March,0,40996,136655,0
R1720067,Togdheer,March,18034,43925,146417,41
R1720068,Woqooyi Galbeed,March,12204,75628,252093,16
R1720052,Bakool,March,18587,22361,74537,83
R1720055,Bay,March,138493,48237,160791,287
R1720060,Shabelle Hoose,March,165974,73205,244018,227
R1720056,Galgaduud,April,98328,34674,115580,284
R1720063,Mudug,April,60007,43712,145707,137
R1720058,Hiraan,April,22420,31706,105685,71
R1720062,Shabelle Dhexe,April,11930,31423,104742,38
R1720057,Gedo,April,142247,30958,103192,459
R1720059,Juba Hoose,April,125939,29795,99316,423
R1720061,Juba Dhexe,April,12500,22099,73663,57
R1720053,Banadir,April,37350,100486,334952,37
R1720054,Bari,April,38512,43813,146042,88
R1720064,Nugaal,April,26152,23912,79707,109
R1720065,Sanaag,April,77768,33133,110442,235
R1720066,Sool,April,63618,19938,66459,319
R1720051,Awdal,April,10683,40996,136655,26
R1720067,Togdheer,April,95714,43925,146417,218
R1720068,Woqooyi Galbeed,April,48324,75628,252093,64
R1720052,Bakool,April,73173,22361,74537,327
R1720055,Bay,April,101573,48237,160791,211
R1720060,Shabelle Hoose,April,5912,73205,244018,8
