district_id,count_district_id,count_grouped_activity,targeted,reached,percent_target
R1720070,0,0,22000,22000,300
R1720074,0,0,226903,212250,680
R1720079,0,0,59760,57118,741
R1720080,0,0,29519,18277,200
R1720082,1,1,2800,2800,100
R1720083,0,0,12600,6300,100
R1720086,0,0,12250,13458,331
R1720094,0,0,22750,14934,225
R1720095,0,0,17388,23115,576
R1720096,0,0,23800,23800,200
R1720099,0,0,45647,37992,437
R1720100,1,1,1890,1890,100
R1720102,0,0,4550,4550,200
R1720103,0,0,10305,10305,200
R1720104,0,0,17388,12404,243
R1720107,0,0,56560,22862,208
R1720109,0,0,9374,10145,301
R1720111,0,0,35140,15830,200
R1720112,0,0,5790,5130,186
R1720115,0,0,6300,3194,101
R1720118,2,2,4095,4095,100
R1720120,0,0,28641,22042,264
R1720121,0,0,9093,1750,42
R1720122,1,1,2820,3108,110
R1720123,1,1,1050,1050,100
R1720125,0,0,52584,33782,156
R1720129,0,0,36654,32682,479
R1720131,0,0,16100,15202,190
R1720137,0,0,27000,21020,254
R1720138,0,0,5400,4224,176
R1720140,0,0,4200,4200,200
R1720141,0,0,49000,49000,300
R1720142,0,0,7396,10494,267
R1720098,0,0,1890,1890,100
R1720144,0,0,1540,1540,100
R1720145,0,0,23520,23520,100
R1720149,0,0,7000,7000,100
