FID_FSNAU_,CODE,LHZ_2015,LHZCD_2015,FID_sm_dis,REG_NAME,REG_CODE,REG_ALT,DIST_NAME,DIS_CODE,DIST_ALT,NOTE,Area,DIST_2_NAM,nutrition_status,id,level
1,1,Guban Pastoral,01: Guban Pastoral,1,Awdal,11,,Borama,1101,Boorama,,3076.079276,Borama,Critical,1,4
2,1,Guban Pastoral,01: Guban Pastoral,2,Awdal,11,,Baki,1102,,,3424.034659,Baki,Critical,2,4
3,1,Guban Pastoral,01: Guban Pastoral,3,Awdal,11,,Lughaye,1103,,,3344.227838,Lughaye,Critical,3,4
4,1,Guban Pastoral,01: Guban Pastoral,4,Awdal,11,,Zeylac,1104,Saylac,,6082.295048,Zeylac,Critical,4,4
5,1,Guban Pastoral,01: Guban Pastoral,6,Woqooyi Galbeed,12,West Galbeed,Berbera,1202,,,10267.51507,Berbera,Critical,5,4
6,1,Guban Pastoral,01: Guban Pastoral,17,Sanaag,15,Sanag,Ceel Afweyn,1502,"Ceel Afweyne, Ceel-afwein, El Afwein","Sanaag region now includes Badhan district (1504), but no boundary exists as yet for this district",15680.02809,Ceel Afweyn,Critical,6,4
7,2,Northwest Agropastoral,02: West Golis Pastoral,1,Awdal,11,,Borama,1101,Boorama,,3076.079276,Borama,Serious,7,3
8,2,Northwest Agropastoral,02: West Golis Pastoral,2,Awdal,11,,Baki,1102,,,3424.034659,Baki,Serious,8,3
9,2,Northwest Agropastoral,02: West Golis Pastoral,3,Awdal,11,,Lughaye,1103,,,3344.227838,Lughaye,Serious,9,3
10,2,Northwest Agropastoral,02: West Golis Pastoral,4,Awdal,11,,Zeylac,1104,Saylac,,6082.295048,Zeylac,Serious,10,3
11,2,Northwest Agropastoral,02: West Golis Pastoral,5,Woqooyi Galbeed,12,West Galbeed,Hargeysa,1201,Hargeisa,,13682.16169,Hargeysa,Serious,11,3
12,2,Northwest Agropastoral,02: West Golis Pastoral,6,Woqooyi Galbeed,12,West Galbeed,Berbera,1202,,,10267.51507,Berbera,Serious,12,3
13,2,Northwest Agropastoral,02: West Golis Pastoral,7,Woqooyi Galbeed,12,West Galbeed,Gebiley,1203,Gabiley,,4269.851548,Gebiley,Serious,13,3
14,2,Northwest Agropastoral,02: West Golis Pastoral,8,Togdheer,13,Tog-dheer,Burco,1301,Burao,,16052.9184,Burco,Serious,14,3
15,2,Northwest Agropastoral,02: West Golis Pastoral,10,Togdheer,13,Tog-dheer,Owdweyne,1303,Oodweyne,,8341.235497,Owdweyne,Serious,15,3
16,2,Northwest Agropastoral,02: West Golis Pastoral,11,Togdheer,13,Tog-dheer,Sheikh,1304,Sheekh,,2960.233005,Sheikh,Serious,16,3
17,2,Northwest Agropastoral,02: West Golis Pastoral,13,Sool,14,,Caynabo,1402,Ainabo,,8069.195623,Caynabo,Serious,17,3
