GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,period,EVENT_DATE,year,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
520,1181RTA,,December 2016,19/12/2016,2016,1,Violence against civilians,Unidentified Clan Militia (Somalia),,4,Civilians (Somalia),Unidentified Clan Group (Somalia),7,47,Somalia,Sanaag,Ceerigaabo,,Ceerigaabo,10.62182,47.36813,3,Local Source Project,Unidentified attackers kill two young boys at Faras Cawle. The killings may have been related to clan revenge issues.,2
520,1182RTA,,December 2016,19/12/2016,2016,1,Violence against civilians,Unidentified Armed Group (Somalia),,3,Civilians (Somalia),Wadani Party,7,37,Somalia,Woqooyi Galbeed,Hargeysa,,Hargeysa,9.55975,44.06678,1,Local Source Project,Unidentified persons attacked a member of the opposition Wadani Party with a knife. Status of victim unknown. ,0
520,1183RTA,,December 2016,20/12/2016,2016,1,Battle-No change of territory,Dhulbahante Clan Militia (Somalia),,4,Dhulbahante Clan Militia (Somalia),,4,44,Somalia,Sool,Lascaanod,,Las Anod,8.47358,47.35441,1,Local Source Project,"A civilian died after being hit by a stray bullet from two warring Dhulbahante sub-clans, the identities of which not known. ",1
520,1184RTA,,December 2016,21/12/2016,2016,1,Violence against civilians,Unidentified Armed Group (Somalia),,3,Civilians (Somalia),,7,37,Somalia,Banaadir,Mogadisho,,Dharkenley,2.0095,45.25,1,Local Source Project,A civilian is shot and killed by two unidentified armed men with pistols. Motive not known.,1
520,1185RTA,,December 2016,21/12/2016,2016,1,Violence against civilians,Unidentified Armed Group (Somalia),,3,Civilians (Somalia),Wadani Party,7,37,Somalia,Woqooyi Galbeed,Hargeysa,,Hargeysa,9.55975,44.06678,1,Local Source Project,Unidentified attackers assaulted and wounded a leader of the Wadani Party. A similar attack took place two days prior. ,0
520,1186RTA,,December 2016,21/12/2016,2016,1,Violence against civilians,Military Forces of Somalia (2012-),,1,Civilians (Somalia),,7,17,Somalia,Banaadir,Mogadisho,,Waaberi,2.01951,45.31,1,Local Source Project,A soldier shot and killed a civilian driver after extortion refusal.,1
520,1187RTA,,December 2016,22/12/2016,2016,1,Battle-No change of territory,Military Forces of Somalia (2012-),,1,Al Shabaab,,2,12,Somalia,Bakool,Xudur,,Xudur,4.12303,43.89012,2,Local Source Project,"SNA forces shot and killed an al Shabaab fighter at Yaabal village, 42km SW from Xudur.",1
520,1188RTA,,December 2016,23/12/2016,2016,1,Battle-No change of territory,Military Forces of Somalia (2012-),,1,Unidentified Armed Group (Somalia),,3,13,Somalia,Banaadir,Mogadisho,,Kahda,2.0462,45.33407,1,Local Source Project,A soldier was shot and killed and his gun was taken by an unidentified attacker. ,1
520,1189RTA,,December 2016,24/12/2016,2016,1,Remote violence,Unidentified Armed Group (Somalia),,3,,,0,30,Somalia,Shabeellaha Hoose,Afgooye,,Afgooye,2.15,45.116,2,Local Source Project,"An IED planted along the road connecting Afgoye and Mogadishu explodes in a vacant area, no reported injury. The target of the blast remains unknown. ",0
520,1190RTA,,December 2016,24/12/2016,2016,1,Violence against civilians,Unidentified Armed Group (Somalia),,3,Civilians (Somalia),,7,37,Somalia,Banaadir,Mogadisho,,Hodan,2.03333,45.35,1,Local Source Project,Two civilian men are shot and killed in KPP neighbourhood by unidentified men with pistols. ,1
520,1191RTA,,December 2016,24/12/2016,2016,1,Battle-No change of territory,Military Forces of Somaliland (1991-),,1,Dhulbahante Clan Militia (Somalia),,4,14,Somalia,Sool,Lascaanod,,Tifafle,8.60214,47.33232,1,Local Source Project,Four are injured after Somaliland Army and unidentified clan militias clashed in Tifafle. ,0
520,1192RTA,,December 2016,25/12/2016,2016,1,Battle-No change of territory,Police Forces of Puntland (1998-),Government of Puntland (1998-),1,Unidentified Armed Group (Somalia),,3,13,Somalia,Bari,Bossaso,,Bossaso,11.28366,49.1806,1,Local Source Project,"The Prosecutor General of Bari Region Military courts was attacked by unidentified attackers, injuring he and his bodyguards. ",0
520,1193RTA,,December 2016,25/12/2016,2016,1,Battle-No change of territory,Military Forces of Somalia (2012-),,1,Military Forces of Somalia (2012-),,1,11,Somalia,Shabeellaha Dhexe,Jowhar,,Xawaadley,2.58256,45.48939,1,Local Source Project,Two groups of SNG forces exchanged gunfire in Xawaadley over a dispute of settlement administration. Two fighters were killed and five others injured. ,2
520,1194RTA,,December 2016,26/12/2016,2016,1,Strategic development,Police Forces of Somalia (2012-),,1,Unidentified Armed Group (Somalia),,3,13,Somalia,Banaadir,Mogadisho,,Hawl Wadaag,2.04803,45.32,1,Local Source Project,An IED placed near a restaurant is discovered by police and dismantled. ,0
520,1195RTA,,December 2016,26/12/2016,2016,1,Remote violence,Unidentified Armed Group (Somalia),,3,Al Shabaab,,2,23,Somalia,Shabeellaha Hoose,Marka,,Janaale,1.8,44.7,1,Local Source Project,Unidentified aircraft carried out an overnight air-bombardment on an al Shabaab position at Janaale settlement. casualties could not established.,0
520,1196RTA,,December 2016,26/12/2016,2016,1,Battle-Non-state actor overtakes territory,Military Forces of Somalia (2012-),,1,Al Shabaab,,2,12,Somalia,Shabeellaha Hoose,Marka,,Shalaambood,1.7087,44.69605,2,Local Source Project,"Al Shabaab fighters carried out an attack against SNG forces at Kabtan-laas village, near Shalanbood. After an exchange of gunfire, al Shabaab managed to overtake the village before retreating shortly thereafter. It is not clear if government forces moved back following the departure. casualties not known.",0
520,1197RTA,,December 2016,28/12/2016,2016,1,Riots/Protests,Rioters (Somalia),Shiite Muslim Group (Somalia),5,Police Forces of Somaliland (1991-),,1,15,Somalia,Woqooyi Galbeed,Berbera,,Berbera,10.43959,45.01432,1,Local Source Project,"A group of Shia clerics of the ""Sufi Order"" violently overtake a Sunni mosque. Injuries not known. Police made 23 arrests.",0
520,1198RTA,,December 2016,28/12/2016,2016,1,Remote violence,Unidentified Armed Group (Somalia),,3,,,0,30,Somalia,Banaadir,Mogadisho,,Heliwa,2.08438,45.39,1,Local Source Project,An IED placed under the empty car of a businessman detonates without injury. ,0
520,1199RTA,,December 2016,28/12/2016,2016,1,Remote violence,AMISOM: African Union Mission in Somalia (2007-),,8,Unidentified Armed Group (Somalia),,3,38,Somalia,Shabeellaha Dhexe,Jowhar,,Mahadaay,2.97043,45.53468,1,Local Source Project,An RCIED exploded around Biya-adde apparently targeting a AMISOM convoy. casualties could not be established. ,0
520,1200RTA,,December 2016,29/12/2016,2016,1,Battle-No change of territory,Military Forces of Somalia (2012-),,1,Private Security Forces (Somalia),,8,18,Somalia,Banaadir,Mogadisho,,Abdul-Aziz,2.04045,45.36,1,Local Source Project,Reports indicate that the guards of beach-view restaurant opened fire at a pick-up Toyota vehicle with 6 NISA SNA soldiers on-board passing in front of the Beach-view hotel after they suspected the vehicle. The SNA soldiers reacted and exchanged gunfire with the guards but no casualties were reported.,0
520,1201RTA,,December 2016,29/12/2016,2016,1,Remote violence,AMISOM: African Union Mission in Somalia (2007-),,8,Unidentified Armed Group (Somalia),,3,38,Somalia,Shabeellaha Hoose,Afgooye,,Afgooye,2.15,45.116,2,Local Source Project,"An RCIED planted along the roadside of Afgoy road in Alamada village, apparently targeting AMISOM convoy heading to Mogadishu from Afgoy direction, exploded and hit one of the AMISOM vehicles which sustained minor damage. No other casualties reported.",0
520,1202RTA,,December 2016,30/12/2016,2016,1,Remote violence,Unidentified Armed Group (Somalia),,3,Police Forces of Somalia (2012-),Government of Somalia (2012-),1,13,Somalia,Bay,Baydhabo,,Buundo Midow,3.0906,43.8845,1,Local Source Project,"An IED detonated at Midow, targeting the DC of Baidoa. The Commissioner escaped unhurt, though a bodyguard was slightly injured.",0
520,1203RTA,,December 2016,31/12/2016,2016,1,Battle-No change of territory,Police Forces of Puntland (1998-),Government of Puntland (1998-),1,Unidentified Armed Group (Somalia),,3,13,Somalia,Bari,Qardho,,Qardho,9.50694,49.08608,1,Local Source Project,The prosecutor of Qardho court was shot and wounded by a gunmen who also injured one police officer. The perpetrator was killed on the spot by one of the body guard police officers. ,1
