resilience,wash,cash,resilience_partners,wash_partners,cash_partners,region_id,region,district,district_id
1141,0,5,FAO BRCIS,,FAO BRCIS,R1720058,Hiraan,Jalalaqsi,R1720113
0,0,118,,,WFP,R1720060,Shabelle Hoose,Sablaale,R1720133
524,0,19,FAO,,WFP,R1720052,Bakool,Tayeeglow,R1720136
0,0,0,,,,R1720056,Galgaduud,Ceel Dheer,R1720098
1649,0,9,WFP,,FAO,R1720065,Sanaag,Ceerigaabo,R1720099
6758,0,24,FAO,,WFP,R1720056,Galgaduud,Dhuusamarreeb,R1720100
0,0,3908,,,WFP,R1720055,Bay,Diinsoor,R1720101
17462,5296,0,FAO UNICEF,BRCIS UNICEF,,R1720057,Gedo,Doolow,R1720102
31742,5410,538,FAO UNICEF,BRCIS UNICEF,BRCIS WFP,R1720057,Gedo,El Waq,R1720103
1249,0,0,WFP,,,R1720064,Nugaal,Eyl,R1720104
0,0,10,,,WFP,R1720068,Woqooyi Galbeed,Gabiley,R1720105
264,0,0,FAO BRCIS,,,R1720063,Mudug,Galdogob,R1720106
5862,6708,174,FAO BRCIS,BRCIS,BRCIS WFP,R1720063,Mudug,Galkaacyo,R1720107
47368,1411,149,BRCIS FAO UNICEF,UNICEF,FAO WFP,R1720057,Gedo,Garbahaarey,R1720108
246,0,0,WFP,,,R1720064,Nugaal,Garowe,R1720109
0,0,4,,,FAO,R1720068,Woqooyi Galbeed,Hargeysa,R1720110
0,0,2343,,,WFP,R1720061,Juba Dhexe,Saakow,R1720132
19059,2548,192,FAO,BRCIS,FAO BRCIS,R1720063,Mudug,Hobyo,R1720111
11582,9828,8,WFP UNICEF,UNICEF,FAO,R1720054,Bari,Iskushuban,R1720112
4920,0,0,FAO,,,R1720063,Mudug,Jariiban,R1720115
0,0,513,,,WFP,R1720061,Juba Dhexe,Jilib,R1720116
7280,0,54,FAO,,WFP,R1720062,Shabelle Dhexe,Jowhar,R1720117
513,0,12,FAO,,FAO WFP,R1720060,Shabelle Hoose,Kurtunwaarey,R1720119
