osm_id,district_name,longitude,latitude,label
R1720114,Jamaame,42.800214,0.122494,
R1720118,Kismaayo,42.00762,-0.382742,
R1720113,Jalalaqsi,45.609833,3.401202,
R1720133,Sablaale,43.519612,1.381542,
R1720136,Tayeeglow,44.528116,3.834438,
R1720073,Badhaadhe,41.428564,-0.855469,
R1720098,Ceel Dheer,47.150399,4.006733,
R1720099,Ceerigaabo,47.752609,10.377887,
R1720100,Dhuusamarreeb,46.68305,5.439779,
R1720101,Diinsoor,42.900976,2.100368,
R1720102,Doolow,42.139534,4.001626,
R1720103,Ceel Waaq,41.440758,2.678821,
R1720104,Eyl,49.657742,8.037493,
R1720105,Gebiley,43.683092,9.863599,
R1720106,Galdogob,47.220514,7.037603,
R1720107,Gaalkacyo,47.686733,6.933966,
R1720108,Garbahaarey,42.358219,3.204441,
R1720109,Garoowe,48.785342,8.46933,
R1720110,Hargeysa,44.280306,9.523691,
R1720132,Saakow,42.061841,1.626927,
R1720111,Hobyo,48.29975,5.940675,
R1720112,Iskushuban,50.642708,10.568112,
R1720115,Jariiban,49.072169,7.131767,
R1720116,Jilib,43.127817,0.60366,
R1720117,Jowhar,45.567109,2.991795,
R1720119,Kurtunwaarey,44.06601,1.672912,
R1720120,Laas Caanood,47.635677,8.437505,
R1720121,Laasqoray,48.648033,10.659645,
R1720122,Lughaye,43.684103,10.701051,
R1720137,Waajid,43.431922,3.814949,
R1720123,Luuq,42.696639,3.791851,
R1720124,Marka,44.811973,1.680683,
R1720125,Banadir,45.481149,2.025584,
R1720126,Owdweyne,45.010079,9.258127,
R1720127,Qandala,50.057147,11.16983,
R1720128,Qansax Dheere,42.839191,2.813538,
R1720129,Qardho,49.506593,9.501121,
R1720130,Qoryooley,44.448483,1.932884,
R1720134,Sheikh,45.428162,9.991514,
R1720135,Taleex,48.540175,9.178455,
R1720138,Wanla Weyn,44.905508,2.790051,
R1720139,Xarardheere,47.929811,4.747482,
R1720140,Xudun,47.50645,9.140633,
R1720141,Xudur,43.905277,4.187439,
R1720142,Zeylac,43.290515,11.034366,
R1720069,Adan Yabaal,46.658645,3.464867,
R1720070,Afgooye,45.090422,2.202859,
R1720071,Afmadow,41.785059,0.589,
R1720072,Baardheere,41.704783,2.099989,
R1720074,Baydhaba,43.638353,3.264808,
R1720075,Baki,43.800655,10.335104,
R1720076,Balcad,45.733219,2.430061,
R1720077,Bandarbayla,50.422456,9.186037,
R1720078,Baraawe,43.968089,1.063922,
R1720079,Belet Weyne,45.379355,4.724425,
R1720080,Belet Xaawo,41.727917,3.435027,
R1720081,Berbera,45.237954,10.461769,
R1720091,Cadaado,47.035696,6.12943,
R1720082,Borama,43.16714,10.18752,
R1720083,Bossaso,49.373119,10.994028,
R1720084,Bu'aale,42.739888,1.196247,
R1720085,Bulo Burto,45.537292,3.897442,
R1720086,Burco,45.75767,9.141355,
R1720087,Burtinle,48.397309,7.801074,
R1720088,Buuhoodle,46.66026,8.459243,
R1720089,Buur Hakaba,44.005939,2.483752,
R1720090,Cabudwaaq,46.122405,5.825199,
R1720092,Cadale,46.326689,3.003807,
R1720093,Caluula,50.852125,11.759918,
R1720094,Caynabo,46.489084,9.281374,
R1720095,Ceel Afweyn,46.657437,10.215871,
R1720096,Ceel Barde,43.996177,4.669103,
R1720097,Ceel Buur,46.84057,4.759077,
