nutrition_total,partners_nutrition,region_id,region,district,district_id
0,UNICEF,R1720063,Mudug,Galdogob,R1720106
0,UNICEF,R1720062,Shabelle Dhexe,Jowhar,R1720117
0,,R1720058,Hiraan,Jalalaqsi,R1720113
0,,R1720060,Shabelle Hoose,Sablaale,R1720133
0,,R1720052,Bakool,Tayeeglow,R1720136
0,UNICEF,R1720056,Galgaduud,Ceel Dheer,R1720098
0,UNICEF,R1720065,Sanaag,Ceerigaabo,R1720099
0,UNICEF,R1720056,Galgaduud,Dhuusamarreeb,R1720100
0,,R1720055,Bay,Diinsoor,R1720101
7460,BRICS UNICEF WFP,R1720057,Gedo,Doolow,R1720102
0,UNICEF,R1720057,Gedo,El Waq,R1720103
0,UNICEF,R1720064,Nugaal,Eyl,R1720104
0,UNICEF,R1720068,Woqooyi Galbeed,Gabiley,R1720105
0,UNICEF,R1720063,Mudug,Galkaacyo,R1720107
0,UNICEF,R1720057,Gedo,Garbahaarey,R1720108
0,UNICEF,R1720064,Nugaal,Garowe,R1720109
0,UNICEF,R1720068,Woqooyi Galbeed,Hargeysa,R1720110
0,,R1720061,Juba Dhexe,Saakow,R1720132
0,UNICEF,R1720063,Mudug,Hobyo,R1720111
2403,UNICEF WFP,R1720054,Bari,Iskushuban,R1720112
0,UNICEF,R1720063,Mudug,Jariiban,R1720115
0,,R1720061,Juba Dhexe,Jilib,R1720116
0,UNICEF,R1720060,Shabelle Hoose,Kurtunwaarey,R1720119
0,UNICEF,R1720066,Sool,Laas Caanood,R1720120
0,UNICEF,R1720065,Sanaag,Laasqoray,R1720121
0,UNICEF,R1720051,Awdal,Lughaye,R1720122
0,UNICEF,R1720052,Bakool,Waajid,R1720137
0,UNICEF,R1720057,Gedo,Luuq,R1720123
0,UNICEF,R1720060,Shabelle Hoose,Marka,R1720124
78651,,R1720053,Banadir,Mogadishu,R1720125
1873,UNICEF WFP,R1720067,Togdheer,Owdweyne,R1720126
0,UNICEF,R1720054,Bari,Qandala,R1720127
0,UNICEF,R1720055,Bay,Qansax Dheere,R1720128
0,UNICEF,R1720054,Bari,Qardho,R1720129
2594,SNS UNICEF,R1720060,Shabelle Hoose,Qoryooley,R1720130
0,UNICEF,R1720052,Bakool,Rab Dhuure,R1720131
0,UNICEF,R1720067,Togdheer,Sheikh,R1720134
0,UNICEF,R1720066,Sool,Taleex,R1720135
1781,SNS UNICEF,R1720060,Shabelle Hoose,Wanle Weyne,R1720138
0,UNICEF,R1720063,Mudug,Xarardheere,R1720139
0,UNICEF,R1720066,Sool,Xudun,R1720140
0,UNICEF,R1720052,Bakool,Xudur,R1720141
0,UNICEF,R1720051,Awdal,Zeylac,R1720142
0,,R1720062,Shabelle Dhexe,Adan Yabaal,R1720069
3720,BRCIS SNS UNICEF,R1720060,Shabelle Hoose,Afgooye,R1720070
0,UNICEF,R1720059,Juba Hoose,Afmadow,R1720071
4300,UNICEF WFP,R1720057,Gedo,Baardheere,R1720072
4628,SNS UNICEF,R1720055,Bay,Baidoa,R1720074
0,UNICEF,R1720051,Awdal,Baki,R1720075
0,UNICEF,R1720062,Shabelle Dhexe,Balcad,R1720076
0,UNICEF,R1720054,Bari,Bandarbayla,R1720077
0,,R1720060,Shabelle Hoose,Baraawe,R1720078
0,,R1720058,Hiraan,Belet Weyne,R1720079
0,UNICEF,R1720057,Gedo,Belet Xaawo,R1720080
0,UNICEF,R1720068,Woqooyi Galbeed,Berbera,R1720081
0,UNICEF,R1720056,Galgaduud,Cadaado,R1720091
0,UNICEF,R1720051,Awdal,Borama,R1720082
10030,UNICEF WFP,R1720054,Bari,Bossaso,R1720083
0,,R1720061,Juba Dhexe,Bu'aale,R1720084
0,UNICEF,R1720058,Hiraan,Bulo Burti,R1720085
11286,UNICEF WFP,R1720067,Togdheer,Burco,R1720086
0,UNICEF,R1720064,Nugaal,Burtinle,R1720087
0,UNICEF,R1720067,Togdheer,Buuhoodle,R1720088
0,UNICEF,R1720055,Bay,Buur Hakaba,R1720089
0,UNICEF,R1720056,Galgaduud,Cabudwaaq,R1720090
0,UNICEF,R1720062,Shabelle Dhexe,Cadale,R1720092
0,UNICEF,R1720054,Bari,Caluula,R1720093
0,UNICEF,R1720066,Sool,Caynabo,R1720094
0,UNICEF,R1720065,Sanaag,Ceel Afweyn,R1720095
84,SNS UNICEF,R1720052,Bakool,Ceel Barde,R1720096
0,,R1720056,Galgaduud,Ceel Buur,R1720097
