osm_id,region_name,longitude,latitude,label
R1720053,Banadir,45.48114865,2.025583685,
R1720061,Jubbada Dhexe,42.59270516,1.177739122,
R1720051,Awdal,43.46183477,10.69143911,
R1720067,Togdheer,45.72572394,9.108337556,
R1720052,Bakool,43.95077416,4.205229098,
R1720054,Bari,50.16365327,10.30625625,
R1720055,Bay,43.56644196,2.65301429,
R1720056,Galgaduud,46.81807944,5.033494849,
R1720057,Gedo,41.97804532,2.896473217,
R1720058,Hiiraan,45.47503681,4.21284538,
R1720059,Jubbada Hoose,41.88302385,-0.041972008,
R1720060,Shabeellaha Hoose,44.34197137,1.7919431,
R1720062,Shabeellaha Dhexe,46.10327023,2.960664226,
R1720063,Mudug,48.23884773,6.302130822,
R1720064,Nugaal,49.00616485,8.084692136,
R1720065,Sanaag,47.65205957,10.39850161,
R1720066,Sool,47.56422219,8.962469183,
R1720068,Woqooyi Galbeed,44.64288861,9.997334514,
