ADMIN2,district_id,period,Fatalities
Afgooye,R1720070,April 2017,11
Afmadow,R1720071,April 2017,15
Baardheere,R1720072,April 2017,28
Badhaadhe,R1720073,April 2017,54
Baydhaba,R1720074,April 2017,50
Balcad,R1720076,April 2017,2
Baraawe,R1720078,April 2017,12
Belet Weyne,R1720079,April 2017,0
Berbera,R1720081,April 2017,0
Bulo Burto,R1720085,April 2017,2
Buuhoodle,R1720088,April 2017,0
Buur Hakaba,R1720089,April 2017,0
Ceel Buur,R1720097,April 2017,0
Dhuusamarreeb,R1720100,April 2017,0
Doolow,R1720102,April 2017,0
Gaalkacyo,R1720107,April 2017,2
Garbahaarey,R1720108,April 2017,0
Garoowe,R1720109,April 2017,0
Hargeysa,R1720110,April 2017,0
Hobyo,R1720111,April 2017,0
Jalalaqsi,R1720113,April 2017,10
Jilib,R1720116,April 2017,0
Jowhar,R1720117,April 2017,3
Kismaayo,R1720118,April 2017,0
Laas Caanood,R1720120,April 2017,13
Laasqoray,R1720121,April 2017,3
Luuq,R1720123,April 2017,0
Marka,R1720124,April 2017,19
Mogadishu,R1720125,April 2017,57
Qandala,R1720127,April 2017,0
Qoryooley,R1720130,April 2017,3
Waajid,R1720137,April 2017,0
Wanla Weyn,R1720138,April 2017,51
Zeylac,R1720142,April 2017,0
Afgooye,R1720070,December 2016,0
Baydhaba,R1720074,December 2016,0
Berbera,R1720081,December 2016,0
Bossaso,R1720083,December 2016,0
Ceerigaabo,R1720099,December 2016,2
Hargeysa,R1720110,December 2016,0
Jowhar,R1720117,December 2016,2
Laas Caanood,R1720120,December 2016,5
Marka,R1720124,December 2016,0
Mogadishu,R1720125,December 2016,4
Qardho,R1720129,December 2016,1
Wanla Weyn,R1720138,December 2016,0
Xudur,R1720141,December 2016,1
Afgooye,R1720070,February 2017,22
Afmadow,R1720071,February 2017,14
Baydhaba,R1720074,February 2017,22
Balcad,R1720076,February 2017,3
Belet Weyne,R1720079,February 2017,17
Borama,R1720082,February 2017,0
Bossaso,R1720083,February 2017,14
Burco,R1720086,February 2017,0
Buuhoodle,R1720088,February 2017,0
Buur Hakaba,R1720089,February 2017,5
Cabudwaaq,R1720090,February 2017,2
Cadale,R1720092,February 2017,16
Ceel Afweyn,R1720095,February 2017,0
Diinsoor,R1720101,February 2017,1
Ceel Waaq,R1720103,February 2017,2
Gebiley,R1720105,February 2017,0
Gaalkacyo,R1720107,February 2017,15
Garbahaarey,R1720108,February 2017,3
Garoowe,R1720109,February 2017,0
Hargeysa,R1720110,February 2017,0
Hobyo,R1720111,February 2017,3
Jamaame,R1720114,February 2017,4
Jowhar,R1720117,February 2017,20
Kismaayo,R1720118,February 2017,2
Laas Caanood,R1720120,February 2017,0
Marka,R1720124,February 2017,32
Mogadishu,R1720125,February 2017,74
Qandala,R1720127,February 2017,0
Qansax Dheere,R1720128,February 2017,1
Qoryooley,R1720130,February 2017,0
Tayeeglow,R1720136,February 2017,0
Waajid,R1720137,February 2017,2
Wanla Weyn,R1720138,February 2017,5
Xarardheere,R1720139,February 2017,6
Xudur,R1720141,February 2017,0
Afgooye,R1720070,January 2017,38
Baardheere,R1720072,January 2017,0
Badhaadhe,R1720073,January 2017,46
Baydhaba,R1720074,January 2017,45
Balcad,R1720076,January 2017,4
Baraawe,R1720078,January 2017,2
Belet Weyne,R1720079,January 2017,18
Belet Xaawo,R1720080,January 2017,11
Berbera,R1720081,January 2017,0
Bossaso,R1720083,January 2017,14
Bu'aale,R1720084,January 2017,2
Bulo Burto,R1720085,January 2017,2
Burco,R1720086,January 2017,2
Buuhoodle,R1720088,January 2017,5
Buur Hakaba,R1720089,January 2017,11
Cabudwaaq,R1720090,January 2017,9
Cadaado,R1720091,January 2017,0
Caynabo,R1720094,January 2017,0
Ceel Afweyn,R1720095,January 2017,0
Dhuusamarreeb,R1720100,January 2017,3
Diinsoor,R1720101,January 2017,35
Doolow,R1720102,January 2017,0
Ceel Waaq,R1720103,January 2017,10
Gebiley,R1720105,January 2017,0
Gaalkacyo,R1720107,January 2017,0
Garbahaarey,R1720108,January 2017,1
Garoowe,R1720109,January 2017,1
Hargeysa,R1720110,January 2017,0
Hobyo,R1720111,January 2017,1
Iskushuban,R1720112,January 2017,3
Jalalaqsi,R1720113,January 2017,0
Jilib,R1720116,January 2017,1
Jowhar,R1720117,January 2017,26
Kismaayo,R1720118,January 2017,18
Laas Caanood,R1720120,January 2017,2
Luuq,R1720123,January 2017,3
Marka,R1720124,January 2017,17
Mogadishu,R1720125,January 2017,62
Qandala,R1720127,January 2017,5
Qardho,R1720129,January 2017,0
Qoryooley,R1720130,January 2017,6
Rab Dhuure,R1720131,January 2017,0
Sablaale,R1720133,January 2017,4
Tayeeglow,R1720136,January 2017,13
Wanla Weyn,R1720138,January 2017,0
Xudur,R1720141,January 2017,15
Afgooye,R1720070,March 2017,8
Afmadow,R1720071,March 2017,57
Baardheere,R1720072,March 2017,32
Badhaadhe,R1720073,March 2017,0
Baydhaba,R1720074,March 2017,16
Baraawe,R1720078,March 2017,28
Belet Weyne,R1720079,March 2017,3
Berbera,R1720081,March 2017,1
Borama,R1720082,March 2017,0
Bossaso,R1720083,March 2017,1
Burco,R1720086,March 2017,0
Buuhoodle,R1720088,March 2017,0
Buur Hakaba,R1720089,March 2017,3
Cabudwaaq,R1720090,March 2017,2
Cadaado,R1720091,March 2017,3
Ceel Barde,R1720096,March 2017,0
Ceel Buur,R1720097,March 2017,3
Ceerigaabo,R1720099,March 2017,0
Dhuusamarreeb,R1720100,March 2017,0
Diinsoor,R1720101,March 2017,0
Doolow,R1720102,March 2017,0
Ceel Waaq,R1720103,March 2017,12
Gaalkacyo,R1720107,March 2017,3
Garbahaarey,R1720108,March 2017,0
Garoowe,R1720109,March 2017,0
Hargeysa,R1720110,March 2017,0
Hobyo,R1720111,March 2017,2
Jamaame,R1720114,March 2017,5
Jowhar,R1720117,March 2017,23
Kismaayo,R1720118,March 2017,18
Laas Caanood,R1720120,March 2017,3
Luuq,R1720123,March 2017,0
Marka,R1720124,March 2017,0
Mogadishu,R1720125,March 2017,91
Owdweyne,R1720126,March 2017,0
Qandala,R1720127,March 2017,1
Qansax Dheere,R1720128,March 2017,8
Qardho,R1720129,March 2017,0
Qoryooley,R1720130,March 2017,7
Tayeeglow,R1720136,March 2017,0
Wanla Weyn,R1720138,March 2017,5
Xudur,R1720141,March 2017,0
