Sector,FAO,FAO,UNICEF,UNICEF,WFP,WFP,BRCiS,BRCiS,SNS,SNS,Total,Total,DFID,DFID
Metric,Planned,Actual,Planned,Actual,Planned,Actual,Planned,Actual,Planned,Actual,Planned,Actual,Target,Progress
Food Security,"  136,704 ","  107,624 ","  175,000 ",  -   ,"  275,000 ","  690,525 ","  440,310 ","  210,589 ",  -   ,  -   ,"  1,027,014 ","  1,008,738 ","1,000,000",101%
Unconditional Cash,"  21,804 ","  15,754 ","  175,000 ",  -   ,,,"  440,310 ","  210,589 ",,,"  637,114 ","  226,343 ",,36%
Conditional Cash,,,,,"  275,000 ","  690,525 ",,,,,"  275,000 ","  690,525 ",,251%
Cash for Work,"  114,900 ","  91,870 ",,,,,,,,,"  114,900 ","  91,870 ",,80%
Nutrition Services,  -   ,  -   ,"  550,000 ","  301,567 ","  219,750 ","  256,792 ",  -   ,  -   ,"  171,220 ","  54,895 ","  940,970 ","  613,254 ","600,000",102%
Community Based Outreach (Children),,,"  400,000 ",  221 ,,,,,,,"  400,000 ",  221 ,,0%
SAM,,,"  50,000 ","  100,456 ",,,,,"  143,706 ","  50,670 ","  193,706 ","  151,126 ",,78%
PLW,,,"  100,000 ","  200,890 ",,,,,"  27,514 ","  4,225 ","  127,514 ","  205,115 ",,161%
BSFP,,,,,"  73,000 ","  112,560 ",,,,,"  73,000 ","  112,560 ",,154%
TSFP,,,,,"  55,500 ","  42,800 ",,,,,"  55,500 ","  42,800 ",,77%
MCHN,,,,,"  91,250 ","  101,432 ",,,,,"  91,250 ","  101,432 ",,111%
Safe Drinking Water,"  500,000 ","  152,000 ","  720,000 ",  -   ,  -   ,  -   ,"  197,129 ","  167,000 ",  -   ,  -   ,"  1,417,129 ","  319,000 ","1,000,000",32%
Water Trucking,"  500,000 ","  152,000 ",,,,,"  197,129 ","  167,000 ",,,"  697,129 ","  319,000 ",,46%
Vouchers,,,"  60,000 ",,,,,,,,"  60,000 ",  -   ,,0%
Access,,,"  500,000 ",,,,,,,,"  500,000 ",  -   ,,0%
Bore Holes,,,"  160,000 ",,,,,,,,"  160,000 ",  -   ,,0%
Emergency Healthcare,  -   ,  -   ,"  1,335,250 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  392,322 ",  -   ,"  1,727,572 ",  -   ,"1,700,000",0%
Community Based Outreach (Children),,,"  400,000 ",,,,,,,,"  400,000 ",  -   ,,0%
General,,,"  550,000 ",,,,,,"  392,322 ",,"  942,322 ",  -   ,,0%
Children,,,"  24,250 ",,,,,,,,"  24,250 ",  -   ,,0%
AWD,,,"  160,000 ",,,,,,,,"  160,000 ",  -   ,,0%
Measles immunisation,,,"  200,000 ",,,,,,,,"  200,000 ",  -   ,,0%
Emergency Health Kits,,,"  1,000 ",,,,,,,,"  1,000 ",  -   ,,0%
