Sector,FAO,FAO,UNICEF,UNICEF,WFP,WFP,BRCiS,BRCiS,SNS,SNS,Total,Total,DFID,DFID
Metric,Planned,Actual,Planned,Actual,Planned,Actual,Planned,Actual,Planned,Actual,Planned,Actual,Target,Progress
Food Security,"  136,704 ","  124,564 ","  175,000 ","  3,003 ","  275,000 ","  250,000 ","  440,310 ","  450,961 ",  -   ,  -   ,"  1,027,014 ","  828,528 ","1,000,000",83%
Unconditional Cash,"  21,804 ","  22,108 ","  175,000 ","  3,003 ",,,"  440,310 ","  450,961 ",,,"  637,114 ","  476,072 ",,75%
Conditional Cash,,,,,"  275,000 ","  250,000 ",,,,,"  275,000 ","  250,000 ",,91%
Cash for Work,"  114,900 ","  102,456 ",,,,,,,,,"  114,900 ","  102,456 ",,89%
Nutrition Services,  -   ,  -   ,"  550,000 ","  136,085 ","  219,750 ","  299,883 ",  -   ,  -   ,"  171,220 ","  84,981 ","  940,970 ","  520,949 ","600,000",87%
Community Based Outreach (Children),,,"  400,000 ","  4,085 ",,,,,,,"  400,000 ","  4,085 ",,1%
SAM,,,"  50,000 ","  10,000 ",,,,,"  143,706 ","  72,001 ","  193,706 ","  82,001 ",,42%
PLW,,,"  100,000 ","  122,000 ",,,,,"  27,514 ","  12,980 ","  127,514 ","  134,980 ",,106%
BSFP,,,,,"  73,000 ","  174,883 ",,,,,"  73,000 ","  174,883 ",,240%
TSFP,,,,,"  55,500 ","  35,000 ",,,,,"  55,500 ","  35,000 ",,63%
MCHN,,,,,"  91,250 ","  90,000 ",,,,,"  91,250 ","  90,000 ",,99%
Safe Drinking Water,"  500,000 ","  316,300 ","  720,000 ","  1,500 ",  -   ,  -   ,"  197,129 ","  201,978 ",  -   ,  -   ,"  1,417,129 ","  519,778 ","1,000,000",52%
Water Trucking,"  500,000 ","  316,300 ",,,,,"  197,129 ","  201,978 ",,,"  697,129 ","  518,278 ",,74%
Vouchers,,,"  60,000 ",  400 ,,,,,,,"  60,000 ",  400 ,,1%
Access,,,"  500,000 ","  1,000 ",,,,,,,"  500,000 ","  1,000 ",,0%
Bore Holes,,,"  160,000 ",  100 ,,,,,,,"  160,000 ",  100 ,,0%
Emergency Healthcare,  -   ,  -   ,"  1,335,250 ","  46,400 ",  -   ,  -   ,  -   ,  -   ,"  392,322 ","  1,200 ","  1,727,572 ","  47,600 ","1,700,000",3%
Community Based Outreach (Children),,,"  400,000 ","  15,000 ",,,,,,,"  400,000 ","  15,000 ",,4%
General,,,"  550,000 ","  8,000 ",,,,,"  392,322 ","  1,200 ","  942,322 ","  9,200 ",,1%
Children,,,"  24,250 ","  1,100 ",,,,,,,"  24,250 ","  1,100 ",,5%
AWD,,,"  160,000 ","  12,000 ",,,,,,,"  160,000 ","  12,000 ",,8%
Measles immunisation,,,"  200,000 ","  10,000 ",,,,,,,"  200,000 ","  10,000 ",,5%
Emergency Health Kits,,,"  1,000 ",  300 ,,,,,,,"  1,000 ",  300 ,,30%
